neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ashfield,127,2499
Auburn,176,4855
Bankstown,106,2693
Blacktown,154,3206
Botany Bay,265,5345
Burwood,112,2743
Camden,34,1251
Campbelltown,47,1614
Canada Bay,213,3390
Canterbury,192,2598
City Of Kogarah,96,2535
Fairfield,54,2389
Holroyd,44,855
Hornsby,272,10030
Hunters Hill,28,516
Hurstville,102,1801
Ku-Ring-Gai,195,4244
Lane Cove,127,3037
Leichhardt,393,12600
Liverpool,78,1915
Manly,816,17718
Marrickville,498,14506
Mosman,192,6299
North Sydney,575,15155
Parramatta,260,4893
Penrith,106,6332
Pittwater,675,26842
Randwick,1372,22645
Rockdale,359,9606
Ryde,289,6261
Strathfield,99,1482
Sutherland Shire,347,15130
Sydney,3211,137792
The Hills Shire,184,5387
Warringah,952,14105
Waverley,2208,39904
Willoughby,225,4662
Woollahra,641,10692
