neighbourhood_cleansed,number_of_hosts,number_of_reviews
Break O'Day,177,23162
Brighton,13,582
Burnie,41,3731
Central Coast,96,8434
Central Highlands,37,3015
Circular Head,60,6321
Clarence,268,22776
Derwent Valley,45,4279
Devonport,59,6954
Dorset,90,11007
Flinders,27,1112
George Town,37,2295
Glamorgan/Spring Bay,231,42998
Glenorchy,89,6958
Hobart,674,98106
Huon Valley,142,12019
Kentish,67,11086
King Island,16,606
Kingborough,276,26919
Latrobe,42,2834
Launceston,236,41648
Meander Valley,74,7686
Northern Midlands,59,6441
Sorell,97,7226
Southern Midlands,19,1575
Tasman,108,15170
Waratah/Wynyard,66,5885
West Coast,66,11471
West Tamar,106,11261
