neighbourhood_cleansed,number_of_hosts,number_of_reviews
Banyule,138,3687
Bayside,269,5634
Boroondara,360,9963
Brimbank,96,3662
Cardinia,99,6240
Casey,125,3033
Darebin,434,10036
Frankston,191,9450
Glen Eira,354,6881
Greater Dandenong,91,1349
Hobsons Bay,157,5306
Hume,109,4544
Kingston,199,5472
Knox,104,4281
Manningham,153,4560
Maribyrnong,293,10237
Maroondah,76,2038
Melbourne,2687,195080
Melton,72,1785
Monash,325,8637
Moonee Valley,223,6161
Moreland,566,17706
Nillumbik,75,6318
Port Phillip,1627,60760
Stonnington,933,31442
Whitehorse,293,6235
Whittlesea,96,1239
Wyndham,267,6908
Yarra,1203,51782
Yarra Ranges,618,59731
