neighbourhood_cleansed,number_of_hosts,number_of_reviews
Aeroporto,6,903
Alberoni,17,139
Altobello,14,2659
Asseggiano,2,78
Bissuola,35,2807
Burano,20,946
Ca' Brentelle,1,9
Ca' Emiliani,4,302
Ca' Sabbioni,20,1287
Ca' Solaro,1,0
Campalto,13,959
Campalto Bagaron,3,293
Campalto CEP,2,204
Campalto Cimitero,2,60
Campalto Gobbi,7,311
Cannaregio,823,125549
Capitello,1,6
Carpenedo,47,4828
Case Dosa,2,764
Castello,794,100144
Centro Commerciale Panorama,1,604
Chirignago,21,1597
Cipressina,6,580
Dese,7,95
Dorsoduro,348,43723
Favaro,22,2923
Favaro Col San Martino,1,52
Ferrarese,1,2
Gatta - Bondu?,2,139
Gazzera,3,432
Giudecca,132,9608
Giustizia,1,91
Isola Cason Grassabo',1,0
Isola Cason vecchio di Grassabo',1,53
Isola San Giorgio,1,0
Isola San Michele,1,35
Isola di Tessera,1,20
La Favorita,5,565
Lido,240,9976
Macello,16,926
Maguolo,1,1
Malamocco,13,259
Malcontenta,13,1838
Marghera,65,12088
Marghera Catene,25,3094
Marghera Zona Industriale,5,187
Marocco Terraglio,13,519
Marocco Zelarino,1,4
Mazzorbo,1,23
Molino Ronchin,1,7
Murano,50,4303
Pellestrina,73,3047
Piave 1860,210,37751
Pra' Secco,2,323
Quartiere Pertini,3,43
Sacca Fisola,5,210
San Lorenzo XXV Aprile,92,9646
San Marco,493,70173
San Pietro in Volta,1,92
San Polo,359,42723
Sant'Elena,44,3536
Sant'Erasmo,18,1533
Santa Barbara,9,840
Santa Croce,337,45575
Sardi (M.5 - Q.12),1,14
Scaramuzza,4,1281
Taru',4,356
Tessera,13,1031
Torcello,1,66
Torre Antica,4,77
Trivignano,3,130
Tronchetto,4,80
Vignole,1,0
Villabona,2,65
Villaggio San Marco,17,3357
Villaggio Sartori,3,811
Zelarino,5,110
Zona Commerciale via Torino,14,1340
