neighbourhood_cleansed,number_of_hosts,number_of_reviews
Amandus - Atheneum,125,6356
Borgerhout Extra Muros,34,1219
Borgerhout Intra Muros Noord,50,2676
Borgerhout Intra Muros Zuid,57,2556
Brederode,61,1359
Centraal Station,70,4020
Dam,19,210
Deurne Dorp - Gallifort,13,353
Deurne Noord,14,519
Deurne Oost,5,109
Deurne Vlieghaven,3,216
Deurne Zuid Oost,19,476
Deurne Zuid West,19,1151
Donk,3,68
Eilandje,51,2155
Ekeren Centrum,2,181
Groenenhoek,22,603
Haringrode,45,1313
Harmonie,44,1941
Historisch Centrum,142,19778
Hoboken - Centrum,12,241
Hoboken - Noord,11,58
Hoboken - West,2,76
Hoboken - Zuidoost,1,12
Hoogte,13,220
Kiel,15,335
Koornbloem,17,167
Kruininge - Bremweide,3,40
Lambrechtshoeken,3,5
Leugenberg,3,82
Lillo,1,14
Linkeroever,26,850
Luchtbal,1,3
Mariaburg,6,78
Markgrave,27,550
Merksem - Heide,8,267
Middelheim,8,224
Neerland,4,33
Nieuw - Kwartier Oost,21,162
Nieuw - Kwartier West,15,173
Nieuw - Zuid,6,105
Nieuwdreef,7,64
Oosterveld - Elsdonk,21,151
Oud - Berchem,45,1598
Oud - Merksem,14,211
Petroleum - Zuid,4,140
Polder,3,335
Rivierenhof,2,7
Sint-Andries,79,3460
Stadspark,61,2473
Stuivenberg,49,2158
Tentoonstellingswijk,8,190
Theaterbuurt-Meir,93,6910
Tuinwijk,1,249
Universiteitsbuurt,65,6122
Valaar,5,199
Wilrijk Centrum,8,155
Zuid,92,3128
Zurenborg,25,871
