neighbourhood_cleansed,number_of_hosts,number_of_reviews
Binnenstad,179,18607
Bloemekenswijk,15,1228
Brugse Poort - Rooigem,46,1517
Dampoort,37,4331
Drongen,31,1501
Elisabethbegijnhof - Papegaai,96,11475
Gentbrugge,15,473
Kanaaldorpen en -zone,4,27
Ledeberg,40,1247
Macharius - Heirnis,34,2914
Mariakerke,20,902
Moscou - Vogelhoek,7,209
Muide - Meulestede - Afrikalaan,21,1077
Nieuw Gent - UZ,10,725
Oostakker,6,66
Oud Gentbrugge,33,1743
Rabot  - Blaisantvest,23,827
Sint Amandsberg,39,1311
Sint Denijs Westrem,25,321
Sluizeken - Tolhuis - Ham,57,5354
Stationsbuurt Noord,56,1907
Stationsbuurt Zuid,18,1356
Watersportbaan - Ekkergem,23,1503
Wondelgem,18,1161
Zwijnaarde,24,613
