neighbourhood_cleansed,number_of_hosts,number_of_reviews
Aclens,5,50
Aigle,13,868
Allaman,1,3
Apples,5,170
Arnex-sur-Nyon,1,37
Arnex-sur-Orbe,1,7
Arzier-Le Muids,32,935
Assens,1,1
Aubonne,4,54
Avenches,21,1003
Ballaigues,7,94
Ballens,2,24
Baulmes,2,5
Begnins,4,88
Belmont-sur-Lausanne,8,159
Bex,30,893
Bioley-Magnoux,1,5
BiÃ¨re,1,60
Blonay,22,580
Bofflens,1,18
Bogis-Bossey,23,613
Bonvillars,2,68
Bougy-Villars,1,13
Boulens,1,27
Bourg-en-Lavaux,51,2450
Bournens,2,63
Bremblens,2,61
Buchillon,3,70
Bullet,12,157
Bursinel,2,64
Bursins,3,31
Burtigny,1,9
Bussigny,18,651
Bussy-Chardonney,1,49
Champagne,1,77
Champvent,3,104
Chardonne,40,1281
Chavannes-de-Bogis,37,437
Chavannes-des-Bois,11,74
Chavannes-le-Veyron,2,30
Chavannes-prÃ¨s-Renens,32,811
Chavannes-sur-Moudon,2,13
Chavornay,4,56
Cheseaux-NorÃ©az,5,218
Cheseaux-sur-Lausanne,4,7
Chessel,3,146
Chevroux,12,625
Chexbres,15,640
Chigny,2,10
ChÃ¢teau-d'Oex,69,2419
ChÃ©serex,2,3
ChÃªne-PÃ¢quier,1,5
Coinsins,1,18
Commugny,8,154
Concise,9,178
Coppet,7,24
Corbeyrier,3,11
Corcelles-le-Jorat,6,325
Corcelles-prÃ¨s-Concise,3,129
Corcelles-prÃ¨s-Payerne,7,130
Corseaux,17,244
Corsier-sur-Vevey,28,527
Cossonay,4,197
Crans-prÃ¨s-CÃ©ligny,5,15
Crassier,4,320
Crissier,11,163
Cuarnens,2,219
Cuarny,1,18
Cudrefin,11,378
Cugy (Vaud),3,12
Daillens,5,82
Denens,3,17
Denges,5,47
Dompierre (Vaud),2,15
Donneloye,2,148
Duillier,5,138
DÃ©moret,3,21
Echallens,3,36
Echandens,6,170
Echichens,6,118
EclÃ©pens,1,0
Ecublens (Vaud),40,456
Epalinges,31,750
Ependes (Vaud),2,81
Essertes,2,388
Essertines-sur-Rolle,4,75
Essertines-sur-Yverdon,1,11
EtagniÃ¨res,1,32
Etoy,5,467
Eysins,5,14
Faoug,9,450
Fiez,2,14
Fontaines-sur-Grandson,4,183
Forel (Lavaux),5,57
Founex,11,692
Froideville,6,72
FÃ©chy,3,75
Genolier,3,68
Giez,1,0
Gilly,5,181
Gimel,5,99
Gingins,3,53
Givrins,2,2
Gland,17,133
Gollion,2,59
GoumoÃ«ns,4,37
Grandcour,10,221
Grandevent,1,2
Grandson,7,184
Gryon,100,1659
Henniez,3,63
Hermenches,1,27
Jongny,13,384
Jorat-Menthue,2,33
Jorat-MÃ©ziÃ¨res,4,4
Jouxtens-MÃ©zery,2,7
L'Abbaye,8,275
L'Abergement,1,8
L'Isle,2,125
La Praz,1,1
La Rippe,30,793
La Tour-de-Peilz,47,1147
Lausanne,881,18891
Lavey-Morcles,17,600
Lavigny,2,10
Le Chenit,28,748
Le Lieu,4,203
Le Mont-sur-Lausanne,31,1175
Le Vaud,3,86
Leysin,101,3270
Lignerolle,2,71
Lonay,5,39
Longirod,1,53
Lucens,3,116
Luins,1,6
Lully (Vaud),2,74
Lussy-sur-Morges,1,19
Lutry,59,1387
