neighbourhood_cleansed,number_of_hosts,number_of_reviews
"Brightwood Park, Crestwood, Petworth",230,13121
"Brookland, Brentwood, Langdon",80,3495
"Capitol Hill, Lincoln Park",305,34209
"Capitol View, Marshall Heights, Benning Heights",65,3281
"Cathedral Heights, McLean Gardens, Glover Park",42,2951
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",44,2909
"Colonial Village, Shepherd Park, North Portal Estates",99,3664
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",321,27303
"Congress Heights, Bellevue, Washington Highlands",63,3009
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",65,2857
"Douglas, Shipley Terrace",23,534
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",101,6406
"Dupont Circle, Connecticut Avenue/K Street",181,21382
"Eastland Gardens, Kenilworth",8,469
"Edgewood, Bloomingdale, Truxton Circle, Eckington",298,25066
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",14,949
"Friendship Heights, American University Park, Tenleytown",63,3822
"Georgetown, Burleith/Hillandale",146,13355
"Hawthorne, Barnaby Woods, Chevy Chase",47,2600
Historic Anacostia,34,2536
"Howard University, Le Droit Park, Cardozo/Shaw",129,10782
"Ivy City, Arboretum, Trinidad, Carver Langston",162,10279
"Kalorama Heights, Adams Morgan, Lanier Heights",117,12709
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",93,3508
"Mayfair, Hillbrook, Mahaning Heights",24,674
"Near Southeast, Navy Yard",24,1464
"North Cleveland Park, Forest Hills, Van Ness",26,860
"North Michigan Park, Michigan Park, University Heights",53,2730
"River Terrace, Benning, Greenway, Dupont Park",39,2232
"Shaw, Logan Circle",185,25731
"Sheridan, Barry Farm, Buena Vista",26,740
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",57,4683
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",99,5505
"Takoma, Brightwood, Manor Park",118,7185
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",56,3441
"Union Station, Stanton Park, Kingman Park",357,38659
"West End, Foggy Bottom, GWU",88,13336
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",10,359
"Woodridge, Fort Lincoln, Gateway",44,2414
