neighbourhood_cleansed,number_of_hosts,number_of_reviews
Aberdeen,5,299
Addington,12,489
Alma,21,2315
Alnwick,15,494
Andover,7,287
Bathurst,34,1150
Beresford,25,480
Blackville,14,844
Blissfield,5,112
Blissville,1,49
Botsford,46,1834
Bright,10,593
Brighton,4,127
Brunswick,2,9
Burton,6,268
Cambridge,6,78
Campobello,28,769
Canning,23,619
Canterbury,4,116
Caraquet,35,1108
Cardwell,2,450
Carleton,3,207
Chatham,7,571
Chipman,5,248
City of Saint John,121,8382
Clair,3,91
Colborne,9,294
Coverdale,33,1831
Dalhousie,15,442
Derby,5,164
Dorchester,7,456
Douglas,9,496
Drummond,1,3
Dufferin,4,324
Dumfries,3,127
Dundas,95,2817
Durham,6,78
Eldon,5,182
Elgin,3,75
Fredericton,121,11061
Gagetown,4,130
Glenelg,2,68
Gordon,4,86
Grand Falls,3,260
Grand Falls Town,3,571
Grand Manan,41,1698
Greenwich,1,0
Grimmer,4,184
Hampstead,2,91
Hampton,5,325
Hardwicke,9,75
Harvey,12,823
Hillsborough,10,1554
Hopewell,15,1447
Inkerman,10,248
Johnston,6,280
Kars,3,57
Kent,4,481
Kingsclear,13,588
Kingston,12,480
Lac-Baker,6,80
Lepreau,7,61
Lincoln,3,144
Lorne,6,57
Ludlow,7,204
Madawaska,20,1910
Manners Sutton,12,494
Maugerville,1,322
McAdam,2,25
Moncton,242,15918
Musquash,3,84
Nelson,6,257
New Bandon,15,435
New Maryland,2,36
Newcastle,9,532
North Lake,7,36
Northampton,3,548
Northesk,3,253
Norton,2,64
Paquetville,2,330
Peel,2,79
Pennfield,9,399
Perth,5,100
Petersville,2,23
Prince William,6,63
Queensbury,4,125
Richibucto,27,785
Riviere-Verte,1,10
Rothesay,21,1203
Sackville,12,836
Saint Andrews,45,2091
Saint Croix,11,744
Saint David,13,288
Saint George,25,1200
Saint James,2,19
Saint Martins,33,1676
Saint Mary,6,195
Saint Marys,7,333
Saint Patrick,7,549
Saint Stephen,13,463
Saint-Andre,1,2
Saint-Basile,2,81
Saint-Charles,2,10
Saint-Francois,5,308
Saint-Hilaire,3,76
Saint-Jacques,4,323
Saint-Leonard,3,93
Saint-Louis,4,337
Saint-Quentin,5,87
Sainte-Joseph,5,925
Salisbury,5,226
Saumarez,14,793
Shediac,234,5574
Sheffield,8,118
Shippagan,50,870
Simonds,4,122
Southesk,6,268
Southhampton,3,235
Springfield,7,1107
Stanley,6,176
Studholm,1,196
Sussex,10,239
Wakefield,1,234
Waterborough,9,218
Waterford,12,1059
Weldford,13,506
Wellington,43,1198
West Isles,30,863
Westfield,18,513
Westmorland,15,363
Wickham,6,237
Wicklow,5,341
Wilmot,3,46
Woodstock,8,482
