neighbourhood_cleansed,number_of_hosts,number_of_reviews
Cap-Rouge,28,555
Chutes-Montmorency,33,4779
CitÃ© Universitaire,50,1680
Des ChÃ¢tels,4,61
Duberger-Les Saules,25,748
JÃ©suites,8,228
L'AÃ©roport,13,334
Lac-Saint-Charles,18,1120
Lairet,40,2064
Loretteville,25,1845
Maizerets,50,2961
Montcalm,48,3976
NeufchÃ¢tel-Est/Lebourgneuf,35,1175
Notre-Dame-des-Laurentides,33,1464
Plateau,19,739
Pointe-de-Sainte-Foy,7,276
Quartier 4-2,7,142
Quartier 4-3,12,439
Quartier 4-5,15,497
Quartier 4-6,15,391
Quartier 5-1,36,1206
Quartier 5-2,15,541
Quartier 5-4,30,1661
Saint-Jean-Baptiste,158,14664
Saint-Louis,33,1276
Saint-Roch,176,26337
Saint-Sacrement,37,1103
Saint-Sauveur,155,16181
Saint-Ãmile,8,342
Sillery,62,4803
Val-BÃ©lair,26,810
Vanier,14,997
Vieux-Limoilou,99,5718
Vieux-Moulin,30,1841
Vieux-QuÃ©bec/Cap-Blanc/Colline parlementaire,241,27823
