neighbourhood_cleansed,number_of_hosts,number_of_reviews
3M-Bourgailh,8,98
Ambars-et-Lagrave,65,904
Ambs,49,1714
Arago-La Chataigneraie,43,1583
Arlac,90,2973
Artigues-Prs-Bordeaux,91,2519
Bassens,30,488
Beaudsert,10,258
Beutre,21,325
Bgles,375,9599
Blanquefort,97,2161
Bordeaux Maritime,486,13439
Bordeaux Sud,1011,47666
Bouliac,72,2532
Bourran,33,836
Brivazac-Candau,22,669
Bruges,163,3011
Cap de Bos,13,555
Capeyron,106,1837
Carbon-Blanc,42,1038
Casino,3,58
Caudran,336,7423
Centre ville (Bordeaux),1166,57277
Centre ville (Merignac),88,2143
Chartrons - Grand Parc - Jardin Public,665,25981
Chemin Long,33,459
Chiquet-Fontaudin,21,373
Eysines,133,2824
Floirac,122,5696
France Alouette,58,2356
Gambetta-Mairie-Lissandre,91,3203
Gradignan,159,4002
La Bastide,291,9427
La Glacire,105,2733
La Paillre-Compostelle,19,266
Le Bourg,37,1423
Le Bouscat,270,6257
Le Burck,20,277
Le Haillan,43,893
Le Monteil,51,1353
Le Taillan-Mdoc,68,1098
Le Vallon-Les Echoppes,20,1325
Les Eyquems,25,988
Lormont,118,3136
Magonty,45,1448
Martignas-sur-Jalle,58,968
Nansouty - Saint Gens,405,11351
Nos,29,797
Palmer-Gravires-Cavailles,77,2128
Parempuyre,51,1641
Plaisance-Loret-Maregue,38,1153
Saige,20,757
Saint Augustin - Tauzin - Alphonse Dupeux,453,18288
Saint-Aubin-de-Mdoc,80,1199
Saint-Louis-de-Montferrand,12,161
Saint-Mdard-en-Jalles,188,5576
Saint-Vincent-de-Paul,28,812
Sardine,17,788
Talence,429,13571
Toctoucau,16,479
Verthamon,24,799
Villenave-d'Ornon,287,9264
