neighbourhood_cleansed,number_of_hosts,number_of_reviews
Allach-Untermenzing,47,1147
Altstadt-Lehel,169,4837
Au-Haidhausen,384,7839
Aubing-Lochhausen-Langwied,95,1835
Berg am Laim,107,2601
Bogenhausen,257,7605
Feldmoching-Hasenbergl,69,1860
Hadern,58,1061
Laim,156,1610
Ludwigsvorstadt-Isarvorstadt,585,21307
Maxvorstadt,513,17002
Milbertshofen-Am Hart,188,4573
Moosach,88,1312
Neuhausen-Nymphenburg,357,6340
Obergiesing,217,3594
Pasing-Obermenzing,135,3153
Ramersdorf-Perlach,225,8554
Schwabing-Freimann,310,5863
Schwabing-West,385,6309
SchwanthalerhÃ¶he,224,5187
Sendling,240,4031
Sendling-Westpark,187,4015
Thalkirchen-Obersendling-Forstenried-FÃ¼rstenried-Solln,209,4232
Tudering-Riem,173,5921
Untergiesing-Harlaching,190,3607
