neighbourhood_cleansed,number_of_hosts,number_of_reviews
Arenella,110,2179
Avvocata,315,16109
Bagnoli,54,914
Barra,42,1351
Chiaia,414,18132
Chiaiano,21,349
Fuorigrotta,79,2982
Mercato,72,4199
Miano,3,57
Montecalvario,362,19707
Pendino,453,35177
Pianura,23,280
Piscinola,5,342
Poggioreale,23,747
Ponticelli,24,450
Porto,258,17860
Posillipo,109,3398
San Carlo all'Arena,226,10351
San Ferdinando,456,25612
San Giovanni a Teduccio,34,856
San Giuseppe,305,19246
San Lorenzo,772,61588
San Pietro a Patierno,15,901
Scampia,5,20
Secondigliano,12,97
Soccavo,8,43
Stella,234,11910
Vicaria,91,4497
Vomero,209,7998
Zona Industriale,77,3632
