neighbourhood_cleansed,number_of_hosts,number_of_reviews
Adrara San Martino,4,15
Adrara San Rocco,2,10
Albano Sant'Alessandro,6,193
Albino,4,143
Algua,2,67
Almenno San Bartolomeo,7,237
Almenno San Salvatore,3,56
Almï¿½,4,230
Alzano Lombardo,9,595
Ardesio,8,185
Averara,1,36
Aviatico,8,86
Azzano San Paolo,9,337
Azzone,2,36
Bagnatica,1,3
Barzana,2,82
Bedulita,1,0
Berbenno,3,51
Bergamo,458,41894
Berzo San Fermo,2,165
Bianzano,1,8
Boltiere,5,75
Bonate Sopra,4,110
Bonate Sotto,2,20
Borgo di Terzo,2,140
Bossico,17,109
Bottanuco,1,0
Bracca,3,175
Branzi,12,126
Brembate,2,32
Brignano Gera d'Adda,3,65
Brumano,2,18
Brusaporto,3,165
Calcio,2,18
Calusco d'Adda,8,250
Camerata Cornello,4,149
Canonica d'Adda,6,110
Capizzone,1,18
Capriate San Gervasio,23,379
Caprino Bergamasco,2,21
Caravaggio,3,9
Carobbio degli Angeli,1,1
Carona,10,71
Casazza,1,0
Casirate d'Adda,4,48
Casnigo,1,79
Castelli Calepio,5,185
Castione della Presolana,38,238
Castro,13,224
Cavernago,1,0
Cenate Sotto,1,113
Cerete,3,21
Cisano Bergamasco,3,46
Ciserano,1,1
Clusone,22,308
Colere,11,187
Cologno al Serio,2,37
Colzate,1,0
Comun Nuovo,1,33
Cornalba,4,4
Costa Serina,9,47
Costa Valle Imagna,4,233
Costa Volpino,38,774
Costa di Mezzate,4,363
Credaro,7,263
Curno,4,56
Cusio,2,14
Dalmine,8,288
Dossena,11,140
Endine Gaiano,7,86
Entratico,3,141
Fara Gera d'Adda,9,227
Filago,1,1
Fino del Monte,5,42
Fonteno,15,307
Foppolo,34,237
Fuipiano Valle Imagna,2,32
Gandellino,5,98
Gandino,1,0
Gandosso,5,254
Gaverina Terme,1,6
Gazzaniga,3,39
Ghisalba,3,3
Gorle,1,23
Grassobbio,9,1046
Gromo,13,269
Grone,2,24
Grumello del Monte,1,6
Isola di Fondra,3,74
Isso,4,49
Lallio,2,22
Leffe,2,6
Lenna,1,0
Levate,1,69
Lovere,37,1500
Lurano,1,7
Luzzana,1,34
Mapello,4,62
Martinengo,3,3
Medolago,2,19
Mezzoldo,2,11
Moio de' Calvi,2,13
Monasterolo del Castello,10,158
Montello,1,240
Mornico al Serio,1,0
Mozzo,7,185
Nembro,3,16
Olmo al Brembo,2,1
Oltre il Colle,16,153
Oneta,5,196
Onore,12,241
Orio al Serio,9,958
Ornica,2,8
Osio Sopra,1,71
Osio Sotto,6,95
Palazzago,7,243
Parre,2,6
Parzanica,30,1080
Pedrengo,1,452
Pianico,3,11
Piario,2,203
Piazza Brembana,3,16
Piazzatorre,11,96
Ponte Nossa,3,12
Ponte San Pietro,7,117
Ponteranica,4,176
Pontida,8,301
Pontirolo Nuovo,5,187
Pradalunga,1,60
Predore,52,2509
Premolo,3,146
Presezzo,1,1
Ranica,1,1
Ranzanico,15,680
Riva di Solto,39,2021
Rogno,13,98
Romano di Lombardia,6,120
Roncobello,2,9
Roncola,8,98
Rota d'Imagna,6,818
Rovetta,10,44
San Giovanni Bianco,6,244
San Paolo d'Argon,2,205
San Pellegrino Terme,18,863
Sant'Omobono Terme,3,27
Santa Brigida,7,114
Sarnico,61,1535
Scanzorosciate,3,26
Schilpario,12,152
Selvino,7,30
Seriate,24,2503
Serina,23,229
Solto Collina,24,806
Songavazzo,6,60
Sorisole,8,492
Sotto il Monte Giovanni XXIII,2,19
Sovere,13,317
Spinone al Lago,7,31
Spirano,1,309
Stezzano,6,547
Suisio,1,35
Taleggio,2,16
Tavernola Bergamasca,42,1421
Torre Boldone,5,306
Torre Pallavicina,2,74
Trescore Balneario,5,109
Treviglio,11,201
Treviolo,5,120
Ubiale Clanezzo,1,228
Urgnano,3,970
Val Brembilla,5,61
Valbondione,15,156
Valbrembo,2,4
Valgoglio,3,61
Valleve,6,73
Valnegra,1,0
Valtorta,3,18
Verdellino,2,2
Verdello,1,56
Vertova,1,1
Viadanica,2,62
Vigano San Martino,1,3
Vigolo,1,16
Villa d'Adda,8,148
Villa d'Almï¿½,2,84
Villa d'Ogna,4,79
Villa di Serio,1,0
Villongo,2,25
Vilminore di Scalve,7,146
Zanica,10,413
Zogno,8,564
