neighbourhood_cleansed,number_of_hosts,number_of_reviews
ADRIANO,87,2066
AFFORI,109,2559
BAGGIO,59,824
BANDE NERE,237,5276
BARONA,35,919
BICOCCA,87,2269
BOVISA,155,5182
BOVISASCA,7,243
BRERA,512,27493
BRUZZANO,43,1239
BUENOS AIRES - VENEZIA,1027,52641
CANTALUPA,5,62
CASCINA TRIULZA - EXPO,14,245
CENTRALE,412,39559
CHIARAVALLE,4,15
CITTA' STUDI,364,10180
COMASINA,24,591
CORSICA,177,4157
DE ANGELI - MONTE ROSA,223,6560
DERGANO,202,5171
DUOMO,518,50486
EX OM - MORIVIONE,92,1010
FARINI,77,1761
FIGINO,4,109
FORZE ARMATE,49,1563
GALLARATESE,122,3109
GARIBALDI REPUBBLICA,186,8766
GHISOLFA,190,3873
GIAMBELLINO,293,6227
GIARDINI PORTA VENEZIA,14,448
GRATOSOGLIO - TICINELLO,48,2268
GRECO,114,4134
GUASTALLA,294,10235
ISOLA,485,23742
LAMBRATE,116,2109
LODI - CORVETTO,262,6053
LORENTEGGIO,59,1592
LORETO,589,21054
MACIACHINI - MAGGIOLINA,213,12416
MAGENTA - S. VITTORE,311,12459
MAGGIORE - MUSOCCO,63,1441
MECENATE,84,2436
MUGGIANO,4,50
NAVIGLI,633,29470
NIGUARDA - CA' GRANDA,113,2635
ORTOMERCATO,28,672
PADOVA,230,7183
PAGANO,159,4795
PARCO AGRICOLO SUD,25,307
PARCO BOSCO IN CITTÂ,42,605
PARCO DEI NAVIGLI,32,1100
PARCO DELLE ABBAZIE,65,1627
PARCO FORLANINI - ORTICA,39,1376
PARCO LAMBRO - CIMIANO,152,2347
PARCO MONLUE' - PONTE LAMBRO,15,436
PARCO NORD,23,793
PARCO SEMPIONE,27,1456
PORTA ROMANA,303,12042
PORTELLO,83,2754
QT 8,28,951
QUARTO CAGNINO,23,575
QUARTO OGGIARO,44,1209
QUINTO ROMANO,12,110
QUINTOSOLE,7,100
RIPAMONTI,87,2296
ROGOREDO,39,420
RONCHETTO DELLE RANE,2,3
RONCHETTO SUL NAVIGLIO,123,2810
S. CRISTOFORO,225,6528
S. SIRO,78,2322
SACCO,28,604
SARPI,623,24362
SCALO ROMANA,125,1765
SELINUNTE,127,4110
STADERA,218,5045
TIBALDI,209,6353
TICINESE,603,29307
TORTONA,365,8163
TRE TORRI,19,199
TRENNO,6,137
TRIULZO SUPERIORE,48,859
UMBRIA - MOLISE,219,5472
VIALE MONZA,205,7427
VIGENTINA,212,6430
VILLAPIZZONE,270,8745
WASHINGTON,295,7473
XXII MARZO,436,12098
