neighbourhood_cleansed,number_of_hosts,number_of_reviews
Acquarica del Capo,35,176
Acquaviva delle Fonti,23,278
Adelfia,12,289
Alberobello,193,8484
Alessano,97,1251
Alezio,84,502
Alliste,212,1589
Altamura,95,1480
Andrano,78,501
Andria,51,624
Anzano di Puglia,1,0
Apricena,3,13
Aradeo,53,370
Arnesano,26,261
Ascoli Satriano,5,32
Avetrana,35,166
Bagnolo del Salento,13,33
Bari,1052,57430
Barletta,108,1150
Biccari,3,7
Bisceglie,129,1263
Bitetto,5,36
Bitonto,34,634
Bitritto,2,34
Botrugno,14,70
Bovino,7,15
Brindisi,222,5902
Cagnano Varano,15,156
Calimera,27,259
Campi Salentina,21,116
Candela,6,24
Cannole,23,184
Canosa di Puglia,14,143
Caprarica di Lecce,6,12
Capurso,16,360
Carlantino,1,0
Carmiano,27,219
Carosino,1,1
Carovigno,429,4701
Carpignano Salentino,58,849
Carpino,7,28
Casalnuovo Monterotaro,1,0
Casalvecchio di Puglia,2,8
Casamassima,29,162
Casarano,94,593
Cassano delle Murge,32,874
Castellana Grotte,181,2907
Castellaneta,109,515
Castelluccio Valmaggiore,4,37
Castelluccio dei Sauri,1,14
Castelnuovo della Daunia,2,9
Castri di Lecce,9,70
Castrignano de' Greci,13,122
Castrignano del Capo,326,2991
Castro,168,2506
Cavallino,51,393
Ceglie Messapica,412,5528
Cellamare,8,71
Cellino San Marco,10,24
Cerignola,22,167
Chieuti,6,46
Cisternino,309,6035
Collepasso,20,139
Conversano,147,2656
Copertino,50,343
Corato,57,615
Corigliano d'Otranto,45,326
Corsano,98,953
Crispiano,27,176
Cursi,20,208
Cutrofiano,69,857
Deliceto,6,25
Diso,142,1568
Erchie,3,2
Faeto,1,0
Faggiano,1,12
Fasano,449,3978
Foggia,92,1434
Fragagnano,5,21
Francavilla Fontana,62,463
Gagliano del Capo,126,1873
Galatina,142,1068
Galatone,179,1003
Gallipoli,921,11609
Ginosa,83,672
Gioia del Colle,45,816
Giovinazzo,107,2245
Giuggianello,20,200
Giurdignano,49,402
Gravina in Puglia,58,886
Grottaglie,48,283
Grumo Appula,3,91
Guagnano,11,82
Ischitella,49,508
Isole Tremiti,24,743
Laterza,28,477
Latiano,27,139
Lecce,1100,31868
Leporano,94,506
Lequile,36,646
Lesina,46,372
Leverano,67,435
Lizzanello,46,582
Lizzano,61,364
Locorotondo,248,6980
Lucera,24,231
Maglie,48,404
Manduria,421,3321
Manfredonia,119,1092
Margherita di Savoia,67,309
Martano,55,353
Martignano,9,169
Martina Franca,547,11746
Maruggio,222,1470
Massafra,39,284
Matino,193,1257
Mattinata,121,2931
Melendugno,503,5166
Melissano,43,178
Melpignano,16,100
Mesagne,93,771
Miggiano,20,120
Minervino Murge,8,103
Minervino di Lecce,37,182
Modugno,17,149
Mola di Bari,86,1920
Molfetta,74,1464
Monopoli,749,19970
Monte Sant'Angelo,64,1699
Monteleone di Puglia,2,13
Montemesola,3,29
Monteparano,1,19
Monteroni di Lecce,49,455
Montesano Salentino,17,98
Morciano di Leuca,184,1816
Motta Montecorvino,1,0
Mottola,34,277
Muro Leccese,40,294
Nard,851,8346
Neviano,38,237
Noci,77,1568
Nociglia,8,27
