neighbourhood_cleansed,number_of_hosts,number_of_reviews
Acate,10,45
Aci Bonaccorsi,8,152
Aci Castello,286,6633
Aci Catena,50,1434
Aci Sant'Antonio,45,497
Acireale,348,7241
Acquaviva Platani,5,35
Acquedolci,36,250
Adrano,15,156
Agira,12,79
Agrigento,560,23889
Aidone,9,31
Al,2,14
Al Terme,9,28
Alcamo,402,4952
Alcara li Fusi,1,0
Alessandria della Rocca,1,1
Alia,8,29
Alimena,2,0
Altavilla Milicia,125,1372
Altofonte,3,19
Antillo,2,13
Aragona,17,68
Assoro,8,28
Augusta,342,5632
Avola,633,9311
Bagheria,94,1716
Balestrate,188,1848
Barcellona Pozzo di Gotto,43,312
Barrafranca,5,42
Basic,3,5
Belmonte Mezzagno,4,7
Belpasso,57,887
Biancavilla,17,146
Bisacquino,3,35
Bivona,2,1
Bolognetta,5,22
Bompensiere,1,0
Bompietro,3,26
Borgetto,18,585
Brolo,32,162
Bronte,14,117
Buccheri,9,125
Burgio,3,0
Buscemi,4,83
Buseto Palizzolo,45,759
Butera,12,32
Caccamo,25,384
Calamonaci,3,2
Calascibetta,5,195
Calatabiano,83,1185
Calatafimi-Segesta,43,601
Caltabellotta,18,120
Caltagirone,103,1230
Caltanissetta,56,775
Caltavuturo,4,44
Camastra,5,4
Cammarata,12,229
Campobello di Licata,13,49
Campobello di Mazara,92,741
Campofelice di Roccella,164,2100
Campofiorito,4,220
Campofranco,2,0
Camporeale,1,1
Camporotondo Etneo,4,35
Canicatt,22,789
Canicattini Bagni,26,279
Capaci,56,660
Capizzi,2,11
Capo d'Orlando,186,1567
Capri Leone,13,187
Carini,147,2078
Carlentini,50,499
Caronia,39,376
Casalvecchio Siculo,6,73
Cassaro,5,32
Castel di Iudica,6,53
Castel di Lucio,3,3
Castelbuono,66,1748
Casteldaccia,57,783
Castell'Umberto,6,126
Castellammare del Golfo,869,22400
Castellana Sicula,6,47
Castelmola,55,3190
Casteltermini,1,4
Castelvetrano,244,2180
Castiglione di Sicilia,71,867
Castrofilippo,4,61
Castronovo di Sicilia,6,77
Castroreale,7,196
Catania,1794,97872
Catenanuova,2,12
Cattolica Eraclea,25,535
Cefal,708,31811
Centuripe,10,94
Cerami,2,0
Cerda,2,25
Cesar,3,13
Chiaramonte Gulfi,55,812
Chiusa Sclafani,2,7
Cianciana,20,145
Ciminna,4,31
Cinisi,144,2267
Collesano,35,823
Comiso,43,528
Comitini,2,3
Condr,3,17
Contessa Entellina,5,200
Corleone,19,109
Custonaci,189,3951
Delia,2,3
Enna,82,1935
