neighbourhood_cleansed,number_of_hosts,number_of_reviews
Arbutus Ridge,55,3294
Downtown,1025,50657
Downtown Eastside,240,15450
Dunbar Southlands,95,4007
Fairview,101,3625
Grandview-Woodland,201,14101
Hastings-Sunrise,222,11710
Kensington-Cedar Cottage,259,13185
Kerrisdale,37,1737
Killarney,84,3822
Kitsilano,327,16170
Marpole,140,12117
Mount Pleasant,271,11940
Oakridge,42,1971
Renfrew-Collingwood,194,12534
Riley Park,208,12576
Shaughnessy,34,1950
South Cambie,58,3030
Strathcona,33,1433
Sunset,95,4531
Victoria-Fraserview,65,2584
West End,271,13232
West Point Grey,78,3156
