neighbourhood_cleansed,number_of_hosts,number_of_reviews
A dos Cunhados e Maceira,71,1384
Abrigada e Cabanas de Torres,4,18
Agualva e Mira-Sintra,11,355
Ajuda,109,7245
Alcabideche,98,2424
Alcntara,154,9319
Alcoentre,1,2
Aldeia Galega da Merceana e Aldeia Gavinha,3,16
Alenquer (Santo Estvo e Triana),10,71
Alfragide,8,360
"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",73,2634
Alguber,2,1
Algueiro-Mem Martins,27,1022
"Alhandra, So Joo dos Montes e Calhandriz",4,63
"Almargem do Bispo, Pro Pinheiro e Montelavar",12,409
Alvalade,119,7054
Alverca do Ribatejo e Sobralinho,4,37
Areeiro,117,8988
Arranh,1,16
Arroios,766,84462
Arruda dos Vinhos,2,21
Aveiras de Baixo,3,52
Aveiras de Cima,6,47
Avenidas Novas,224,18525
Azambuja,1,26
Azueira e Sobral da Abelheira,3,70
Barcarena,11,248
Beato,59,2829
Belm,193,10592
Benfica,36,870
Bucelas,4,44
Cacm e So Marcos,17,224
Cadaval e Pro Moniz,12,219
"Camarate, Unhos e Apelao",9,169
Campelos e Outeiro da Cabea,4,130
Campo de Ourique,171,10057
Campolide,83,4697
Carcavelos e Parede,205,7747
Cardosas,1,60
Carnaxide e Queijas,15,644
Carnide,19,719
Carnota,2,121
Carregado e Cadafais,4,34
Carvoeira,80,2118
Carvoeira e Carmes,3,81
Casal de Cambra,3,159
Cascais e Estoril,727,39030
Colares,235,13516
Dois Portos e Runa,5,131
Encarnao,29,413
Encosta do Sol,10,200
"Enxara do Bispo, Gradil e Vila Franca do Rosrio",13,282
Ericeira,379,18017
Estrela,517,44391
Falagueira-Venda Nova,10,163
Freiria,2,33
Igreja Nova e Cheleiros,10,492
Lamas e Cercal,14,315
Loures,9,116
Lourinh e Atalaia,175,3399
Lousa,2,196
Lumiar,65,1825
Mafra,39,1164
Malveira e So Miguel de Alcaina,2,8
"Manique do Intendente, V.N.de S.Pedro e Maussa",7,195
Marvila,53,2062
Massam e Monte Abrao,20,366
Maxial e Monte Redondo,6,71
Meca,1,13
Mina de gua,14,774
Miragaia e Marteleira,5,381
Misericrdia,1010,203066
Moita dos Ferreiros,5,65
Moscavide e Portela,34,5276
Odivelas,23,864
"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",144,5058
Olivais,77,12085
Ota,1,3
Painho e Figueiros,2,8
Parque das Naes,160,7044
Penha de Frana,265,16837
Peral,4,61
Ponte do Rol,1,2
Pontinha e Fames,10,323
Porto Salvo,4,192
Pvoa de Santa Iria e Forte da Casa,5,93
Pvoa de Santo Adrio e Olival de Basto,8,471
Queluz e Belas,24,453
Ramada e Caneas,11,349
Ramalhal,4,116
Reguengo Grande,24,328
Ribafria e Pereiro de Palhacana,4,154
Ribamar,18,226
Rio de Mouro,20,644
"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",257,26986
"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",15,253
Sacavm e Prior Velho,20,826
Santa Brbara,23,222
Santa Clara,17,666
"Santa Iria de Azoia, So Joo da Talha e Bobadela",15,275
Santa Maria Maior,1255,304799
Santiago dos Velhos,2,17
Santo Antnio,522,68692
Santo Antnio dos Cavaleiros e Frielas,8,76
Santo Anto e So Julio do Tojal,1,24
Santo Isidoro,102,3204
Santo Quintino,7,74
Sapataria,2,44
Silveira,52,1119
So Bartolomeu dos Galegos e Moledo,26,697
So Domingos de Benfica,68,2714
So Domingos de Rana,32,528
So Joo das Lampas e Terrugem,98,5133
So Pedro da Cadeira,18,480
So Vicente,591,86269
Sobral de Monte Agrao,4,224
Turcifal,5,45
Vale do Paraso,1,21
Venda do Pinheiro e Santo Estvo das Gals,5,106
Venteira,17,954
Ventosa,5,196
Vermelha,4,60
Vialonga,2,7
Vila Franca de Xira,13,426
Vila Verde dos Francos,4,38
Vilar,5,43
Vimeiro,3,195
guas Livres,27,1177
