neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ang Mo Kio,13,16
Bedok,56,1546
Bishan,22,134
Bukit Batok,17,106
Bukit Merah,58,1360
Bukit Panjang,11,13
Bukit Timah,21,324
Central Water Catchment,4,4
Choa Chu Kang,8,91
Clementi,16,159
Downtown Core,73,3086
Geylang,68,2133
Hougang,21,515
Jurong East,18,164
Jurong West,39,358
Kallang,68,4493
Lim Chu Kang,62,2443
Mandai,1,12
Marina South,4,105
Marine Parade,24,717
Museum,14,159
Newton,21,681
North-Eastern Islands,1,2
Novena,52,1130
Orchard,20,326
Outram,42,3397
Pasir Ris,20,207
Pioneer,1,0
Punggol,11,267
Queenstown,41,563
River Valley,34,1137
Rochor,62,3313
Sembawang,23,84
Sengkang,10,35
Serangoon,19,682
Singapore River,22,778
Southern Islands,11,32
Sungei Kadut,14,399
Tampines,19,1645
Tanglin,31,211
Toa Payoh,19,32
Tuas,2,5
Western Water Catchment,103,4765
Woodlands,178,20596
Yishun,8,25
