neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ward 1,115,1410
Ward 10,19,99
Ward 100,211,3559
Ward 101,1,0
Ward 102,42,406
Ward 103,50,698
Ward 104,7,50
Ward 105,61,1137
Ward 106,1,0
Ward 107,352,5511
Ward 108,2,0
Ward 109,23,384
Ward 11,21,204
Ward 110,3,4
Ward 111,7,1
Ward 112,78,1630
Ward 113,191,2642
Ward 114,1,0
Ward 115,1599,112423
Ward 116,6,11
Ward 12,4,12
Ward 14,30,535
Ward 15,282,5363
Ward 16,5,1
Ward 17,4,2
Ward 18,2,3
Ward 19,4,15
Ward 2,89,810
Ward 21,112,2613
Ward 22,5,10
Ward 23,658,14857
Ward 25,4,0
Ward 26,24,163
Ward 27,31,144
Ward 28,1,0
Ward 3,37,599
Ward 30,5,63
Ward 31,1,0
Ward 32,11,78
Ward 37,1,0
Ward 38,1,1
Ward 4,127,2500
Ward 43,12,42
Ward 44,3,62
Ward 45,1,5
Ward 46,13,46
Ward 48,12,77
Ward 49,14,77
Ward 5,40,704
Ward 50,1,2
Ward 51,3,30
Ward 53,112,2348
Ward 54,1207,64615
Ward 55,245,7242
Ward 56,10,172
Ward 57,272,8407
Ward 58,261,6845
Ward 59,326,9770
Ward 6,6,130
Ward 60,39,558
Ward 61,543,23517
Ward 62,350,7579
Ward 63,39,725
Ward 64,626,19775
Ward 65,7,26
Ward 66,7,108
Ward 67,18,261
Ward 68,5,107
Ward 69,275,5822
Ward 7,15,145
Ward 70,118,2280
Ward 71,194,3615
Ward 72,9,22
Ward 73,158,2859
Ward 74,592,14701
Ward 75,3,1
Ward 76,1,1
Ward 77,816,30099
Ward 78,2,4
Ward 8,43,560
Ward 81,1,0
Ward 82,5,1
Ward 83,198,3276
Ward 84,215,3420
Ward 85,74,788
Ward 86,35,309
Ward 9,10,96
Ward 91,2,1
Ward 92,5,5
Ward 93,1,8
Ward 94,6,42
Ward 95,1,0
Ward 96,2,1
