neighbourhood_cleansed,number_of_hosts,number_of_reviews
AIORA,154,7233
ALBORS,59,2034
ARRANCAPINS,139,12004
BENICALAP,57,2355
BENIFARAIG,3,70
BENIFERRI,10,479
BENIMACLET,79,2047
BENIMAMET,89,3685
BETERO,36,780
BORBOTO,10,317
CABANYAL-CANYAMELAR,481,30770
CAMI DE VERA,12,517
CAMI FONDO,33,1072
CAMI REAL,8,374
CAMPANAR,12,777
CARPESA,3,24
CASTELLAR-L'OLIVERAL,2,16
CIUTAT DE LES ARTS I DE LES CIENCIES,39,2627
CIUTAT FALLERA,8,87
CIUTAT JARDI,62,2069
CIUTAT UNIVERSITARIA,4,14
EL BOTANIC,95,8011
EL CALVARI,10,209
EL CARME,189,17936
EL FORN D'ALCEDO,7,249
EL GRAU,138,7518
EL MERCAT,158,18192
EL PALMAR,6,132
EL PERELLONET,128,2466
EL PILAR,101,7400
EL PLA DEL REMEI,30,2096
EL SALER,41,822
ELS ORRIOLS,30,567
EN CORTS,78,6280
EXPOSICIO,13,1551
FAITANAR,30,547
FAVARA,11,198
JAUME ROIG,13,166
L'AMISTAT,48,1730
L'HORT DE SENABRE,31,1000
L'ILLA PERDUDA,24,1001
LA CARRASCA,64,1852
LA CREU COBERTA,5,190
LA CREU DEL GRAU,72,4599
LA FONTETA S.LLUIS,5,165
LA FONTSANTA,9,419
LA GRAN VIA,49,2693
LA LLUM,19,278
LA MALVA-ROSA,275,11820
LA PETXINA,72,3499
LA PUNTA,21,383
LA RAIOSA,64,2127
LA ROQUETA,83,7879
LA SEU,125,15482
LA TORRE,15,439
LA VEGA BAIXA,21,881
LA XEREA,66,7031
LES CASES DE BARCENA,14,91
LES TENDETES,29,1234
MAHUELLA-TAULADELLA,11,93
MALILLA,28,702
MARXALENES,34,1625
MASSARROJOS,30,463
MESTALLA,69,3659
MONT-OLIVET,115,8038
MORVEDRE,80,5103
NA ROVELLA,28,1555
NATZARET,21,1085
NOU MOLES,92,3542
PATRAIX,49,2306
PENYA-ROJA,53,2649
PINEDO,9,503
POBLE NOU,11,193
RAFALELL-VISTABELLA,135,3503
RUSSAFA,335,25414
SAFRANAR,5,94
SANT ANTONI,30,965
SANT FRANCESC,140,14077
SANT ISIDRE,4,83
SANT LLORENS,45,2040
SANT MARCEL.LI,14,284
SANT PAU,47,2266
SOTERNES,39,1455
TORMOS,35,1050
TORREFIEL,36,1294
TRES FORQUES,33,1175
TRINITAT,39,1894
VARA DE QUART,29,1045
