neighbourhood_cleansed,number_of_hosts,number_of_reviews
ALBANY,191,23640
ARMADALE,42,1623
ASHBURTON,1,36
AUGUSTA-MARGARET RIVER,444,66155
BASSENDEAN,19,2043
BAYSWATER,84,7164
BELMONT,105,13069
BEVERLEY,2,122
BODDINGTON,2,170
BOYUP BROOK,7,221
BRIDGETOWN-GREENBUSHES,51,3383
BROOME,132,7100
BROOMEHILL-TAMBELLUP,2,104
BRUCE ROCK,2,70
BUNBURY,73,7298
BUSSELTON,652,74787
CAMBRIDGE,48,3875
CANNING,92,4766
CAPEL,58,3929
CARNAMAH,1,127
CARNARVON,14,1234
CHAPMAN VALLEY,3,175
CHITTERING,13,390
CLAREMONT,29,1092
COCKBURN,114,5178
COLLIE,15,792
COOROW,18,715
CORRIGIN,2,66
COTTESLOE,81,5856
CRANBROOK,2,117
CUBALLING,2,56
CUE,1,0
CUNDERDIN,1,36
DANDARAGAN,66,6711
DARDANUP,16,779
DENMARK,126,11251
DERBY-WEST KIMBERLEY,2,1
DONNYBROOK-BALINGUP,40,3875
DUMBLEYUNG,1,76
DUNDAS,1,110
EAST FREMANTLE,38,3364
EAST PILBARA,4,500
ESPERANCE,98,10623
EXMOUTH,46,2876
FREMANTLE,262,29853
GINGIN,90,6515
GNOWANGERUP,1,277
GOOMALLING,1,0
GOSNELLS,51,1958
GREATER GERALDTON,96,11291
HARVEY,44,2559
IRWIN,18,870
JERRAMUNGUP,20,2319
JOONDALUP,190,8757
KALAMUNDA,45,3719
KALGOORLIE-BOULDER,64,2401
KARRATHA,10,317
KATANNING,7,633
KELLERBERRIN,2,160
KOJONUP,3,40
KONDININ,5,1515
KULIN,3,329
KWINANA,18,592
LAKE GRACE,2,47
LAVERTON,1,21
MANDURAH,297,15700
MANJIMUP,90,9435
MEEKATHARRA,1,9
MELVILLE,123,6958
MENZIES,1,0
MERREDIN,10,574
MOORA,4,47
MOSMAN PARK,38,1938
MOUNT MARSHALL,1,52
MUNDARING,43,3287
MURRAY,72,5528
NANNUP,33,2857
NARROGIN,10,561
NEDLANDS,35,1728
NGAANYATJARRAKU,1,0
NORTHAM,17,1292
NORTHAMPTON,68,4724
NUNGARIN,1,36
PEPPERMINT GROVE,3,13
PERENJORI,1,48
PERTH,216,21900
PINGELLY,3,59
PLANTAGENET,21,1834
PORT HEDLAND,9,194
QUAIRADING,1,27
RAVENSTHORPE,16,771
ROCKINGHAM,128,5310
SANDSTONE,1,5
SERPENTINE-JARRAHDALE,18,1268
SHARK BAY,12,921
SOUTH PERTH,107,7774
STIRLING,339,21503
SUBIACO,62,5854
SWAN,90,5793
TOODYAY,19,1087
TRAYNING,1,12
VICTORIA PARK,78,6014
VINCENT,136,12272
WAGIN,3,268
WANDERING,1,140
WANNEROO,147,6424
WAROONA,17,547
WEST ARTHUR,1,19
WICKEPIN,1,16
WILLIAMS,2,12
WYNDHAM-EAST KIMBERLEY,12,357
YALGOO,2,18
YILGARN,2,83
YORK,19,793
