neighbourhood_cleansed,number_of_hosts,number_of_reviews
Bang Bon,4,1
Bang Kapi,208,1720
Bang Khae,60,146
Bang Khen,103,719
Bang Kho laen,75,2460
Bang Khun thain,25,93
Bang Na,451,7236
Bang Phlat,127,899
Bang Rak,327,17073
Bang Sue,230,4040
Bangkok Noi,79,687
Bangkok Yai,60,714
Bueng Kum,42,313
Chatu Chak,378,7921
Chom Thong,64,1046
Din Daeng,275,8001
Don Mueang,157,2944
Dusit,46,511
Huai Khwang,552,17389
Khan Na Yao,47,244
Khlong Sam Wa,29,39
Khlong San,214,7046
Khlong Toei,819,39191
Lak Si,188,2940
Lat Krabang,120,3821
Lat Phrao,48,165
Min Buri,39,129
Nong Chok,18,33
Nong Khaem,16,15
Parthum Wan,224,7993
Phasi Charoen,128,1449
Phaya Thai,219,12885
Phra Khanong,366,5667
Phra Nakhon,193,7179
Pom Prap Sattru Phai,47,4528
Pra Wet,162,1950
Rat Burana,52,616
Ratchathewi,395,19810
Sai Mai,43,109
Samphanthawong,43,1092
Saphan Sung,35,130
Sathon,279,18540
Suanluang,254,3602
Taling Chan,43,127
Thawi Watthana,24,53
Thon buri,141,3397
Thung khru,23,33
Vadhana,1039,35994
Wang Thong Lang,79,154
Yan na wa,153,2831
