neighbourhood_cleansed,number_of_hosts,number_of_reviews
Bijlmer-Centrum,76,4964
Bijlmer-Oost,29,983
Bos en Lommer,284,10586
Buitenveldert - Zuidas,111,5691
Centrum-Oost,489,45227
Centrum-West,674,69068
De Aker - Nieuw Sloten,69,6330
De Baarsjes - Oud-West,916,40372
De Pijp - Rivierenbuurt,644,30418
Gaasperdam - Driemond,74,5042
Geuzenveld - Slotermeer,86,5260
IJburg - Zeeburgereiland,157,6088
Noord-Oost,159,10004
Noord-West,181,7776
Oostelijk Havengebied - Indische Buurt,224,9500
Osdorp,54,6921
Oud-Noord,225,13076
Oud-Oost,338,14037
Slotervaart,100,6078
Watergraafsmeer,211,9156
Westerpark,403,16829
Zuid,372,19498
