neighbourhood_cleansed,number_of_hosts,number_of_reviews
's-Gravenland,7,97
Afrikaanderwijk,2,17
Agniesebuurt,6,114
Bergpolder,27,437
Beverwaard,1,0
Blijdorp,43,958
Bloemhof,5,75
Bospolder,5,843
Botlek,9,1163
Carnisse,6,123
Charlois Zuidrand,7,120
Cool,26,3128
Cs Kwartier,15,812
De Esch,4,150
Delfshaven,11,151
Dijkzigt,8,344
Dorp,4,159
Eemhaven,7,313
Europoort,14,664
Feijenoord,2,20
Groot IJsselmonde,6,164
Het Lage Land,2,39
Hillegersberg Noord,8,310
Hillegersberg Zuid,12,327
Hillesluis,2,1874
Hoogvliet Noord,3,83
Hoogvliet Zuid,7,82
Katendrecht,5,136
Kleinpolder,2,13
Kop van Zuid,9,312
Kop van Zuid - Entrepot,9,738
Kralingen Oost,9,81
Kralingen West,18,1523
Kralingse Bos,1,309
Liskwartier,16,495
Lombardijen,5,16
Maasvlakte,18,442
Middelland,38,2764
Molenlaankwartier,8,320
Nesselande,7,495
Nieuw Crooswijk,4,15
Nieuw Mathenesse,26,554
Nieuwe Werk,7,726
Nieuwe Westen,41,1932
Noord Kethel,3,537
Noordereiland,9,1033
Ommoord,8,537
Oosterflank,11,160
Oud Charlois,9,258
Oud Crooswijk,3,137
Oud IJsselmonde,4,164
Oud Mathenesse,6,94
Oude Noorden,25,829
Oude Westen,23,2157
Overschie,7,519
Pendrecht,1,10
Prinsenland,2,15
Provenierswijk,11,714
Rijnpoort,6,246
Rozenburg,2,16
Rubroek,14,520
Schiebroek,6,116
Schiemond,7,593
Schieveen,4,345
Spaanse Polder,3,76
Spangen,5,465
Stadsdriehoek,63,5976
Strand en Duin,12,248
Struisenburg,5,14
Tarwewijk,7,310
Terbregge,4,197
Tussendijken,11,627
Vondelingenplaat,15,512
Vreewijk,4,30
Waalhaven Zuid,2,0
Wielewaal,1,4
Zestienhoven,3,14
Zevenkamp,4,52
Zuiderpark,3,95
Zuidwijk,1,130
