neighbourhood_cleansed,number_of_hosts,number_of_reviews
Archipelbuurt,11,367
Arendsdorp,7,607
Belgisch Park,37,1647
Bezuidenhout-Midden,22,858
Bezuidenhout-Oost,16,385
Bezuidenhout-West,2,25
Binckhorst,11,77
Bloemenbuurt-Oost,9,323
Bloemenbuurt-West,4,15
Bohemen en Meer en Bos,1,1
Bomenbuurt,10,1445
Bosjes van Pex,2,13
Burgen en Horsten,3,42
Componistenbuurt,2,180
De Bras,13,1103
De Lanen,1,0
De Rivieren,7,455
De Uithof,2,552
De Velden,2,97
De Venen,3,125
De Vissen,1,84
Dreven en Gaarden,1,77
Duindorp,9,336
Duinzigt,5,274
Duttendel,6,208
Erasmus Veld,1,712
Eykenduinen,5,79
Geuzenkwartier,14,541
Haagse Bos,2,21
Heesterbuurt,8,44
Hoge Veld,3,9
Huygenspark,9,4599
Koningsplein en omgeving,22,655
Kortenbos,17,1585
Kraayenstein en Vroondaal,7,569
Laakhaven-Oost,2,49
Laakhaven-West,2,113
Laakkwartier-Oost,8,151
Laakkwartier-West,4,122
Lage Veld,1,2
Landen,5,355
Leyenburg,1,29
Marlot,12,514
Moerwijk-Noord,1,25
Moerwijk-Oost,1,19
Moerwijk-West,1,24
Morgenstond-Oost,3,289
Morgenstond-Zuid,2,34
Morgenweide,3,138
Nassaubuurt,4,411
Nieuw Waldeck,3,36
Noordpolderbuurt,4,67
Ockenburgh,16,743
Oostbroek-Noord,2,3
Oostbroek-Zuid,1,6
Oud Scheveningen,15,372
Rietbuurt,3,6
Rijslag,11,480
Rivierenbuurt-Noord,6,332
Rivierenbuurt-Zuid,1,754
Rond de Energiecentrale,5,111
Rustenburg,1,50
Scheveningen Badplaats,57,2718
Schildersbuurt-Noord,4,262
Schildersbuurt-West,4,566
Spoorwijk,3,25
Stadhoudersplantsoen,5,219
Statenkwartier,28,2280
Sweelinckplein en omgeving,13,568
Transvaalkwartier-Zuid,1,15
Uilebomen,2,111
Uilennest,3,139
Valkenboskwartier,25,1557
Van Hoytemastraat en omgeving,4,14
Van Stolkpark en Scheveningse Bosjes,1,1
Visserijbuurt,20,510
Vissershaven,11,653
Vliegeniersbuurt,55,5752
Vlietzoom-Oost,18,976
Vlietzoom-West,20,941
Vogelwijk,24,867
Voorhout,11,1078
Vruchtenbuurt,15,619
Waalsdorp,6,50
Waldeck-Noord,2,60
Waldeck-Zuid,2,145
Waterbuurt,1,1
Westbroekpark,1,8
Willemspark,6,349
Zeeheldenkwartier,33,1763
Zonne Veld,1,28
Zorgvliet,1,4
Zuiderpark,1,337
Zuidwal,8,771
