neighbourhood_cleansed,number_of_hosts,number_of_reviews
Adalar,246,4628
Arnavutkoy,104,1204
Atasehir,439,2896
Avcilar,251,723
Bagcilar,253,2620
Bahcelievler,288,1197
Bakirkoy,295,1563
Basaksehir,237,671
Bayrampasa,55,113
Besiktas,1553,14902
Beykoz,155,776
Beylikduzu,237,486
Beyoglu,2932,167131
Buyukcekmece,151,258
Catalca,27,216
Cekmekoy,84,86
Esenler,24,66
Esenyurt,778,2323
Eyup,271,1282
Fatih,1249,63047
Gaziosmanpasa,93,400
Gungoren,66,226
Kadikoy,2522,25554
Kagithane,629,1927
Kartal,276,754
Kucukcekmece,267,795
Maltepe,511,2908
Pendik,280,1702
Sancaktepe,70,127
Sariyer,341,2240
Sile,225,1944
Silivri,85,171
Sisli,2666,24552
Sultanbeyli,24,16
Sultangazi,37,167
Tuzla,134,486
Umraniye,328,1136
Uskudar,884,4204
Zeytinburnu,140,1054
