neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ashley,163,12811
Avonmouth & Lawrence Weston,40,1483
Bedminster,43,2329
Bishopston & Ashley Down,55,3236
Bishopsworth,19,558
Brislington East,29,1150
Brislington West,31,1047
Central,91,10141
Clifton,114,8479
Clifton Down,87,7976
Cotham,79,6231
Easton,54,4054
Eastville,48,2104
Filwood,12,999
Frome Vale,40,2715
Hartcliffe & Withywood,14,670
Henbury & Brentry,44,1739
Hengrove & Whitchurch Park,13,988
Hillfields,21,1058
Horfield,42,2663
Hotwells & Harbourside,43,3342
Knowle,31,1555
Lawrence Hill,67,6487
Lockleaze,41,2416
Redland,67,4043
Southmead,21,1282
Southville,73,6103
St George Central,39,853
St George Troopers Hill,20,1322
St George West,32,1729
Stockwood,14,542
Stoke Bishop,32,2037
Westbury-on-Trym & Henleaze,36,1632
Windmill Hill,70,5329
