neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ancoats and Clayton,167,14339
Ardwick,44,3317
Baguley,11,439
Bolton District,98,2857
Bradford,90,4789
Brooklands,8,427
Burnage,19,696
Bury District,92,4796
Charlestown,11,137
Cheetham,54,1813
Chorlton,46,2685
Chorlton Park,27,1101
City Centre,178,17734
Crumpsall,18,200
Didsbury East,25,1265
Didsbury West,39,5631
Fallowfield,36,1327
Gorton North,21,1893
Gorton South,40,1377
Harpurhey,37,1190
Higher Blackley,9,69
Hulme,82,3722
Levenshulme,31,1987
Longsight,29,868
Miles Platting and Newton Heath,39,1972
Moss Side,59,2822
Moston,8,114
Northenden,13,1070
Old Moat,26,1826
Oldham District,112,6625
Rochdale District,50,1069
Rusholme,30,1044
Salford District,403,18027
Sharston,6,890
Stockport District,217,12934
Tameside District,88,3497
Trafford District,232,12438
Whalley Range,47,2365
Wigan District,81,3637
Withington,21,736
Woodhouse Park,14,1453
