neighbourhood_cleansed,number_of_hosts,number_of_reviews
Barking and Dagenham,320,3901
Barnet,1096,19555
Bexley,290,3823
Brent,1379,32540
Bromley,487,7632
Camden,2880,103929
City of London,207,12187
Croydon,758,14868
Ealing,1117,27183
Enfield,454,8938
Greenwich,1106,24111
Hackney,4249,74931
Hammersmith and Fulham,2132,57020
Haringey,1531,29907
Harrow,306,6527
Havering,230,3600
Hillingdon,435,17265
Hounslow,750,20334
Islington,2946,75901
Kensington and Chelsea,2553,80898
Kingston upon Thames,448,9960
Lambeth,2989,77669
Lewisham,1617,26555
Merton,873,13502
Newham,1209,25543
Redbridge,478,8487
Richmond upon Thames,902,26401
Southwark,3001,77963
Sutton,223,5171
Tower Hamlets,3944,90792
Waltham Forest,1029,17113
Wandsworth,2727,55979
Westminster,3635,156027
