neighbourhood_cleansed,number_of_hosts,number_of_reviews
Acton,10,123
Adams-Normandie,19,1567
Agoura Hills,50,1478
Agua Dulce,13,726
Alhambra,202,19202
Aliso Viejo,42,1024
Aliso and Wood Regional Park,1,66
Alondra Park,14,1014
Altadena,158,11947
Anaheim,427,44471
Angeles Crest,38,2374
Arcadia,115,2440
Arleta,5,459
Arlington Heights,31,3884
Artesia,13,602
Athens,12,396
Atwater Village,76,5938
Avalon,50,7735
Avocado Heights,6,544
Azusa,45,3494
Baldwin Hills/Crenshaw,57,1557
Baldwin Park,40,2093
Bel-Air,50,818
Bell,8,839
Bell Gardens,4,23
Bellflower,32,1276
Beverly Crest,127,3928
Beverly Grove,300,7807
Beverly Hills,393,12238
Beverlywood,16,850
Boyle Heights,50,2959
Brea,31,2676
Brentwood,147,3199
Broadway-Manchester,12,432
Buena Park,28,1448
Burbank,307,24531
Calabasas,78,1724
Canoga Park,55,2249
Carson,70,4314
Carthay,62,4414
Castaic,13,1064
Castaic Canyons,24,524
Central-Alameda,13,77
Century City,19,786
Cerritos,20,441
Charter Oak,7,595
Chatsworth,64,2678
Chatsworth Reservoir,3,49
Chesterfield Square,12,342
Cheviot Hills,30,1208
Chinatown,39,1447
Citrus,3,22
Claremont,69,3939
Cleveland National Forest,1,4
Commerce,25,468
Compton,36,873
Costa Mesa,188,22225
Covina,34,2359
Cudahy,2,13
Culver City,287,23866
Cypress,12,323
Cypress Park,12,768
Dana Point,230,11289
Del Aire,45,6744
Del Rey,173,9627
Desert View Highlands,2,66
Diamond Bar,102,1835
Downey,65,3920
Downtown,629,21987
Duarte,18,375
Eagle Rock,117,6910
East Hollywood,172,7141
East Los Angeles,125,12074
East Pasadena,27,3845
East San Gabriel,53,2865
East Whittier,7,229
Echo Park,268,17847
El Monte,88,6288
El Segundo,65,10776
El Sereno,52,3901
Elizabeth Lake,2,7
Elysian Park,5,623
Elysian Valley,21,883
Emerald Bay,3,8
Encino,124,4067
Exposition Park,58,1851
Fairfax,163,6730
Florence,7,71
Florence-Firestone,23,1428
Fountain Valley,134,8509
Fullerton,137,14642
Garden Grove,158,6947
Gardena,85,7994
Glassell Park,56,4566
Glendale,471,24205
Glendora,42,3008
Gramercy Park,31,1228
Granada Hills,38,1889
Green Meadows,5,482
Green Valley,6,556
Griffith Park,8,136
Hacienda Heights,114,5958
Hancock Park,69,2360
Harbor City,13,368
Harbor Gateway,33,906
Harvard Heights,37,1971
Harvard Park,5,271
Hasley Canyon,2,204
Hawaiian Gardens,6,166
Hawthorne,166,13601
Hermosa Beach,166,7266
Hidden Hills,4,73
Highland Park,143,9471
Historic South-Central,29,793
Hollywood,772,42023
Hollywood Hills,430,29927
Hollywood Hills West,369,16014
Huntington Beach,381,24985
Huntington Park,11,193
Hyde Park,91,3782
Industry,18,691
Inglewood,414,37091
Irvine,460,8522
Irwindale,4,707
Jefferson Park,64,3521
Koreatown,240,8281
La Canada Flintridge,27,1526
La Crescenta-Montrose,19,2094
La Habra,17,817
La Habra Heights,14,292
La Mirada,12,492
La Palma,7,235
La Puente,14,809
La Verne,26,1439
Ladera Heights,45,3214
Ladera Ranch,13,546
Laguna Beach,220,14920
Laguna Hills,63,3787
Laguna Niguel,113,3472
Laguna Woods,4,52
Lake Balboa,57,2317
Lake Forest,72,1735
Lake Hughes,6,95
Lake Los Angeles,5,84
Lake View Terrace,3,79
Lakewood,58,2546
Lancaster,106,6638
Larchmont,55,2411
Lawndale,57,3732
Leimert Park,24,1170
Lennox,33,2002
Leona Valley,4,69
Lincoln Heights,32,1360
Lomita,23,1643
Long Beach,955,76364
Lopez/Kagel Canyons,3,2
Los Alamitos,5,191
Los Feliz,223,9108
Lynwood,15,1651
Malibu,236,20365
Manchester Square,21,379
Manhattan Beach,192,3288
Mar Vista,225,14052
Marina del Rey,198,7958
Mayflower Village,25,1005
Maywood,6,338
Mid-City,261,16318
Mid-Wilshire,319,13461
Midway City,56,4265
Mission Hills,7,246
Mission Viejo,76,2802
Monrovia,80,4794
Montebello,29,1356
Montecito Heights,55,4014
Monterey Park,112,9341
Mount Washington,95,7785
Newport Beach,467,47804
North El Monte,10,936
North Hills,31,1370
