neighbourhood_cleansed,number_of_hosts,number_of_reviews
Acorn-Acorn Industrial,6,220
Adams Point,28,1556
Allendale,14,494
Arrowhead Marsh,10,618
Arroyo Viejo,3,240
Bancroft Business-Havenscourt,12,179
Bartlett,2,70
Bella Vista,6,250
Brookfield Village,8,730
Bushrod,137,10648
Caballo Hills,13,363
Castlemont,6,111
Chabot Park,15,582
Chinatown,8,254
Civic Center,3,145
Claremont,24,1703
Clawson,29,1747
Cleveland Heights,45,2415
Clinton,20,1233
Coliseum,3,159
Coliseum Industrial,1,130
Columbia Gardens,1,0
Crestmont,4,30
Crocker Highland,16,1088
Dimond,6,150
Downtown,20,708
Durant Manor,14,336
East Peralta,7,772
Eastmont,4,127
Eastmont Hills,29,2057
Elmhurst Park,1,7
Fairfax,9,561
Fairfax Business-Wentworth-Holland,2,322
Fairview Park,67,8103
Fitchburg,3,349
Foothill Square,3,9
Forestland,16,576
Fremont,8,138
Frick,10,793
Fruitvale Station,8,135
Gaskill,22,1221
Glen Highlands,5,227
Glenview,24,1585
Golden Gate,62,5506
Golf Links,12,214
Grand Lake,27,3081
Harrington,7,217
Hawthorne,2,1
Hegenberger,1,35
Highland,3,465
Highland Terrace,9,511
Hiller Highlands,2,49
Hoover-Foster,28,1224
Iveywood,2,1
Ivy Hill,14,445
Jefferson,2,16
Lake Merritt,8,560
Lakeshore,21,1561
Lakewide,11,417
Las Palmas,3,149
Laurel,6,230
Leona Heights,5,270
Lincoln Highlands,22,1079
Lockwood Tevis,3,499
Longfellow,54,4405
Lynn-Highland Park,9,324
Maxwell Park,23,1134
McClymonds,20,508
Merritt,11,463
Merriwood,24,1755
Mills College,1,6
Millsmont,23,2172
Montclair,18,1447
Mosswood,22,1680
Mountain View Cemetery,5,354
North Kennedy Tract,2,3
North Stonehurst,3,53
Northgate,6,585
Oak Center,12,904
Oak Tree,3,3
Oakland Airport,14,548
Oakland Ave-Harrison St,29,2736
Oakmore,30,2616
Old City-Produce And Waterfront,20,1729
Panoramic Hill,116,11588
Paradise Park,73,6878
Patten,3,121
Peralta-Hacienda,7,106
Piedmont,9,156
Piedmont Avenue,32,2570
Piedmont Pines,22,1409
Pill Hill,18,745
Prescott,61,4011
Produce And Waterfront,62,5115
Ralph Bunche,11,177
Rancho San Antonio,6,92
Redwood Heights,27,2123
Reservoir Hill-Meadow Brook,9,949
Rockridge,27,4792
Saint Elizabeth,3,81
San Pablo Gateway,16,632
Santa Fe,50,4001
Sausal Creek,6,138
School,4,255
Seminary,5,126
Sequoyah,21,715
Shafter,41,4078
Sheffield Village,6,597
Shepherd Canyon,15,771
Skyline-Hillcrest Estates,6,406
Sobrante Park,17,1142
South Kennedy Tract,83,8805
South Prescott,19,1191
Temescal,33,2132
Toler Heights,16,913
Trestle Glen,15,1101
Tuxedo,6,383
Upper Dimond,11,1149
Upper Laurel,19,1206
Upper Peralta Creek-Bartlett,8,133
Upper Rockridge,38,2725
Waverly,1,1
Webster,1,147
Woodland,2,152
Woodminster,8,480
