neighbourhood_cleansed,number_of_hosts,number_of_reviews
Allied Gardens,12,820
Alta Vista,10,793
Amphitheater And Water Park,2,109
Balboa Park,167,20389
Bario Logan,9,1260
Bay Ho,78,4567
Bay Park,138,10715
Bay Terrace,31,1828
Bird Land,18,787
Bonita Long Canyon,19,1329
Carmel Mountain,9,102
Carmel Valley,106,2787
Chollas View,8,526
City Heights East,44,5197
City Heights West,97,7343
Clairemont Mesa,105,8539
College Area,93,5099
Columbia,18,1212
Core,86,9162
Cortez Hill,74,8050
Darnall,47,2816
Del Cerro,24,1431
Del Mar Heights,244,12831
East Lake,11,628
East Village,373,25321
Eastlake Trails,5,115
Eastlake Vistas,6,116
Eastlake Woods,1,7
Egger Highlands,119,6418
El Cerritos,16,704
Emerald Hills,13,1114
Encanto,52,4459
Estlake Greens,5,61
Gaslamp Quarter,105,7677
Gateway,13,1353
Grant Hill,87,12933
Grantville,40,2034
Horton Plaza,1,0
Jomacha-Lomita,55,4225
Kearny Mesa,4,651
Kensington,39,2740
La Jolla,389,39513
La Jolla Village,41,727
Lake Murray,60,3353
Lincoln Park,3,497
Linda Vista,86,6209
Little Italy,100,13608
Loma Portal,233,24485
Lynwood Hills,9,310
Marina,94,2378
Memorial,59,7089
Midtown,277,36584
Midtown District,29,1366
Mira Mesa,106,8108
Mission Bay,704,99667
Mission Valley,39,772
Moreno Mission,57,5513
Mount Hope,24,2313
Mountain View,26,2115
Nestor,6,420
Normal Heights,115,11288
North City,73,1412
North Clairemont,64,7885
North Hills,385,48722
Northwest,103,9244
Oak Park,14,970
Ocean Beach,262,55871
Old Town,135,16889
Otay Ranch,41,1920
Pacific Beach,525,56920
Palm City,4,30
Paradise Hills,49,3043
Park West,85,21561
Paseo Ranchoero,2,158
Rancho Bernadino,72,4035
Rancho Del Rey,13,396
Rancho Penasquitos,87,2732
Rolando,53,3332
Rolling Hills Ranch,6,231
Roseville,83,5675
Sabre Springs,20,1059
San Carlos,51,1939
San Ysidro,59,6896
Scripps Ranch,38,1337
Serra Mesa,78,4387
Sky Line,19,564
Sorrento Valley,11,57
South Park,71,8960
Southcrest,35,2580
Southwest,41,2469
Sunbow,8,673
Talmadge,29,2636
Terra Nova,3,272
Thomy Locust Pl,1,50
Tierrasanta,35,717
Tijuana River Valley,178,16690
Torrey Pines,17,1176
University City,132,5330
Valencia Park,14,1684
Webster,17,893
West University Heights,120,12578
Wooded Area,41,2024
Yosemite Dr,3,808
