neighbourhood_cleansed,number_of_hosts,number_of_reviews
Bayview,97,6514
Bernal Heights,234,19678
Castro/Upper Market,212,19861
Chinatown,43,2535
Crocker Amazon,52,6562
Diamond Heights,12,1605
Downtown/Civic Center,154,15158
Excelsior,89,8688
Financial District,77,5605
Glen Park,48,2874
Golden Gate Park,2,756
Haight Ashbury,154,15501
Inner Richmond,124,11607
Inner Sunset,95,7083
Lakeshore,67,8857
Marina,129,9391
Mission,342,25391
Nob Hill,124,4497
Noe Valley,186,12456
North Beach,91,4421
Ocean View,109,10980
Outer Mission,89,8635
Outer Richmond,120,13622
Outer Sunset,177,25655
Pacific Heights,97,6846
Parkside,88,8657
Potrero Hill,106,12451
Presidio,8,809
Presidio Heights,22,1424
Russian Hill,106,5550
Seacliff,6,950
South of Market,230,9609
Twin Peaks,37,2998
Visitacion Valley,42,5838
West of Twin Peaks,73,8734
Western Addition,284,19989
