neighbourhood_cleansed,number_of_hosts,number_of_reviews
Athmar Park,33,1626
Auraria,3,58
Baker,78,5761
Barnum,20,1084
Barnum West,36,2249
Bear Valley,26,1325
Belcaro,12,283
Berkeley,127,10403
CBD,70,3733
Capitol Hill,98,10348
Chaffee Park,86,7263
Cheesman Park,57,7042
Cherry Creek,31,885
City Park,21,3214
City Park West,69,7277
Civic Center,19,914
Clayton,38,3462
Cole,77,8040
College View - South Platte,25,939
Congress Park,74,6529
Cory - Merrill,17,910
Country Club,14,484
DIA,20,751
East Colfax,43,1253
Elyria Swansea,17,897
Five Points,246,30351
Fort Logan,34,1245
Gateway - Green Valley Ranch,124,10384
Globeville,22,653
Goldsmith,23,1019
Hale,39,1536
Hampden,36,2527
Hampden South,36,640
Harvey Park,23,2031
Harvey Park South,10,756
Highland,192,21075
Hilltop,13,761
Indian Creek,15,350
Jefferson Park,66,4537
Kennedy,21,1010
Lincoln Park,60,4697
Lowry Field,31,1726
Mar Lee,24,894
Marston,16,1457
Montbello,10,1787
Montclair,21,866
North Capitol Hill,46,3397
North Park Hill,57,5803
Northeast Park Hill,42,2801
Overland,39,1351
Platt Park,51,4595
Regis,133,10749
Rosedale,43,2996
Ruby Hill,26,1715
Skyland,59,5435
Sloan Lake,145,9640
South Park Hill,33,3551
Southmoor Park,10,122
Speer,103,7323
Stapleton,144,6782
Sun Valley,1,41
Sunnyside,139,10150
Union Station,116,4397
University,54,3594
University Hills,27,604
University Park,24,1128
Valverde,21,1165
Villa Park,79,4086
Virginia Village,34,2326
Washington Park,29,1621
Washington Park West,59,3055
Washington Virginia Vale,31,1557
Wellshire,6,627
West Colfax,156,11547
West Highland,157,13258
Westwood,35,1228
Whittier,87,8134
Windsor,46,3049
