neighbourhood_cleansed,number_of_hosts,number_of_reviews
Burnside,15,741
Central Saanich,70,3675
Colwood,84,4152
Downtown,339,67266
Esquimalt,99,6631
Fairfield,60,3271
Fernwood,46,2696
Gonzales,25,2060
Harris Green,37,1324
Highlands,14,1151
Hillside/Quadra,16,824
James Bay,94,6791
Juan de Fuca,208,22750
Langford,236,10087
Metchosin,34,1785
North Jubilee,15,1996
North Park,23,1347
North Saanich,87,6241
Oak Bay,59,3539
Oaklands,25,1459
Rockland,17,1020
Saanich,514,34606
Salt Spring Island,208,20146
Sidney,60,3043
Sooke,134,10611
South Jubilee,7,407
Southern Gulf Islands,138,12427
Victoria West,47,1925
View Royal,54,2375
