neighbourhood_cleansed,number_of_hosts,number_of_reviews
Coconut Creek,57,1206
Cooper City,24,823
Coral Springs,69,940
County Regional Facility,7,282
Dania Beach,262,14322
Davie,125,3891
Deerfield Beach,376,19207
Fort Lauderdale,1725,135718
Hallandale Beach,903,41857
Hillsboro Beach,21,677
Hollywood,1640,107085
Lauderdale By The Sea,163,10382
Lauderdale Lakes,32,1112
Lauderhill,89,1262
Lazy Lake,4,112
Lighthouse Point,58,1487
Margate,84,1413
Miramar,345,10188
North Lauderdale,68,1236
Oakland Park,299,13777
Parkland,23,627
Pembroke Park,33,563
Pembroke Pines,218,6553
Plantation,145,3736
Pompano Beach,633,29349
Sea Ranch Lakes,7,376
Southwest Ranches,16,623
Sunrise,148,5074
Tamarac,71,1300
Tribal Land,3,17
Unincorporated,53,1008
West Park,100,4503
Weston,73,677
Wilton Manors,232,18188
