neighbourhood_cleansed,number_of_hosts,number_of_reviews
Central Oahu,30,1055
East Honolulu,130,4988
Ewa,226,7799
Hamakua,40,5266
Hana,32,12712
Kapaa-Wailua,214,19193
Kau,117,11024
Kihei-Makena,1069,137028
Koloa-Poipu,323,24078
Koolauloa,302,26185
Koolaupoko,263,15643
Lahaina,908,82336
Lanai,7,818
Lihue,92,7328
Makawao-Pukalani-Kula,28,4112
Molokai,95,4825
North Hilo,27,2753
North Kohala,54,4070
North Kona,1109,107799
North Shore Kauai,479,54136
North Shore Oahu,248,22456
Paia-Haiku,106,21398
Primary Urban Center,1507,187570
Puna,615,74078
South Hilo,240,29031
South Kohala,390,24123
South Kona,168,18859
Waianae,190,6356
Wailuku-Kahului,45,7481
Waimea-Kekaha,12,1810
