neighbourhood_cleansed,number_of_hosts,number_of_reviews
Albany Park,47,2769
Archer Heights,5,588
Armour Square,19,4232
Ashburn,14,810
Auburn Gresham,10,110
Austin,111,9849
Avalon Park,1,18
Avondale,114,7060
Belmont Cragin,18,721
Beverly,12,585
Bridgeport,72,6474
Brighton Park,14,749
Burnside,1,10
Calumet Heights,3,932
Chatham,11,288
Chicago Lawn,4,61
Clearing,6,36
Douglas,56,2696
Dunning,22,1198
East Garfield Park,51,6538
East Side,6,62
Edgewater,93,8060
Edison Park,5,501
Englewood,15,609
Forest Glen,14,674
Fuller Park,3,123
Gage Park,1,50
Garfield Ridge,18,855
Grand Boulevard,81,3830
Greater Grand Crossing,25,779
Hegewisch,10,504
Hermosa,17,1417
Humboldt Park,60,4435
Hyde Park,52,5038
Irving Park,112,8164
Jefferson Park,33,2760
Kenwood,29,1751
Lake View,302,34621
Lincoln Park,183,16562
Lincoln Square,79,6938
Logan Square,302,28423
Loop,93,6371
Lower West Side,112,12183
Mckinley Park,21,1387
Montclare,5,191
Morgan Park,11,858
Mount Greenwood,12,480
Near North Side,226,27910
Near South Side,54,3886
Near West Side,204,15373
New City,9,507
North Center,78,7950
North Lawndale,24,1930
North Park,15,1039
Norwood Park,27,2855
Oakland,10,525
Ohare,36,2869
Portage Park,50,2714
Pullman,9,833
Riverdale,3,51
Rogers Park,103,6761
Roseland,8,191
South Chicago,9,214
South Deering,5,49
South Lawndale,25,2279
South Shore,52,1858
Uptown,119,10235
Washington Heights,4,71
Washington Park,23,872
West Elsdon,3,39
West Englewood,5,76
West Garfield Park,11,1022
West Lawn,8,849
West Pullman,10,473
West Ridge,77,5512
West Town,421,46561
Woodlawn,72,4540
