neighbourhood_cleansed,number_of_hosts,number_of_reviews
Algiers Point,45,4667
Audubon,100,7896
B. W. Cooper,2,57
Bayou St. John,93,7786
Behrman,14,652
Black Pearl,19,1365
Broadmoor,99,7585
Bywater,147,17458
Central Business District,169,45151
Central City,270,29665
City Park,47,4249
Desire Area,5,375
Dillard,32,1982
Dixon,3,24
East Carrollton,40,3315
East Riverside,65,6341
Fairgrounds,104,6697
Fillmore,36,2700
Fischer Dev,1,235
Florida Area,5,135
French Quarter,76,11114
Freret,36,3087
Garden District,21,2344
Gentilly Terrace,65,3074
Gentilly Woods,13,1062
Gert Town,16,847
Hollygrove,25,1127
Holy Cross,59,4011
Irish Channel,100,9783
Lake Catherine,11,296
Lake Terrace & Oaks,5,334
Lakeshore - Lake Vista,2,13
Lakeview,24,968
Lakewood,3,41
Leonidas,93,7885
Little Woods,35,1303
Lower Garden District,162,21077
Lower Ninth Ward,21,581
Marigny,217,33074
Marlyville - Fontainbleau,73,5086
Mcdonogh,30,1375
Mid-City,243,25377
Milan,85,7188
Milneburg,27,2446
Navarre,20,861
New Aurora - English Turn,12,838
Old Aurora,24,1256
Pines Village,8,225
Plum Orchard,7,135
Pontchartrain Park,3,241
Read Blvd East,10,166
Read Blvd West,3,71
Seventh Ward,264,25572
St.  Anthony,24,2113
St. Bernard Area,12,203
St. Claude,155,14930
St. Roch,133,12642
St. Thomas Dev,43,4709
Tall Timbers - Brechtel,28,808
Touro,38,2552
Treme - Lafitte,231,31972
Tulane - Gravier,89,10970
U.S. Naval Base,4,48
Uptown,73,7043
Viavant - Venetian Isles,4,159
Village De Lest,4,34
West End,30,908
West Lake Forest,3,12
West Riverside,83,6380
Whitney,19,1205
