neighbourhood_cleansed,number_of_hosts,number_of_reviews
Allston,315,43065
Back Bay,81,8672
Bay Village,17,2861
Beacon Hill,57,7947
Brighton,210,15258
Charlestown,194,25233
Chinatown,15,1255
Dorchester,155,17241
Downtown,78,13901
East Boston,173,27724
Fenway,85,10153
Harbor Islands,12,1344
Hyde Park,39,2800
Jamaica Plain,156,12720
Leather District,4,52
Longwood Medical Area,17,2475
Mattapan,30,1888
Mission Hill,45,2826
North End,42,7823
Roslindale,43,2247
Roxbury,86,12128
South Boston,73,7404
South Boston Waterfront,18,178
South End,92,13242
West End,33,1397
West Roxbury,58,3483
