neighbourhood_cleansed,number_of_hosts,number_of_reviews
Agincourt North,20,455
Agincourt South-Malvern West,37,1319
Alderwood,35,1637
Annex,355,13745
Banbury-Don Mills,38,1111
Bathurst Manor,26,787
Bay Street Corridor,290,10445
Bayview Village,60,1040
Bayview Woods-Steeles,36,1260
Bedford Park-Nortown,32,395
Beechborough-Greenbrook,15,421
Bendale,40,2138
Birchcliffe-Cliffside,73,2321
Black Creek,12,143
Blake-Jones,40,2146
Briar Hill-Belgravia,40,1133
Bridle Path-Sunnybrook-York Mills,11,222
Broadview North,36,1341
Brookhaven-Amesbury,15,306
Cabbagetown-South St.James Town,105,3427
Caledonia-Fairbank,25,972
Casa Loma,46,1558
Centennial Scarborough,10,786
Church-Yonge Corridor,366,12795
Clairlea-Birchmount,53,1611
Clanton Park,37,1701
Cliffcrest,43,2554
Corso Italia-Davenport,70,1728
Danforth,58,1906
Danforth East York,57,2347
Don Valley Village,63,1600
Dorset Park,35,696
Dovercourt-Wallace Emerson-Junction,276,13129
Downsview-Roding-CFB,53,1102
Dufferin Grove,102,4798
East End-Danforth,82,3169
Edenbridge-Humber Valley,15,80
Eglinton East,24,705
Elms-Old Rexdale,13,894
Englemount-Lawrence,24,1483
Eringate-Centennial-West Deane,38,1692
Etobicoke West Mall,31,1126
Flemingdon Park,23,221
Forest Hill North,17,123
Forest Hill South,28,248
Glenfield-Jane Heights,20,2172
Greenwood-Coxwell,94,3923
Guildwood,17,825
Henry Farm,35,533
High Park North,115,3034
High Park-Swansea,120,4896
Highland Creek,25,280
Hillcrest Village,42,1276
Humber Heights-Westmount,13,1466
Humber Summit,21,517
Humbermede,13,271
Humewood-Cedarvale,50,953
Ionview,15,614
Islington-City Centre West,106,3500
Junction Area,89,2932
Keelesdale-Eglinton West,20,591
Kennedy Park,29,424
Kensington-Chinatown,222,13437
Kingsview Village-The Westway,23,975
Kingsway South,9,116
L'Amoreaux,50,1206
Lambton Baby Point,19,336
Lansing-Westgate,54,1912
Lawrence Park North,29,853
Lawrence Park South,38,1539
Leaside-Bennington,38,997
Little Portugal,256,10065
Long Branch,54,1038
Malvern,40,1068
Maple Leaf,7,505
Markland Wood,33,699
Milliken,40,1359
Mimico (includes Humber Bay Shores),170,2864
Morningside,19,236
Moss Park,285,13516
Mount Dennis,15,514
Mount Olive-Silverstone-Jamestown,22,524
Mount Pleasant East,46,1470
Mount Pleasant West,154,3255
New Toronto,44,1237
Newtonbrook East,103,3205
Newtonbrook West,110,2650
Niagara,530,17750
North Riverdale,75,4135
North St.James Town,125,3751
O'Connor-Parkview,42,1346
Oakridge,36,1176
Oakwood Village,69,3647
Old East York,33,1364
Palmerston-Little Italy,168,7931
Parkwoods-Donalda,58,2372
Pelmo Park-Humberlea,19,634
Playter Estates-Danforth,35,954
Pleasant View,55,945
Princess-Rosethorn,18,299
Regent Park,63,4222
Rexdale-Kipling,16,1268
Rockcliffe-Smythe,49,1420
Roncesvalles,138,6491
Rosedale-Moore Park,59,937
Rouge,78,2346
Runnymede-Bloor West Village,33,1038
Rustic,9,26
Scarborough Village,19,441
South Parkdale,169,8105
South Riverdale,232,10954
St.Andrew-Windfields,31,541
Steeles,29,1211
Stonegate-Queensway,68,1940
Tam O'Shanter-Sullivan,45,1938
Taylor-Massey,23,675
The Beaches,134,3926
Thistletown-Beaumond Heights,17,481
Thorncliffe Park,18,270
Trinity-Bellwoods,283,14740
University,110,4744
Victoria Village,24,809
Waterfront Communities-The Island,1834,99940
West Hill,31,860
West Humber-Clairville,74,3108
Westminster-Branson,50,694
Weston,28,1791
Weston-Pellam Park,45,1413
Wexford/Maryvale,52,1280
Willowdale East,196,4865
Willowdale West,71,2284
Willowridge-Martingrove-Richview,41,1910
Woburn,55,1386
Woodbine Corridor,74,3012
Woodbine-Lumsden,21,415
Wychwood,62,1786
Yonge-Eglinton,60,1548
Yonge-St.Clair,36,821
York University Heights,71,2814
Yorkdale-Glen Park,60,2444
