neighbourhood_cleansed,number_of_hosts,number_of_reviews
Clintonville,62,4994
Downtown,43,4780
Eastland/Brice,13,319
Eastmoor/Walnut Ridge,36,2129
Far East,18,1262
Far North,34,3153
Far Northwest,18,1704
Far South,8,134
Far West,6,354
Franklinton,22,1547
Greenlawn/Frank Road,6,454
Hayden Run,13,1037
Hilltop,13,697
Near East,130,10776
Near North/University,234,45901
Near South,174,16281
North Linden,28,1104
Northeast,33,2617
Northland,39,2743
Northwest,16,1068
Rocky Fork-Blacklick,16,1078
South Linden,29,1306
Southeast,11,408
West Olentangy,50,4993
West Scioto,10,232
Westland,10,760
