neighbourhood_cleansed,number_of_hosts,number_of_reviews
Alameda,15,961
Alameda/Beaumont-Wilshire,2,220
Alameda/Irvington,1,56
Arbor Lodge,57,5849
Ardenwald-Johnson Creek,27,1791
Ardenwald-Johnson Creek/Woodstock,6,398
Argay,3,71
Arlington Heights,6,1300
Arnold Creek,21,597
Ashcreek,39,3873
Beaumont-Wilshire,27,4035
Boise,81,16639
Boise/Eliot,3,9
Brentwood-Darlington,43,2749
Bridgeton,2,257
Bridlemile,10,1333
Bridlemile/Southwest Hills,3,106
Brooklyn Action Corps,31,2162
Buckman,95,24790
Cathedral Park,21,2029
Centennial,13,672
Centennial/Pleasant Valley,2,653
Collins View,3,345
Concordia,123,21086
Creston-Kenilworth,34,4658
Crestwood,1,65
Cully,51,5637
East Columbia,4,178
Eastmoreland,19,2433
Eastmoreland/Reed,1,95
Eliot,49,6977
Far Southwest,14,1632
Forest Park,51,3006
Forest Park/Linnton,2,159
Foster-Powell,43,4841
Glenfair,4,425
Goose Hollow,34,2173
Goose Hollow/Southwest Hills,3,230
Grant Park,19,1859
Grant Park/Hollywood,3,214
Hayden Island,33,2511
Hayhurst,19,2149
Hazelwood,18,1589
Healy Heights/Southwest Hills,1,0
Hillsdale,28,2717
Hillside,14,1192
Hillside/Northwest District,4,698
Hollywood,8,569
Homestead,12,872
Hosford-Abernethy,106,17473
Humboldt,71,9883
Irvington,63,10885
Kenton,53,6122
Kerns,58,9964
King,124,18947
Laurelhurst,34,4625
Lents,41,1868
Lents/Powellhurst-Gilbert,4,176
Linnton,4,905
Lloyd District,5,984
Madison South,24,4212
Maplewood,7,676
Markham,7,146
Marshall Park,3,121
Maywood Park,2,690
Mc Unclaimed #11,2,35
Mc Unclaimed #13,17,982
Mill Park,8,612
Montavilla,57,4976
Mt. Scott-Arleta,30,1599
Mt. Tabor,78,10873
Multnomah,33,4058
North Tabor,25,3987
Northwest District,137,19555
Northwest District/Northwest Industrial,4,95
Northwest Heights,40,2727
Old Town/Chinatown,42,3770
Overlook,87,9853
Parkrose,13,1056
Parkrose Heights,13,628
Pearl,52,1663
Piedmont,62,7770
Pleasant Valley,31,2238
Pleasant Valley/Powellhurst-Gilbert,1,0
Portland Downtown,54,3394
Portsmouth,38,3499
Powellhurst-Gilbert,22,1862
Reed,14,1402
Richmond,176,29134
Rose City Park,50,6814
Roseway,39,3787
Roseway/Madison South,2,136
Russell,5,649
Sabin,37,4921
Sabin/Irvington,4,660
Sellwood-Moreland Improvement League,100,10077
South Burlingame,9,1065
South Portland,54,3872
South Tabor,32,3817
Southwest Hills,41,5622
St. Johns,47,3943
Sullivan's Gulch,17,2884
Sumner,6,676
Sunderland,3,55
Sunnyside,95,14924
Sylvan-Highlands,11,374
Sylvan-Highlands/Southwest Hills,2,684
University Park,29,2614
Vernon,62,6510
West Portland Park,17,1469
Wilkes,17,1427
Woodland Park,1,1
Woodlawn,48,4992
Woodstock,59,7053
