neighbourhood_cleansed,number_of_hosts,number_of_reviews
Barrington,30,954
Bristol,87,4748
Burrillville,7,361
Central Falls,5,89
Charlestown,84,2490
Coventry,11,301
Cranston,62,3897
Cumberland,11,675
East Greenwich,12,889
East Providence,38,3234
Exeter,10,1548
Glocester,4,471
Hopkinton,15,930
Jamestown,80,4151
Johnston,11,289
Lincoln,3,20
Little Compton,68,2265
Middletown,252,17419
Narragansett,367,12273
New Shoreham,66,2726
Newport,424,43845
North Kingstown,73,5113
North Providence,21,1650
North Smithfield,5,295
Pawtucket,40,1743
Portsmouth,98,4749
Providence,358,46381
Richmond,12,505
Scituate,3,107
Smithfield,5,672
South Kingstown,229,11224
Tiverton,50,2292
Warren,28,2270
Warwick,64,4849
West Greenwich,4,81
West Warwick,8,265
Westerly,189,6586
Woonsocket,10,534
