neighbourhood_cleansed,number_of_hosts,number_of_reviews
District 1,52,4090
District 10,49,3696
District 11,50,2708
District 12,26,1809
District 13,75,6584
District 14,54,3295
District 15,185,15782
District 16,109,13667
District 17,384,61993
District 18,148,21980
District 19,684,115160
District 2,155,10246
District 20,133,11017
District 21,289,34492
District 22,23,1133
District 23,18,1852
District 24,106,12262
District 25,53,4846
District 26,48,3672
District 27,34,2262
District 28,17,1284
District 29,36,2237
District 3,51,2248
District 30,27,2425
District 31,23,687
District 32,20,563
District 33,56,4574
District 34,19,509
District 35,32,2369
District 4,36,1868
District 5,399,47043
District 6,399,58571
District 7,213,21868
District 8,137,12604
District 9,28,1914
