neighbourhood_cleansed,number_of_hosts,number_of_reviews
76530,5,274
76574,18,492
78602,88,4685
78605,7,387
78610,60,3059
78611,153,8433
78612,44,2677
78613,115,4299
78615,4,114
78616,9,220
78617,50,2021
78619,73,8307
78620,185,22986
78621,24,1478
78626,122,5143
78628,63,1562
78634,61,2240
78636,83,7071
78640,64,3972
78641,126,7083
78642,18,1022
78644,34,2169
78645,248,16085
78652,43,3150
78653,102,3514
78654,201,10796
78655,19,1204
78656,18,1102
78660,190,6332
78662,9,400
78663,4,687
78664,175,9350
78666,144,12890
78669,102,6011
78676,153,28335
78681,56,1852
78701,397,28266
78702,1025,95234
78703,394,24542
78704,1393,86502
78705,310,11054
78712,1,0
78717,39,1317
78719,6,398
78721,239,13280
78722,184,9974
78723,315,14350
78724,102,2751
78725,51,1874
78726,13,368
78727,112,4128
78728,63,2242
78729,116,4373
78730,32,772
78731,134,4685
78732,57,2200
78733,56,2330
78734,203,12829
78735,35,481
78736,60,3280
78737,99,6668
78738,39,1412
78739,32,670
78741,562,20989
78742,6,308
78744,226,9617
78745,494,15582
78746,201,4735
78747,71,958
78748,163,6015
78749,115,3780
78750,61,1187
78751,304,19452
78752,123,6693
78753,116,3988
78754,98,2848
78756,117,6204
78757,188,7957
78758,247,9306
78759,117,2233
