neighbourhood_cleansed,number_of_hosts,number_of_reviews
Adams,68,7605
Alki,72,6455
Arbor Heights,31,1952
Atlantic,62,4407
Belltown,143,22782
Bitter Lake,31,1173
Briarcliff,12,430
Brighton,35,3265
Broadview,27,1648
Broadway,156,24176
Bryant,25,1602
Cedar Park,33,1758
Central Business District,55,6247
Columbia City,73,7359
Crown Hill,23,1492
Dunlap,22,1638
East Queen Anne,69,7660
Eastlake,32,3939
Fairmount Park,38,3179
Fauntleroy,26,1409
First Hill,64,7368
Fremont,145,20730
Gatewood,33,2500
Genesee,35,2621
Georgetown,10,1802
Green Lake,73,7945
Greenwood,99,8590
Haller Lake,38,2103
Harbor Island,1,0
Harrison/Denny-Blaine,17,990
High Point,18,590
Highland Park,56,4864
Holly Park,2,294
Industrial District,2,105
Interbay,14,1724
International District,5,2711
Laurelhurst,18,1807
Lawton Park,38,3283
Leschi,48,2743
Lower Queen Anne,65,6472
Loyal Heights,46,5546
Madison Park,13,1118
Madrona,29,3116
Mann,61,7137
Maple Leaf,45,3321
Matthews Beach,32,1732
Meadowbrook,6,200
Mid-Beacon Hill,46,2811
Minor,107,12405
Montlake,32,3028
Mount Baker,47,4985
North Admiral,74,7577
North Beach/Blue Ridge,23,1788
North Beacon Hill,96,9306
North College Park,25,1505
North Delridge,37,3171
North Queen Anne,75,6387
Olympic Hills,24,1712
Phinney Ridge,74,6160
Pike-Market,43,3294
Pinehurst,22,1354
Pioneer Square,18,3058
Portage Bay,13,1701
Rainier Beach,43,3358
Rainier View,68,3181
Ravenna,58,5257
Riverview,24,2632
Roosevelt,26,1906
Roxhill,11,389
Sand Point,2,39
Seaview,26,1026
Seward Park,48,3083
South Beacon Hill,37,2352
South Delridge,30,2309
South Lake Union,29,2178
South Park,24,1771
Southeast Magnolia,28,3364
Stevens,73,6898
Sunset Hill,33,1871
University District,58,6855
Victory Heights,15,1319
View Ridge,10,1266
Wallingford,133,15524
Wedgwood,25,1854
West Queen Anne,74,7396
West Woodland,64,5654
Westlake,20,421
Whittier Heights,40,7356
Windermere,6,514
Yesler Terrace,10,2984
