neighbourhood_cleansed,number_of_hosts,number_of_reviews
's-Gravenland,8,97
Afrikaanderwijk,2,17
Agniesebuurt,8,114
Bergpolder,29,437
Beverwaard,1,0
Blijdorp,44,958
Bloemhof,6,75
Bospolder,7,843
Botlek,13,1163
Carnisse,6,123
Charlois Zuidrand,8,120
Cool,55,3128
Cs Kwartier,33,812
De Esch,8,150
Delfshaven,15,151
Dijkzigt,8,344
Dorp,5,159
Eemhaven,9,313
Europoort,25,664
Feijenoord,2,20
Groot IJsselmonde,10,164
Het Lage Land,2,39
Hillegersberg Noord,8,310
Hillegersberg Zuid,15,327
Hillesluis,6,1874
Hoogvliet Noord,7,83
Hoogvliet Zuid,7,82
Katendrecht,5,136
Kleinpolder,3,13
Kop van Zuid,12,312
Kop van Zuid - Entrepot,17,738
Kralingen Oost,9,81
Kralingen West,22,1523
Kralingse Bos,2,309
Liskwartier,17,495
Lombardijen,5,16
Maasvlakte,21,442
Middelland,70,2764
Molenlaankwartier,8,320
Nesselande,8,495
Nieuw Crooswijk,4,15
Nieuw Mathenesse,34,554
Nieuwe Werk,12,726
Nieuwe Westen,46,1932
Noord Kethel,5,537
Noordereiland,13,1033
Ommoord,16,537
Oosterflank,15,160
Oud Charlois,10,258
Oud Crooswijk,3,137
Oud IJsselmonde,4,164
Oud Mathenesse,6,94
Oude Noorden,33,829
Oude Westen,31,2157
Overschie,7,519
Pendrecht,1,10
Prinsenland,3,15
Provenierswijk,18,714
Rijnpoort,9,246
Rozenburg,2,16
Rubroek,21,520
Schiebroek,6,116
Schiemond,17,593
Schieveen,5,345
Spaanse Polder,3,76
Spangen,5,465
Stadsdriehoek,78,5976
Strand en Duin,14,248
Struisenburg,5,14
Tarwewijk,9,310
Terbregge,4,197
Tussendijken,11,627
Vondelingenplaat,27,512
Vreewijk,4,30
Waalhaven Zuid,2,0
Wielewaal,1,4
Zestienhoven,3,14
Zevenkamp,4,52
Zuiderpark,4,95
Zuidwijk,1,130
