neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ashfield,"[  1835730  12624248    356944  14395491  10537991  15844351  43672802
  42755752  39318918  35819254  18953454   4352187  42460734  37223901
  47685088  65524898  33392276  46356904  21758935  58504006  42290483
  82087922  98859646  12221885  41255077  54157221  62717628 128616898
   7104564 129417431 104297461 137751498  27622039 127422718  10956751
 148465349  35609937  11683512 156597829  32705622 159283481 160365675
 103381840 161381657  94287750  50272288 166129502  31872378 166620704
  63416410 170502132  92949021  48984803 179241747 162013531  85257931
 170628346  10441624 136133493  26093141   7661786  70462921  99677747
 212734372 215030816 222408390 217722497 106600234   2699450 236034766
 117725014  69959089 246482424   9763103 247400771  10489952  32382857
  36832931 264567429 103950350  27794945 159139980 270132187  98341213
  36931569  39160027  59145992 110896923 110866561  71234146   9502222
  98063353 171946350 282378559  25331708 308406154 311063543 311851673
   4501767 314067822 327219188 313484131 193559618 326912351 163071483
 162718222 311950225 373799151 168467012  99962569 185783910 125290117
  31058424  23923087 251905190 118124268   6363709  91961414   7466319
  24525346 101993305   6474425 279001183 185126628  48015044 477078831
 331851537]",2499
Auburn,"[  1526109  17794577  11672159  22130464  29759319  28757538  31898979
   6770801  55734704  60126003  25442654  52186746  55239300   6796590
  69177946  97477325  72940921 106597688 107382982 104401375 107989384
 126254048  87918656 142755870  83422086   6471781 124324552  55107177
 147157790  25437699  70272848 137929180 155089111  78270611 155587212
  95080256  53507870 154552564  68929678 158809427 158888963  55878199
 160947383 152048748 162812780  56516415 103534187  22591118 167131855
  75332117   5683507  76479232 183453286  90879908 189009193 189870207
 196081643 191950213  57038066 198347521  49961463 199547655  50021011
 116496109 206127004 206661395 211620140  48192795 175735175  31686226
 217067905 214977106  58939152  27686970 170893306 177080848 224408450
 226410080  10560200 228827169 219784910 230848257 231158664 239394995
  52087317 218381864 248307239  50798708 166737952 230109804 221083370
 247721283 255722780 233582386 163419570 258093486  70296433 243618651
 185972034 212168044 129878819 145933062 266477819  51955200 243957865
  82410645  60030789 282357687 111345754  49740365  90124554  93576775
 105658706 187755171 301753450 303393560  11882116 311206295 312112489
 279330718  57587799 308548651 299689813 322377604 322937568  44869453
 185726027 348892197 337842946 288743418  51035152 357566424 375922613
  11335754  18627893 198996712  39893019 238416407  92779512 307248533
 302077813  44495682  48015044 400978620 309876239 406316704 411771291
  38988543  24496589 384135377 437790260 137278159  51166872    803951
  87196501 411657164 119398223  57467489 452931721 462186974 169795871
 258055539  96292224 226398345 102664004 465696336 185126628 368987148
  49243273 474241925 382384057 234669189 114130499 161242347 208737025
 279001183]",4855
Bankstown,"[ 20631814  12033797  39655768  43996983  26504605  56259063  53502676
  53415857  61776229  98908821  16365733 107236948 107844039 108299187
 111631006  33616849  46410960  83419447 137066619 106307850  61438833
 102936010 137181600 151030999  75471559 130392374 161942949 163840195
 167898466 170179274  84350083 176905051 133210455  37231209  13970930
 191779390 124835056 196254929 207476291  41147442    803951  44125156
 219612559 227410084 227570415 197211606  13423961 209215964 230750104
 109402097  30465392 242164879 225067797  40779728 116179791 253369797
 153595939 262551848 244974889 270639082 267126245 266425311 115263311
 273929510 242137266 275628678 160044913 280191585  80824129  96289390
 187755171 189299191 301172930 304663143   9679022 271141368 230094522
  70904875 112200855 308445626 311497363  50856751 318840466  57562829
 325155144 298739430 301168061  97942941 236183817 249282230 262917824
 301778313 216738524 446569348 382384057 180197121 246144956  95243124
 376479182 436309591 243398057  23311441 475078135 455895035  48973165
 154503543]",2693
Blacktown,"[  1240169  12711622   8874814  25617610  24752331  31712789  14018039
  32483469  37093955  34084527  34885144  57325113  58256558   3589764
  24509134  47357936  71616854  69721878  27730151  53478824  91642174
  89637290   2746327  84861923  40832057  99985053  13440787 108178211
  17538732 122965993 106943970 123815850 129229739  31557370 145745136
  69636392  56288468 144533371 150539843 155201221  65546488   4686391
  47238500 168651152 168947730 159679831 181384625 166728005   2124246
 190716295 100947231 193329508 193947576 198364627  89764905  59663851
 214772708 214874462 177050176 218028246  66874206 223117148  48237771
 223718213 225326067 157749241 116896027  52956784 107084195 230760797
 233209411 240314597 242787458 243611895 180649941  55989757 166529954
 255913468 166327216 257284418 260938606 118303905  34799050 259701260
 162879174 151506586 224575354 290871998  70873297   6288095   2691117
 148896587 296148679  23011881  37639679   5978256 311288291 106590432
 311920641 223063795 318660160 318861368 317585008 300201367 176710200
 234850349 330712265  88822730 169808376 211588022 341735796 141214406
 345727481  65711274 343897030 208110524 272151600 108940624 108637872
 376961416 159200174 267742928  37519955  77413748 345500402 398357036
 112620937 103390132 369908172  47368910 408697868 394201091  80246639
 125724037  45971013  37102099 123822980   1358327 395213404 433866330
  78200085 327590049 431937854 122408432 461483540 465287424  52832157
 463028349 228996077   9666384 473048336 469161064 260735383 398221344]",3206
Botany Bay,"[   939005  22699873  24570082  24045016  27963327  31376092   1582962
  37649449  38714873  22825606   1553030  45512186  11214101  45947057
  40672909  44217660  48827506  11133610  42980452  49582763  51633553
  25648943  56663630  53641149  59124495  59091370    417978  24645989
  65528610  67868550  67163074   7389782  17484311  81590635  46761273
  46338680 101526752  47416848 102445443  59414326  57314524  48702817
 108606241  46541184   2781144  33340549  23868418   6123881 126988885
  32475713 133706532  14516778 107834820 130835526 137437649 108630930
 100130598  55694332  87225097  62831636   4651160   9912592  74879297
 156857673  92410707  42051233 156955129  40440084 157885666  49850028
  76733008   4171098  47861434  53112501 154959896  22304226 110890694
 155562375 163151018  63672609 163263337 159051430  40049112 168276782
 126201117 167318220 138649185  68952529 108524367 181860766 131580703
  35694838 158007971  20584810  27457884 197159208 190213493 197816148
 138286770  23084910  28380407  46670554  50295138  52899254 202866778
  86124920  36492370  17312692 137220307 126978257  68771658 226003979
  89918392 153867905 166917869  63154428 159795176  14122621 230238351
 165441440 229776518 177764872 230850156 231712831 231874653  59163486
 127520339 235522266 208889024 109512243  32011597 106230665 160519995
 242403393 142858958 169663234 262383677 182318065 271212762  58939152
 133826734 231161731 273485866  50721428 148494309  16787717 278438621
  31064281 253973952  68325525 288744435 153850292   1469799  47137865
 295261066  99682274 300902139 302252573 170270115  80345075 181257267
 247590836 214224483 305814384   7090897 308605136 308173049  48529706
  12747077 229751173 222972770 113564341  78397109 255523536 314121661
 306700375 315175327 313467421 314921124 264228914 309353504 313705774
 216165933 189472864 246117253 314067822 317547183 317895279 261530539
 314070686 107339792 240547465 322886127 326094721 325463701 326247904
  49977977 154131896 226719295 274447895 331305581  22943544 160638842
 333570292  23102059 332115451 332225956  25478586 248824687 338692143
  53776199 336355750 340693777 340735210 239224131 261757106 261889433
 317283121 258908259 175128252 135969480 297512659  51572260  23197488
 343551016 337682704  36117019 107508904 255319514 383689101 370697846
   5215877 156409670 268516214  49521289  37104267 158772387 382384057
  10937185 137278159  16026854 138621450  27181533  50316953  63060242
 102664004  24690026 151180327  23688618 427011670 393990420  47936459
   4552462  86670007 161228528 470310362 452931721 185126628  19674964
 468975502 474241925 362888992  57055515 423791688 478244318]",5345
Burwood,"[ 10144294  17661429  45850918  49845297  51272430  23798127  55049262
  48145264  51364472  53763933  67408461  79400754  77603773 100992901
 108620319  93459894  54721709 111345754 116496109 122449858  33442505
 127346128 137805279  98745367 148074321 146605456 137885402 146702567
 119736666 157213582  92185693  20460426 161246706 161099882 162194686
 160702527  44803831 159010636  73299461  66864650 167080575 167128208
  44696950 181185363 167340072 189674486  48646656  82177135 198254494
 199839164  16515469  83422809  61174029 213847031 210277868 217722497
  66521256 221155129  41319498 105277780 177080848 216310578 167104022
 229903734 230728337 237532438 234631162 326151209 162640868  25556959
 257504851   3025131 192652289 171033869 143821639 172576507 247573793
 105467765 247154370 306089069 308406154 100398543 292990332 146247972
 311099711 317951040 151022091 324228019  36334938 151014503 155658468
  74265114 210981717  90604386 113180379 321455369  91961414 142961514
 288743418 376533498 279001183 155587212 187069132 139218958  47441027
 455895035   5215877 248785206 185126628 258055539 476488233 382384057]",2743
Camden,"[ 12440693  33775106  62064518  47462217  10802696 144869188 166290382
 192366775 235972124  99699391 127475076 257103440    986869 159249448
  76695688 173164527  10418845  56801319 227934584 232284519 316316904
 302037177  95479522   4195809 363003636  99356143 382861753 110396535
 404612157  46853305 415152209 183255218 376303152   8502341]",1251
Campbelltown,"[ 46891433  18766862  60688630  63572842  43544563  72930623 102184398
 102457851 109171163  36310732 121180212 130397870 144037807 107438836
  25293398  26841867 152087874 109652147 158261379  42279799 160833201
 178082727 193379830 216763758  89913553 231857991  99596540 248804743
 257302449 228526459  48301421 226916294 214013074 202397765 310083094
  29841415 230094522  78885309 324755486 192031470 373888986 228524204
 160285852 432575199 159249448   2290798   9017826]",1614
Canada Bay,"[  3991115  22791719  12067531  23268929  23954574  29765040  26507662
  13540305  24506642   5367548   6514584  43142035  17386186  46830965
  47359173  17350991  17696244  49590949  50628427  50632331  21953796
  51299298  45000389  54012061  52206550  52971844  21441270  53494836
  57462188  22266230  57801495  47434239  77784766  55098272  75343162
  44911199  58534872  15739069  10420472  37643547   1686302  87630262
  99559628   1839559 102972563 104873864  30303685 112013474 105981450
 120516290  87650075 131253304  50617274 120285107 122625571 139751257
  24472170   5113333 135940837 107834820 139703215  22713857 150210636
  34256007 108040918 148004178  47809234  10441624 157741439 107404169
 157858290  91265363  65855199  17575387  42087505   6153972 112387352
  35043037 112023591 162649178  10765511 155358719 163257748 153323990
 113690477  11813052 103534187  42069682  62085360 137971743  96276980
 145877054 179317190  10597755 107485288  76235910 107721192 193395052
 107287764 102961726 174265905  91254092   9363850  86628225 216196928
 114059752 211070748  41239234 147359361 218556876  27503676  58939152
 227358982  43245543 232870418 181392570  29409153  13763964 229903734
 239920451 112504133 202112801  83629119 120278194  23506853 114289976
 253547376 120450157 262968574  43669226 151635552 199392793   7308151
 272211489  21658990 106333574 272662474  83036526   5088183  58122632
 291778014 298243542 295909663  31768055  27482967    339185 157986446
  44594964 306090380  53125088 279001183 318821408 317606064 160131090
 153862493 324511820 292483992  69162235  25489282  37130105  98770720
 340594333  84589017   5144857 288743418  78068253 302077813  51279775
  48015044 357566424  47962051   1223895 100724268 301753450 390297678
 337047688  57993282  38478183  87196501  92779512 230109804  61935071
  54924558  51166872 113180379 361147987 102664004  27295769   9746947
 232189499  47463692 339947820   4602586 183182035  44869453   3798305
   4154893 466144092 135124159 470141036 116293770 465696336 202581235
 326403594 441235209  51035152  73721936 475265964 474511840 361855863
 431815493   2985376  21911715]",3390
Canterbury,"[  3255027  13942924  10355323  24916388  24603615   4759662  24680481
  25731625  27131828  34475808   7485699  39880133  43830588   6884749
  31777119  46662256  47750865   4681394  57972566  63439109  30746061
  66651042  34421035  53777234  92979880  48286804 102651736 102777331
  62717628  78717228  15865090 127926155  63823264 125653177 136977652
  75262244 137900235  46773910 130088517  79436679 112523705  49371990
 149624356  57792521   1882266  15666226  42343098   8229059  13348728
 161539912 111387581  93098921  49967778 154611650  67058547   6103415
 158243607  77804585  97395408   9637418 170893306 141095412   8723870
  66400722 112621677 183139995 188890746 167441821  14171569   4746489
 193591921  67798047 198807825 142604926 201449774  47538077  57992273
 207863439 182422288  30205088  22028328 218145783 157238830  64868986
 134643458 220503804 121718425 159956399  78669393  42344462 229774508
 160653794 108932343 207608865  14349706 237338242  40779728   8148744
  91072867 171411380 217165235 252205450 141960398  78973132 253086645
 257531813 124765198  69464557 262383677 264459391  53790623 263159191
  50798708  24472565 272338167 120520796 131565404  47372145 238106749
 150562050  97470733 293888106 299156128 193585992 304788363  29291898
 104586323 109709624 305406773 194107543 132251205 121111933 238846218
 305406330 306057105 311701989 314342092 317241572 316392244 301544495
    641100 229670054 321764003 260350401   5215877  51566870 315698606
 219805744 229358764 312474073 337015923 331630240  41113660  92779512
 338929032  29901839  19081729 341378810 336467560  60871413 355385402
  44869453 312188090 211079106 201936957 184557824 273216443  53445070
 240427644 122508748 302038874 333313589 403788432 133983093  24322367
 152519681 238765977 169795871 225471552    102758  91016376 377905754
 158798507 392402694 344197991  67874157 251905190 102664004 471849853
 376950456 454814042  44992829]",2598
