neighbourhood_cleansed,number_of_hosts,number_of_reviews
Altona,[287327836 460856186],97
Angaston,"[  6172214  26147078  48092850  22786354  88244555   6402384 102130451
  98267463 156029245 106868811 121293939 129160994  64599221  86995031
 225677521 262121622 257562725  24432943 162433043  29148788  50037088
 241630453  13831555   5100298  52444929 412389155 255507745 455612017
  63139941 461929112 462115682  88080137]",2435
Bethany,[  2425103 274161665   9683914 431071310 439331891],144
Buchfelde,"[ 17656515  35954891  33964673  76200578  63693332 257523028 271985916
  78037905   1956923 179855375 325056755  52911779 124017088]",1585
Cockatoo Valley,[10726293  8926804],47
Concordia,[ 99836662  38878329  31964383 338081408 348529669  70840103 344402367],1071
Eden Valley,[ 20429065  93219392 109279546],164
Flaxman Valley,[ 27321203  15326510 234210445],308
Gawler River,[  6713275 255318511],209
Greenock,[120950528 123337181  11027064],115
Hewett,[67427615 71411970 38878329 63693332],109
Kalbeeba,[99836662 63693332 52911779 44703607],37
Kapunda,"[ 54276241  65531648 108616729   3524070 261874745 383527612  78037905
 154813436]",241
Light Pass,[ 76253619 229977210 261496601 263832331 175822582],333
Lyndoch,"[ 10421165  28712482 308444810  14870315  11110185  92198370 181411319
  26147078 192564481 310538520  48998930 424812770 460856186 474741294]",1193
Marananga,"[ 77871395 233968367 253714714 255507745  73273148 396529571  20245136
 103898307 275161574]",356
Moculta,[ 34978411 171879991  22589842 239660458 164905660],419
Mount Crawford,[123514866 203661825 246654848  85597526 298038628 439026671],910
Mount Pleasant,[139798846 175043828 472161981],150
Nuriootpa,"[  2122575  28149709  32017867  10626104  59672772 244624080 284867983
 297316869 267461364  52348976 133655329 402141220 150886171 395027969
 223639320 439331891]",777
Penrice,[  6172214  31945359 295010752 428181353],197
Sandy Creek,[ 84633251 111640794],405
Shea-Oak Log,[6645956],497
Springton,[ 97913320 198156088   2660469 326577506],210
Tanunda,"[  9380091  32013001  32743215  42427624  17055114  50149490  54950628
  23229905  10112369  12063415 142521667 159654113 163098800 111063419
 142166512 189642977  40008394 198551256 103407726  69307468  36772813
 223133750 220350000 234888505  85556067 262121622  49747343 276432130
  99672311 165561239   2215953  10626104 196783231 257562725 359107874
  65827290 362336116 341812742  53620255 132901790  27083172 402141220
   6187392 408243200 410966448 412005775 397924132 422357766 285235468
 429874958  78710746 430748967  91611833  27555575 461601857 149391451
 175722042 417586028]",5129
Williamstown,[ 68592337 205436375 206287989 265939095  26657441],153
