neighbourhood_cleansed,number_of_hosts,number_of_reviews
Break O'Day,"[164588610   4662988   6887072  14020942  19554679  23225904  10221902
  24300290   9585264   9018253  31850852  34014922  34412848  37084500
  21856618  34574853  45698421    465176  47950886  49068579  13206820
  50251605   3602359  10956195  61153177  36844003  61778699  62560612
  26078745  11495155 102451740  12648810 114579198 115394843 117990623
 118562969 124798352 129195431 115282765  92557519  74954432    611818
  26700650  34250680  70851883 104740257 158136303 160135076 161374775
  25519351  86425799 159530479 171502802 147603522  44468316  41118569
 121762837 178688452 183604179 185322986 189880326  44891234  19949795
 204565362 211628112 122630729 221948318  78194130 226716418 228141960
 238777109 245257402  99120910  46283897 181710350   6110959  11281878
  27019541  16836695 243800345  29199991 114800689 283146351 160027900
 182328844 215508835 295963135 225982294   9901506   7562473 159415578
 114243380 136703747 309866303 310080012 316233701  39659459 193628284
  15358198 169581530 118628812 247156097 103760953 219370737   5712324
  44705853 328610926   9061312 147344168  53489557 362981106  81946104
 367263166 368831399 119344661  35349320   5963500 172279716  26033065
  50622618 205775100  35757953 158744067 374476730 361726031 260338916
  52749565 166680473  52892514 376199065  38519780 402945124 303560364
  24049489 193155519 307298059  21850784  10493832 401616388 141916380
  38598336  30191195 125660557  11083766  82242741  37122444  83809880
 186581423  96784548  53391428  90391512  55349116 178640325 196705605
 438456575   5266238  16763926 104462285 227764344  40064906 449637680
 113493684 157957619 179654285 461759424 464526912 464797917 464807932
   4076676  24392816 477323214  36168502  10003042  29661852  20417096
  19720289  10919327]",23162
Brighton,"[ 20582759  26929302  54126379  83630258 116349315  53791854  13359531
 246879099 236629443   4873213 243360303 449308391 113462599]",582
Burnie,"[ 23433061  22388263  29484459  26035380   6017100 105368697 120803652
 124806828   4756845 134208816   4532702 157844346  13713246 164217971
 170138899 180094447 139579610 154489044 136985108  31313966 195788888
 107222761  72364970 268708377 271650504 170665272 309585818    624828
 375923772   2741876   1222693  15114542 398120941 401649838  38021881
 429351555  17573451  96903820   6085737 454526786  77663887]",3731
Central Coast,"[  1090010   6248530   4124985  15579302  15975942  16763926  30747048
   7810250  27196883  38813356  25555423  39288701  34085752  51295594
  27202890  53783414  34620682  89018570  25125418 110365837 113323425
 114736445 115905460 115730548 122743075 129375988  98170693  35549004
 156974956 168501712    996750 160416484 172949940 175980471  44314213
 210782996  44894205 216992151 221031677  23235656  34092676 229281091
   7143417 235966321  24845106 246116379 259267926 261510740 197816616
 211782871 267894163 283561155  13678566 135523841 259222485 182727633
  21304365 311467577 286275909 319410821 222326335 335787906 336214033
 359600705  11493102 373002860 337784256 112303397 110084722  44420347
  48913281 394478350 398123509  84138347 133192831 258429228  95494122
 418686034  88433761 405505074   7044418  48050749 207956287  10509931
 189099099 131847956 459272586   7409213 464817426  77039528  81607797
  42969934  96220942 401191955  17016643 214357855]",8434
Central Highlands,"[  1513972   2625657   5901328   1820968  27146791   3169927   8759246
  36393659  32719662  99305882 113414862 115757834 117729555  49603611
  32327086  56428874  12780764 186345485    726356 213110824  13841474
  12193610 101417686  10933526 126972135 195373172   8980359 263328121
 374125273 398635235  53508412 340314554 145559078  53513016  53998144
  56762164  48119703]",3015
Circular Head,"[  1406692  16971811  25772049  27124649  44128736  53217585  54114119
  42888760  84849231  88224481  10811057  99447351 142528913 153574431
  44819392  92765139  99838417 171930998 146058567   2834904 182335016
  63021652  75809985   2766902 181005287 176828263 209848992 201443182
 230709717 126536031 233240966  46914790 250040512 254416951  58528798
 278306424 151702894 221023622 304555351 318924704 225145030  56797910
  20203955 292772025 384133518 117205417 409377565 124163578  18966455
  72064549  63961315 450978333 454892420 455928890  10093181 138643931
 331497777  33869405  77663887 198104885]",6321
Clarence,"[  2002620   4184525   1654113   6995911  10340298  11669688   9775636
  12687012  13209335  14817176  15102413  16733852   6517351  23200483
  23200717  21101802  22185140  25199337  25227115   9414523  24435926
  27130746  29775632  19554628  19353027  21000526  46580242  47808501
  48100610  35263709  29556396  52256385  51471074  53753110  54425712
  56779387  58533629  49400633  57192142   2700853  43077135  14141060
  72415112  74054585  35042834  80785120  81976519  68785661  96098202
   9731517  22106391  56781638  45038843 104316643 105865152 106579164
 108287297 110853590 111710665 112205287  43976341  14030607 177744341
  56148595  10515749 128898923 100418056 130351789  91455674  91021697
  49825164  54105707 139935644  54680077  58286939 147123565 153037626
 111981123 155715865  12356214  25084540 126969939  29124786 427107681
  63187709  24849188 158944910 159402857  55703402 167088875 167494248
   8369837 173437049   4942911  85580441 162143732  91083444 150646283
 436692322 144200956 182903401 189297461   1840447  69447714   9669177
 211391930 211742591  15397662 151608851  13017688 118612901  95044278
  59686730 223732324 169780640 155200844 225522113 147113984 111943927
  16763323 229462642 174659650 229890830 233396434  44842282 155636521
  71875691 238223815 226796596  58402853   2623684 242452666  80422186
  21980631 247701470 248118451 247171832 252504891   8814890  17388410
  47851228 278111429  44244773 234926178   6218058 297539661  70756244
 301751198  26518889 175051270 306569080 307757471  25511005 309884884
  68210112  31243564 158269284 316293610 102654271  24530420  60031712
 155996195 139367583 286758281 306034469 119879009 119556520  43826030
  29145042 341208084   1695427 350069518  32884174  25271727 342113440
 280274875 370049231 258508165     94693 361284064 377021816  40372132
 104023114 101310690 383738663 269155233  70793890 395195144 395867298
   3750961  91415027 400990324  99135539   8059949   8058922 398708558
   7524471  94457344  31256811 395199535 409794750  33239910 413260875
 410180705 420207782  18229802 117081210 151871346  25038088   9043972
 420775906 425816482 426557293 425404870 105857814 120287659 143600428
 431894356  51784609   5494554 433480334  81417225   4734289 107741492
  70752205 434312505 434719309 434867159 214744961 435536773  70625467
  63995705 434714555  40629856 465103737 446039898 316919416 450836524
 451766643 447180484  52575909   1834754  90218237  38326745 377460413
 459875386 215809004 137056018 425096584   7409213 256102206 465518937
 247100800  10063039 472833031 475235627  63531191   4376764 171929833
 171667429 240513484 444680186 280584145 185598608  12941737 326024352
  46893156 427468494]",22776
Derwent Valley,"[  3969263  22625613  28312723  30741773  34953008  64673061  57562897
 118903664 133666806 147431333    684890  16721352  52369922 168067636
  37523237 101710758 124653745 146053038 208971734 210876156   3496161
  22794083 228830117  12774638 109964253 247537020 172761268 272141894
  10519706  54002227  40161720 355630697 105857814 385304566 110188780
 248757662  22464494 156497434  27091816 125625689  98335403 433752504
 436979142 207986467 425096584]",4279
Devonport,"[ 12100260  21793792  13533980   2816161  44369101  63641443  26083143
  59704856  64287728  97564174  30688610  71013897 125433121 138446098
  44459315  23226170 150810062 123942583   9511007 160536219 162017638
 113712761  94157434 155705184 190605569  69562557  43067418  17861437
 194183939 230297881 110582664 242383194 122577512  52569663 248724099
 223703861  13626819 281358010 146668982 323497000  58439292    980663
 105551055 124447880  52478433 387093482 117399470   2757576  50395693
 423932034  22817868  66252120  21818989 115757834 440363968 260699388
 427751931 144553391 476340467]",6954
Dorset,"[  3475894  12840778  21579865  27299214  33329640  34489365  31381848
  17135971   7767055  47662278  51940968  53869328   5725059  89757273
  80341574  98706797  52369922  94418927  58295888 110096312  83670626
  49369417 115745680 117077940    707620 122749446 123947594 127093443
 105875880  27347396  92557519  77435679   9178269  56823398 140509908
 158514454 130839986  75284906  50935606 160941433 162179032 103259862
 182856969   4458068 159902305 147344168 139338960  43908112  44132519
  44239594 131342846 106331326   5825207 257974970  11110536 259652831
 266907400  53758410 172745887 147431333 229612347 306337485 309363395
  26505389 165151998  59304527 361239065 364628238  44629823 374367864
 104324098 174984945  68980411  45771757 155166454 399417348 373187802
 236487399 414817285  65412926 102668123 171005030  13713187 116025324
   9586361 440959141 113493684 208612612 461961514  52127807]",11007
Flinders,"[  3176149  35520166  61318606  80151685  99447193  47959734   5505358
  94158884 149149994  99307080 150240207   2044851 103162782  22695007
 220510180 242376119 264588408 214316712 341846830 328241592  85705998
 350731300  45049656 374476730  62172636 394601993 208558196]",1112
George Town,"[ 31545040  27915317  81222148  37001063   5194225  48642706  76201165
  87849968  34850377  12137401 156366234 162642194  32409673 179306658
 175456343  13087337 107516027 258108088 302230483  96610664 393928594
 247067621  92557519 254242527 391311094 169979432  57986627 412885118
 432935270  41106341   5266238 454177330 118256470 100546672  15552467
 267304815  55076141]",2295
