neighbourhood_cleansed,number_of_hosts,number_of_reviews
Banyule,"[  4133993    772011   1107678      9082   5927414   9522866  16080809
  15516081   9448107  10352836  23367383   7641031  24948277  29533844
   6086939  28611521  40436748  16927244  27968601  55621164  11022443
   6249260  33882987   6538747  73873316  72191437  50701003  50405671
  56006260  81572188  82199994  12222936   4177728 103875237  19717864
   2473437 128790175  24084901 134848372  47374237  94564454  48109919
  45961916  34351068  14521303  63049244   5261287  43308665 167661301
  16266564   4430613   3129577 181532701 143202298 181901763 186715787
  21066249  78773077 254854235  13991916  69293626 163231398 189662560
 156414031 127946456 231235915  17089940  75086672 238885939 234967090
 244837302 246243204 246936849 461853213  10441624 259873005 226257082
  51849133 270134026 120653373  43560868  51771966  43737375 179668928
   3038926 284122991 278164500  56570174  20487780 297967040 224230722
  34888630 137194006  89974841  19896788  11827528  20547090 377594060
 391355568  93723714  54565099 404653976 418479536 183629571 160004102
  19596782 429736972 389962873  32707493  22093733 318871041 188049303
 101993531  25669441  12873973  94746884  60308384 322966207  21101833
 454957010 453344826 339929810 461786330  49681830  46610555  15847307
 467518794 108096317 250420421 113342712 153189849 279001183   7042261
   8223131   9652693  66659712 336477685   4858816]",3687
Bayside,"[  7532185    760849   5808523   5869866  10260164   3013970   3399739
  23964067  25245215   4061934  25409342  23795774  33401062   6362274
  29489600  24350569  34979271  35260517  42113127    520066  40836349
  42558060  31050858   6937290  44229140  19603356  22139379  47433463
  50956849  52253540  22877735  55168948   6815177  48192848  15742682
    355966  43484316  23087139  67297926  13942744  22219360  26505051
  70105664  32091362  74563897  58252839  72612430  37291908  63284187
  80651381  55754741  44883590  80150484  26820500  15460930  28377544
  51125062  34247003  33418693  73951044  84806429  96265960 100709814
    799376  34341064    467749  35594825  14210906  53103877   8615472
  59213549 108648373    397229 115195230   5949748 126878438  47676927
 132271417 137442712  81188225 143285546 140730202 145957347 146399813
 149192380 153671740  60035676   4502556  36037084   4491277 101019501
  22705347  17224223 160001269  38208373  12411129 164183525  85552893
  78529418  15747850 175783355 175968809  16674358 176491154  36667246
  55510912 166651302  48106130  48279161  11250493  94463356  31621792
 193648165  58297869 196118993 199157050  65390440 203628346  13727301
 204618740   1817343   9710135   2294685 173767054 123977555 136004378
    685127 151989189 221258955 147353202   1107286 105091649 230149092
 106447425 230563246  51790481  28210368  69488454 199196148 108927355
   2576276  68343720 250765912 163667567  12463468  30658546   6401049
 106170886 248358601  26226691  35615398  29665549 230544178 256105021
 256106341 179233423  14700892  14875756 269118609 229196502 110212681
  74229137 135593535 169577270 286811359 291254945   3638181  92202629
  30382102  68358644  32655450   4840310  76884658  57959766  94159187
  21190841  55994790 211011533   7046664   1398259  11914644  55090187
 114013936  95637895  12231588  43635172  63174299 321372002 109939822
 333906333  99833526  96272251   3494677  17634490 343393967  45356831
  15650915 194192857 111829679   2732722  21519862  64353673   7576499
 158944391  85254904 357309319    649936  81388336  55324450 180818289
   6050941  57417733   4108580   3721646 378163880  27979766 117996682
  66871106  24360821 162441740  50017954  16401706   5090224 170697834
 267733115 386547742  29967415  72648369  69692779 375659806 107376865
  36384009 180994509  43307550 185076876 399749525   2209316  96257547
 395560312  36729860 453279389 433225384 403328378 450236982  37119629
  61325390  46492491 195357813 199120242  22965385  48157710 178938341
   9364778 169624298 325417167   2058617   8119361  16514660 148897029
  32304035  12911185 279001183  94590715 393814263  69339467 105335465
 473750205   6137872 256788413]",5634
Boroondara,"[  2232579    326880   1198300   4702787   1705701    381584    228082
   2180044   2255480   5309946   2792235  10141626  16932750  17327788
  14172903   4719671  25783648  26223321   4647935  26451056  26501118
  23355351    747059  17851153  30760257  30936445   2365992  33190537
  33397503  16034600  31941834  17025860  18413773  35925193    287243
  35332906  39765582  32655114   9057252  37024203  42266065  15495699
  23056379  46742452  25675426  28366718  46984666  47511228  48440780
  47879308  11886662  47245833  49448682  49456495  49575385  50336748
  36195375  17748763  41899250    123875  55098825  46176763  47345389
  18035351  58267785  51684454  54156534  30743585  19429353  64018757
  60265394  66395083  66691932  62344422  67518312  61317872   6432292
  73259764  31846566  69464327  18022229  77011858  77174203   5424366
  72033797  41782208  11013173  26042150   2058617  80556568  14904838
  85210676  12968938  42242728  92561510  14974757  48161025  52823911
  17391639  20989025  50032978   4945813   5844309 101279018  98262886
  98895026  26938568   6233067  28736478  15158089 100317345  91774316
  28389682 100165691 112017786 113623057    959909  56303635 120926739
 127974457 128652087 152642211  73481731  26608238  30461834  47332512
 119503819  55355837 145242708 140349449 135757089  15365269  34775804
 146845800 110264519  60834353 150514440  32237649 155706811 157216573
 154900934 151026899  87719166  24900077 141663822 159402795 143602549
  36184294   4653557  61321894  10239551  11855075 114725786 120650230
 111449018 164454905   7674894 164609584 112170214 100555638 141211240
 164759064  16276367  27562781  12143691  93788382  11801161 102413207
 157459504  50860464 173155184 171072836  46711719  15362275  12192511
 176655827 180638646   1192098 183244373 181848841  63585562 186643056
 185586197   9668683    112497  89801757 116885943 326530921  68785322
 194777690  12596962  59846589 131673331  31719027  68628124   7964835
  83026714 215996075 210072993  80595935  15609604  99199474 145592165
 218835770 219010112 135117464 156142239   6082554 156409670 223512841
 221747333  15201023  59695006 222612674  10683589  26482879 115110577
   2302916 112825181  62058630 234655069 230859444  22977714    760849
 233297248   9729856  22472594  43256239 241121129  50264189 142899001
 229916987 246293071  57426480 185076876   3933938  44050608    932976
 105407908  21379270 253529198  24213383  45356831 224632840   6188568
  82658406 154877871  16735538 335130912  98230855 269113638 137446554
 273595496  30569832 119375970 132808402 157279907 287058084   8016124
  17190368 298550539 279001183  59354918 122979750 115113395 256395193
 307747946 210704621 133460838 312453052 120802244 183075347  79446996
 178726079 217126112    189684 330005617  41450801 263419140 333906333
  94146583 129171794 182342439 313225695 342144744  70541718 236033112
   4303975  26398904  69174373  42564947 379504747 376059855 172454082
  95246408 128664560   2187699 333967397 397480486 399902959  55322639
 329829732  14608495  29070596  22630928  67533786  10118839   9626836
 333683021 109918914  79169690  11914644  34247003 135947932  56301126
    638417  21016606 138503879 244502930   7046664 262619656  96403598
  62584144   5792378 444429173  93391912   1184349 379811142 250420421
  16127317  82433396 432119796  74979223 455129056   5406335  49657081
 176848493 192960826  67018153  16833635  19446996 459964494 212572103
  58416363  17571259 472604475 433225384 473711715  73657886 466299755
 439614306 379762759  99433570  17665954  68810966 324770610  22820738
 235135883 256102206 258727924]",9963
Brimbank,"[   210716   1533260  27664712  36785676  42084242  41228535  43803546
  50438389  53348856  67845964  63328351  24023612  30691963   6326637
  32993431 138872243  25822511 164641406 159785982 145895537 132416520
 122979750  85769949 131409003  26091172 201805004  67862069 216846244
 107877503 113727879 150688199 239416953 217394062 132439460 267303700
  68019865 259816639  50038799 139046187  24050800  59405064 290852586
 287076976 295052932 148174956 267314470 295324745  34343705 306372450
 262881675  65303311 312163230 210483034 324212485 124367721 323563078
  63012468 136560215 269186979 329911959 326566248  39669873  39973711
   1107438 246109954 339572424 339608967  33860311  65527701 105969199
 162199421 129474070  40772432 391425377 216345567 102592080 401336222
 279001183 211965256  21483644 129052629 444446159 304783688 447995996
  91283515  69255483 461144802 461821974 467883983 467957915 131124069
 472662175 120023759 474867456 473919431 274455261]",3662
Cardinia,"[  6140372  13397269  16373475  28372322  33418497  33771646  32396585
  46592930  47874019   4407930  35104440  53671527  24396301  76993597
   7468042  86818458  95968855  20087236 108815554  63866258  37840667
 121623216  50144786 148848939  16220780  90120799  51950073 171920589
 170824501  62077033  58642266 184953854 207926446 124547456 209580786
 158758302  56954455 155709406 151485462   9020997 229756249 221918282
 103145323 235626738 194250129  30184154  56947177 264890521 267444171
 258951621  89878151 312911167 105241178 154813436 225146223 244502930
 348274551  10665375  40935163 376685461 377406126 384746381 385431009
 111329834 187397505  22978176  62699802 146234368 381521162 314963924
 135932075 185076876 404262173  91910374 223090618  37958619 429341110
 429595682  73132564 111886033 147004384  52913317  26021995 380080622
 337597547 183540801 448363697 440473710 397283540 455734118 256788413
  95100279 462138066 262516486  46263921 379808671  68810966 199176764
   9773579]",6240
Casey,"[   164193   2531069   4535949  26891835  35548063  37652327  15946489
  51531524  51643091  63279141  59920771  94127628  95663321 101662596
  75330531 123380586  46704750  22634296  53334594 123377291 112291471
 151952817 158218506  56010763 169147992  25866245 173788232  55191574
  91043213 186034995  69614071 188622995  52822869 201913241  55231433
  70876315 202998966 177034300 104426869  51061223 222451313  43314932
 234622522 236455301 237176920 239209567 175801873 135816157   3243637
 109953238 223287550 272324641 283035631 218380254 132005658 293004400
 289986587 297308878 255342740 301174421 309857693  52373654 316958748
 316854398 316839250 208129823 324163034 336765942 260053901 341371980
 341997520 217541209  95427247  90719999 330770805 361237357 139835657
 379454473 185076876  10396477 382725471 149024859 387723561 112029168
  21593249 127449535 155739347 358813475  40569912  82003775  28276041
  34606922 157873105  93813130  34247003 443494480 144063249  22106049
 454321894 244502930  43321650 229484777 184542803  68810966 312453052
 459668413 463817704 263081806  27818404  35366019    826122 141668628
 162353066 211573142  60439518 111458159 450195732 230724988 323136429
  17441073 229378112 477456662 158144181  78561414 100428557]",3033
Darebin,"[   182833    804527   2262538   9341015   6279514   9670542   6607846
   2678219   3796986  14575381  11584037   6329593  12300519  14868042
  12367048  15983524  20047388  11022443   2363971   5311913  17905975
  25041308  25161327  23645940  17985195  22260026    417655   2058957
  17218091    234808  28386355    634401  31819736  22232672  22155576
  29835993  30251550   9717713  28727962  15981524   9018204   2570363
  37741609   4406672   6987177  40461661  35530672  43147791  41769221
   4811548  22867866  45112882  11335611  45331541  20957523  45489433
  45342835  46120320   4702532  21161811  36847969  50033927  28668725
  48029420  18169834  39284596   6692228   4337512   2876528  45697880
   6447741  51974934   2098790  10936007  49825570  26566556  48444929
   9639080  51470693    174173  52874277  45270445   9934913  26773933
  64140248  11186484  62482013  25867484   7964928  64838947  61862135
  26450213  28930212  36692181  59698290  63038845  13327093  49671714
  69714149  38464271  69151339  47493458   2980649  18125153  73689541
   1293459  76465811   6516095  22595760   9800790   9569665  72203141
  25526615  76041349  10392674  19937269   3763689  18106123  24067125
  88426962   6526518  33961423  84032978  48462471  84766176  90386210
   6731617  62087995   2418728   4177728    654602  51525886   6763885
  96127123 111683327  13054755  26554019  93993716  41973097   3698789
  34488454   1966130  38793944 125610375 119862672 120000598 124942079
  27335482  92759419 125609519   3463831 125635715  31314431 132154614
   4648364  76079353   7406416 103069482  26093290 132271394  13649509
  63174169  15795487   7684819  18012126  22167309 138120787  58060729
 137776357 136979803  14101298     18785 107338154   3592024 103056689
  20823485 132408214    471434 111512340  23963131   2971643  52723896
  49796861 108215335  48410613  29613906  33602100   8249810 152640623
  55060924    891832  10371716 159394028   3640736 157671751 111065597
   9566191  17060836    337794 146571144   2626708  76017243  26826841
 115847183   5217505  10312547    815771  28139974  69176837  14393327
  82834817  11709357  72148115 135567044   4385016  63356541   4755269
  18517924  17695079  90759290  69483267   5309544 174864582 186351470
  41671348 185550367 177109010  30183182 134953041 105370012  18071083
   7085371   1629532 193625147   3412182    369770  10424517  38243983
 202666213  37957462 206054937   2263338 206327065  26331538   6363084
   5019733   3751501  35556981    519302   6821394  18132446  79345074
  52624474   7773419    458255 224913477 226146688  85041487 177574355
 461853213  18895333   8614355  15259470   3962358 231017290 140522939
 143448718 154877871 232441113  45305495  11564141   3060175 101001612
   5113455  22100147    355966 212763398 242014787 202516539    436242
  41796553  43541397  54018210  43624386  33945317   3611462 249352540
  22860346 210423346    553103 101279018 259839347 264670268  52039875
  37293681  58963499  39496017   2101526   4681368 282750791  37664473
 280296915 161525290 144033747 283118117  53488420 166859414 335130912
   8061627   1262143  21481785  68625644  71627374  48298574  75836208
  77993586  11901944 143125233  28185980  42436182 105303187 110514182
  12629825  37958937 317238554  44303773  54888776 317864874 292573098
 319120211  88387031 319758568  14219290 158936006   1419148  99182567
  23507111   5031026 329476912 331273198 156363617   3145254 272331025
 228643685  27398780 275482137 347945411 324771755   2216351  25209840
  49957223 209013042  75877154  63711381 378520757   1881589    843504
  45354264 160004102    215171 121412238 390610798  11467407 279001183
   2263440 248996143 190600965 244502930  12013711 410173947  27383393
  49657081   6460290   4184543    882860  11464641  12219209 238794429
 138843813  11847316   4070454  26931631 104431444 105331192  13553840
    237765  49777133  53239208   5558606 393990420   9885145   9196854
 452942144  71915435 152304701  31874916 104995288   1737406  44636226
  87175859 457794140 457224817    556315   5991192 460656868 153189849
  20548441 189844977  50040641 101445820  29916969 455129056 118141838
   2376972  21488161 465657121 134788365  14879703 449835757 137075922
 340335965 456237737  23824882   4228692   4493970 107507032  13077654
  68810966 182656022  32872127 312453052   1532083 423910942 477046671]",10036
Frankston,"[  5247469  17241114  13937517  19144074  15597486    369770  23361245
  25864850  24588713   6206455  12919508  29181687  28991257  29242685
  14772028  32621570    193031  47600522  43852187  49767054  49890374
  38306289  55328527  54280466  63951716  68299992  28417052  79220550
  98526919 104950838  24814727 103482184  56787006  54259369  27026177
  15735185 109019411   7860705  89646538  15207756  56017666  72992220
 136108595  39323515 156690082 156703739  58922874 160781562  36205101
 170651187  24262691  81819544   5494223 156111303  29005021 188617918
  60430952 199176764   2148580 209861154 190219395 222318925 227723060
 227878673 170814521  50020754  40608207 189898938 237153293 173610166
  98408177 255273975 272384027   1846526 107232439 270489326 160828205
 161293187 127747970 139758753   8223911  72798503 304729209   2007614
 227597257  93541861 323272939 263981106 276996610 305223035 334443537
 103163555 340629669 217311307 348059228 241199626  21985962  92611360
  47516145  76097875  35370298 249307508 353162650 164592558  46351506
  30399602 204163681 127315052 260123863 385660294  56130530 258923212
 120689864  43321650  21784296  44380528 312093656 141754725 201662616
  11135339 180379728 376934461 173427652 408817046 428745175 322378139
 244502930  19661537 266446642 341918747 381413006  27385741 190716355
 290473404 289996106 388906778 196496785 450551837  42877621 384623274
 450267035 441660085 444796804  16364674 400584715  24056211 461483535
   3854724  79943605 273680795 460787248  50681208 147353202  37195672
  38112909 468253532 467727731  44208684 279001183   9136150 338923370
  31969074   2717432  26454359  61015457 110360759  88070600  58674173
  61742562 308174725   2692055 475187484  33318187 258727924  63458911
  61588223 120840644  56909846 289287426  41668222  26394656 178907229
  58979534  42413918  31129629  64679376   7825490  47345389 156293467
 149793464  49983351]",9450
Glen Eira,"[  2085706    246509   1038237   1300846   9173051   9173366   6339747
  10289861   6449305   9655460   6866740   6463080  11459133  15063438
  10985248  15736128    566559  22386806  22420759  24019968   8532355
  22299060  11187117  27817550  16126836  28663583   5696107   3380109
   3375986  29657040  22740218  21030393  13763513   9435191  32797185
  36303599   2231507  37202890   9841598  38639411  42538288   8640305
  38214846  40847710  10221730  46803219  32116316   8979171   6221781
  38145489  49404048  50238763    212363  42478351  51626956  50621718
  50247158     40864  52498266  39687091  53508967   3377285  59417022
   7512552   5705080  63657049   1492616   1370404   6762283   5873919
   2260293  22136790  67039338  64944295  67417333  38638229  63295745
   4235674  69745509  70079328  50562044   1117082  48186989  77228622
   1120796   2482983  57365729   4197844  79564344  31785853  30024676
  16417531    455544  14386183 147353202  42951143  93923621  40366713
  45356831 106445909  75390527 122941834    415638 126076918 121580520
  35391928 132252052  21152463  30760573    606042   3181395 134196875
  54685985   6739092 135174841 138798097  60437178 142298607  42339204
   2933927 145129434  61465424  24845088 151328896  43541206   9060171
 152316258  26720163  15614491  31893563 154276578  54948902 157083928
 154721295 122980437 158245484 152573725  24602760  44794885  20147067
   4823034  96614895 160686646  64593990  35253610  76127359  48531808
 137248940 164718158   9670960 111736896 140502597 104950168 169603742
  85539168 114303819 173385537  62874502  98048935 139961108 171070064
  23472012   5732565   3465190   4300788  66214922 188258545 118692969
   6815177  12435312 196716044  60017295  12305197  49673876 122980072
 202392882  39538045   8602815  20727303  34247003 214342531  58341481
 218555593  10606527  95405960  84003709 139162999  36522277  24204332
 224364713 123415914 203754211 210072993  14729217  48293783  90491400
    760849 106241773  47727783 159144309 143227442  26435757  22418641
 134967902 279001183 230476883 234459230 167660004  28528804 229359591
 159153506 238328144  27977862  22783549 239481978 181940701 178726079
  25290445  12336579 240669570  14738270  81145627 102390612  33267459
  31963480  20136236 228828810   5819161  73579974 263595990   8642265
  17953824 283495002  29720207 280389116  58817905  35826673  21162414
 191843865 250219966  11891320 141919955  52491088  17634490 154877871
  99118178   3914309  91742356 214725200  30622342 231500468 304946714
 311117636 228436695 271945452 183898827  36503468  34953463 214546304
 106197050  63190431 116884139 152567189  33004384 229607672  33759837
 331835315  57831751 331955395  43720482 334624181  45137459  10926997
 333906333 184513340 334404074 340718896  21545343 340608258 270405078
 166664813  53420616 259499313 312678151   9628510 317937128  15993596
 262881675 347247105 335517697 393242842 128948528  37096538   8828530
 389877090 295897756  36308267 387350694  26086629  88564845  34482735
  20445728   4125269 328688933  51022835  21189450  36902776 433871001
 438140226 316944324  37628085 441999811 179668389   9847527  19352453
  46615442 374967077   5857134 412803321  29398464 107661711  24378607
 129517189 446754115  17614477 405755262 264682475 453711603 133494514
  18118995  63195335  26322547  23477884   9202595 431039793 461828242
 381287515 153172982  20091764 126664705 194620959 152974050     30018
 238424775 310743533  23745738 475562882 476118616  29186543 312453052
  14915313 164154149 478038391 297846851]",6881
Greater Dandenong,"[  3529788  25791816  22260925  34976597  41051832  49773227  39093981
  54307006 105907494 120139961  72568288 136294494 136563337 138809348
 142352571  71369814  36904725 149155932 154623103 155447383 171549808
 164348312 163420710 172946226 171187073  29830334 195617704  64729270
  96803873 191633005 214984125 211652780 210338742 207284757 107873646
  32460095 221724734  80595935 102648634 206393943 239474082 245948721
 247334478 209146046   3202101 254446610 259092176 264423562 193112869
 262101009 269734133  53680205  66864770 282104750 222293810 286786839
 271945676 302800622  58758893 256496168 308080729  59071825 212900281
 225058199  81000253 311546939 315436682 249968738 126408831  52145007
 409799316  69581733  89783929 202777252 475196347 447367565  39049565
  15361143 439201111 446109237 429441861 111458159 252727747 444839915
  58426685 475402456 417128302 476495003 137248029  90557015 185076876]",1349
