neighbourhood_cleansed,number_of_hosts,number_of_reviews
Dromana,"[ 25118777  25334350  25910773  14522091  26117614  15064567  16516624
  15703498  21979895  16884506  17583030  17634490  21146240  22669114
  23053675  31129629  27385741  50488469  35459688  40325490  41415421
  51117263  51363349  43847996  43983419  61177458  61354969  19991197
  56288739  56390917  22645721  54784727  34012406  54441594  74393706
   2757173  87642556  41668222  71924425  70076427  24814727  76058532
  95960886 107389071 109746084 108804363 121128577   6260732    864461
   9562689 123947711 144377562 110429825 113210425 119875586  38897765
 135719579 141449561 215790440  22524507 124205895  81222031 158230273
  85705998  76052599 159890071 166109954 179928016 179266318  74965010
  13831866  41207222  41766292   9604764 189118957 189448319 188336661
   7046664 148921107 221977274 223222066 106196058  33189604 211578032
   1412791  66142878 201483297 200061273 186003842 219723723  91959097
   8115728  98047242 228959794 208754736 165939157 261057617 244232350
  25713161 180803464 229879896 248144495 267530865 232130868 155698598
  68430692 295052535 162056248  51090764    588827 300895001  17578999
  88275781  37195672  12369170 302434249 309598238 174527511 313630437
 311953472  57596897 315632899   6727944 311428062 250621936   7737885
 220894565 342140592 350092247 348141762 110689406  44380528 264661268
  39758472  47810633 101450886 339233343 376056620  77205301 238342894
  90863680 334231844  27978462 373923769  24836877  55621394  14622846
   4969891  24954446   2209072 232059642 308174725  35350792 402939185
  62378611 398068778   5136856 416395024 250796863 170651187 366318830
 274347062 175024077 418663937  16876366  30125635  24720660 425132942
 175611539  38064804   2658120 301336050 429732964  72205929 430114925
  31711523   2114629 163491538 104084900 325503217  13386563 435157261
  95460891  63672800 214544306  19355863  22310991  55990412  23049710
  78195296   5582133 133863851  39898452 337031823  88433504 158673463
 131690653 279001183 201192286 438680707  75719016   2426116 329483415
  21753702  34169746 239827525 172051935 149793464 153671840 354885434
 301768833 409991925   4591551 459282974  25617933  10935776 168972548
 337813819 450551837 461977616  95768857  18787778 377687399   7017157
  83165562 351109626 182501875 146402124  13919021 106091709 114945954
   7040169 149182078 383579882  40003814 303596830  56436882]",14452
Flinders,"[ 25192949   3521833  14428682   3189605   1974220   2149895  24295679
   4944496   5555212   7435220   8881683  20497620   8213054  31557270
  14649408   2970419  17844957  24271566  24335983  33999191  39388180
  16876366  23953800  17634490  23369968  27555133  46533294  51116383
  21303053  33336585   5190696  34804549  23686063  55833443  47088076
   3818851   1013008   4660567  40443704  64723085  49140539  78753919
  50781671  24814727  29127917  31379993  92513437  92747639  73675906
 106222825  95623893  24352944  95960886  84388249 107435882 100433432
 111346388  35733659  52910934  15451802 137391269  14873577 139952006
 135156135  34321259  13786912   6260654   9562689  74968446 129542102
 129690496 130674937  41668222  21434078  68021979    864461   2370215
  53382014    688846   6576396 164674220 177573822 171516797 188995119
  14862509  25921627  76680606 211744571  75833778  60331086  84210580
 225337313  32722961  28071559 252031325  11914644 245278805  53534968
   4813986 151732772  54161644 157458443  21146240  11492391   7491818
 222935157  13831866  27763557 286999225  39314309  92213680 178909865
 152266264 182105692 314561044 330057992 179266318 266645734   7046664
 113554715  76308505 343890189 345057878  12039394  58498344 143784208
  66117723  31877764  44611163 200061273 377178782  56299235 476886256
 231182364  65830997 186737040  61325390   5582133  63039700  11216743
  70309383 154813436 330299370 401295097  85705998  53533564 221258955
  59277320 199600083 415363105 263788547  39328674 215486278  79932605
 401512350  23054142   3721646 386150739  13466133 318867119  10664749
 430295659 423779326 209180128  19492351 433204424 434596454  93946336
 436183754 181057433 170651187 182117580  34340884 384033426  25570961
 446701726 195868372  23364954  46359635 409991925  22855535 463635494
  17022930 113725488 391706938  25823595  22524507 160621463  76058532
  37395188  17578999]",9475
Hastings - Somers,"[ 17618628   4359719   9566191   9732846  30121928  10354245  23123698
  12139944   4549913  24052215  13677753   5615188  17359531  35742632
  39889406  42249736  24925607  55443436  33336585  59091295  63445463
  59375430  31066968  48900007  87521681 104075999  33894729 162202931
  14263801  31311409  51513576  41668222  24539264  79983366 105786131
  71535492  42052046 106051275 131876138 117513993  46355073  12129344
 116188450  91026024  23099964  22312197 171747437  56650212  11468083
 202593781 205406141 193623615  15461903  75540837  47807118 212865700
 250610031 167419617  25248145   7046664  43992503  15451802   9688798
 247516539 221258955  24814727 169972981  17634490  55620418  62485165
 309163656 314593545 260268558 316225741 334410348    730469 150522095
  41339716  57214837   5312317  28376007  66871106  63342188 183631081
   1445988  36417894  10926997 110689406   2711136  32474120 106737737
  56164985  47053475  97311297 128616367 409536468   5841780    459078
  59354918 391604544    267165   4735618 343788337 170451165 215483484
  13831866    770931  45577669  39989639 437932797  52822869  11914644
   9737125 179266318 246869832  29257523 141449561  19275352   5085715
  44467765 144028687  49741225 429917350 154167744  22524507  85705998]",7588
Mornington - East,"[ 28888684 409991925  60876707 149769296  85552941 345922948   1014084
  62455166 178327966 304014232  31129629 167336234 299184949  84060058
   6532151  79392886   3267113  87589368  41668222 149793464 144574184
 249815444 279001183  31907544 468819539 448679351]",1102
Mornington - West,"[ 27490709   7812731  19561346   2504048  31836505  31851350  32089213
  14172903  32454233  13472413  41668222  32232473  47802538  29053574
  62378611  22645721 103477658  37195672  72947487  49766063  38640419
  25206436  78985875  41212473 100723657  77866743 185797541 180388948
   7046664   7818927  38401563 110856161  55373279  71373010  20052408
  95068047  72948694 110689406 144345656  21146240   5570765 144574184
 106766434  18164665 187729623  46914989  36086455 347631965 373323559
  58979534 181393460 229608271  31129629  13756753  12438239   5582133
   4942879  55634121 417075860  17582578 149793464 239827525 425810027
   8946356  27028938  69605997 151730063 141449561  43561590 158336528
  17634490  63575350 439922722 334406847  94567785 179266318 449643271
  51950764 428983005 337031823 324769347 306038957  28194741 200677931
   6725982 213244814  17714205 157873105   1387149]",5855
Mount Eliza,"[  7825490  12857468  61742562  15023442  41668222  58674173  17355943
 110360759  61588223  31129629   6410953   7560177  58652094 120840644
 113595373 123998625  33318187 210633217  24814727 138472541  61015457
   8619629 179101835  88070600  56909846 236861054 225594491 308174725
 385782116  47345389   1810153 258727924 178907229  17634490  26394656
  91063775   7811980 156293467  37195672  14379890 435151269  49983351
  96143570  26454359 222822639  41662697  16273937 288193645 289287426
 228826527  41781875  82365041 443053961 465487629  42413918 450551837
 462989076  41690414 149793464  22895140 475187484 227597257  93541861
  90571350 408817046 108609501    369770  76097875 400584715 376934461
  56130530   9136150  56787006 266446642  60430952 196496785  64679376
 258923212]",3711
Mount Martha,"[  2281278   4234571  26929840  28364564  17179097  15632160   1809303
  20547300   7945609  13884707  23665449  12813455  13075686  23557254
  32996021  24876502  18788776  48294956  41668222  50567955  15440244
  46046964  45939530  36020878  37195672  20191552  31851350   8115728
 101622509  14308260   3546073  94440095 106197683 109404685  11317303
  24814727 109711492  48034757  49760561 106430303  77651204 117078068
  53130379 118264974  15918957  38401563  31947027 147255622 147287608
 148877432 149342495 150256635 160270756  30465498   1880398  81395522
  82591060 179266318  31129629   3404916  17634490  54426211  19705058
  18949246  34868286  30571380  42196848  23512173  55082496 186186883
 265068980  61354474   9951202   7864832  26386350 233427320  56802678
 183067763 110689406  58127368   9275982   3721646  20052062  66383250
 299535141   9544053 334135634   1984970 318882967 188582912 179913615
   7046664   9562689  85705998  32011399 119182418  19285247 364748716
  35184755  79447706   6414780 124152721  21146240 376824661  75706993
 204655224 382932283 156731974 380496349  40576987 380656781 378298322
 136512071 382271193 110869491  30737492  34410737  54933755   6974304
 404660720  11914644 181345539 404668669  52063334   4601425 182161043
  37214714   3929156  63844884  25275179 132238808  31245960   5582133
  26565283  27328025 422776430 427432643 426718421 433757559  38643611
  10936868   4956078  23795774 157873105 149793464 376646444  51254061
  53647770 448368971 167814919 392773906  93391912    899909  21552816
  77223209 141663965 139343695 453739042 467981153 468292655 215473642
 279001183 256102206 245618316 389573451]",8949
Point Nepean,"[ 25021534    465717   2149685  25662551   2158245   3239185  25901581
   4073525  25195830  14567184    848583  26149499  21146240  24470586
   4463074   4546866  27233947   4679825  22524507   5404785   5307850
  15982881   2150232   5871818  16156851  28430141  16699085   1400044
   2633177   8400388  26027984  17578999  91253230  18372328  29411896
  18895936   5292715   9155410  18943002   9429240  10960486  29896073
  20192997   1859603    650146  30002907  20627622  13831866  20754642
  16985548  21152761    345610  30124139  21786132  22146556  22553386
  22936764   4430613  25807267  30619160  30947939   6233408   6266371
  23500158  20556792  23557150  24674583  23049710   5755640  32114025
  13204029    400628  13459001  18066749  24345299  32468157  14299084
  24168866  24340655   2066498  37867705  37984936  24686615   8975832
  33397979  25009137  38709623  49755633  34231778   9562689  31105339
  28597558  34543358  21477817  40157747  50706928  39215509  35666299
  50402881  50923018  32159960  32014140  41873502  40546100  16876366
  43139038  14984569  51698695  61028522  44377643  52022622  52393876
  52825008   9198489  61435074  46051304   4406690  53508100  54440846
  47071299  40442235  26084176  18545992  31768107  19635839  55364553
  42889337  61615715     82422  62378611  11084050   7033711  56118696
  57029456   1344893  19256176  57816952  54891056  17383451  44817085
  49384860  63661550  49318527   4731520  13318583  49463628  49502880
  64856834  65173399  14654198 100451344 100595833   6729817  69110492
  85223252  61903634  23095605 101874794  13328093  87648705  61354969
  87851289 102967978  24092487  48221469  59082197 170651187  86990710
   6302530  50265289  85705998  68035531   3308395  66696328  48310502
  15065258  41668222   9727648   7995405 105297519  18914946  69255584
   1192321 102809886  94007494  27385741  31056602  53084722 105900683
  74238590  74959931  95621355  60842823 106883799  76068474  96139987
  89785468  46039927  64723630  78001912  98569126 107098843 107398880
 109540143  99291695  16414500  95829327  15594310 107722541 109960014
 108178640    864461 108792847  45627193  44887322   1778790 108910890
  88794557 104884179 111862487  50429739  60420291   5153750 137443850
  20300449  72673522 137480532   2232359 138274104  17576377  28075018
 138283972  56411178  37968329   7971555  91586907  59662069 114102913
 123982768 124009084  69149128   6811176  22645721 115270575  25975763
   2008479 143630710 114105170  20825226  30575559  17173140 145264992
  54922321 126582289  17752619  11533201 105900602  74549909  25194928
 129049454 118696766  56293069 129065022  54556985  11886662 130515080
  23924917  16854560 366969567  54320599 103133246  20736296  93958007
 149620807 152244038  28080862 117708201  11281469  91036508 153199006
  95063731 153298397 141449561 135731344 153344677   1826461 154296245
  36939546   2246083  24814727 171557121 158762790  77048141 161028228
  14142231  20054193 146384667 173129240 155801071  17390452  33712897
 155981720  52907161 152298154   8595049  35945539  25245210 157435525
  90336467  37857940 108710514 174135388 157855226  55572268   5170276
 174499594 156113767   1976266 162698763 173770169 162839047  55864170
 154779848  39085619 136108595  86005772  17122494 158521720  22094140
 158752652   5442162 176793790  19366217  55495802  30569943  12064467
 209030881  20395514 166474149 179020958  20084859 171218572   5019733
  26820500  60185773  44215149  21579076 167296313 167306008 186347813
 132037068  38401563 167892038 124653745 187384227 168486123 117899320
  31547745 181425399  13361298 179266318  72954972  11914644 183248551
  11341454  27513772 157749018  42717832  54901223 157453896 172305681
 189132786 201731984 209389274 146578122  62501140  99560577 187989125
 203658794  37195672  98133360   3436549 201682792 191981213 188826015
 221039236 192238904 205880871  59693610 200061273  31129629 221632693
   9897117 192997068   4581579 221271480 222504705   1406893 210364125
 221456002 194612198 223099965  60135630   7616660 120031903  90186371
 133849966 149898520 175918680  55861115 188089818 197432167  89477479
  14426263 224543319  55482796 202628624  25151507  60718558  51248688
  24396370 237987559 199315916 199088699   7046664 224905347 199616869
 221775139 207169216 225038116 200068461  34411138  83240890 225621838
  29414927 200975807 203428998 186820631  49448682  80565970 226729141
 201694451  15037489  17634490  47812744  13039264 202250303   3393198
  54033727  81015488 218507454  60315252  31842753  22905949 408817046
 183075913  16688683 252495201 253557540 237519729  51239710  78451805
 227871406 239024284 147441661  30817755     43996 240135291  50974215
 240295328  59539791  72207907  86985102  19514504  46335872 241953125
 242402257 251055004  31945701 127013883 129543671 167444644 244166571
  30133901  32449580  36086071  12105171   2128914 225321669   4263995
 229365345  55207901 227384255 246098055  72045041  52521762 229780115
  84236230  55064093  51564226 124485626   4221906 247954715  16854700
  22601646 249156949 133184428  54104935 111833631  44380528  21102443
 142688237 231248614 231397421 110209806 250780667  14775719  81589422
 134505880  81855081 179085490 232432325  53847699 270175382   3962358
 271130906  78413271 132029435  88287330   4695063 274654569 108319070
 236888785 271662934 175198522 293337765 338905680 282627588 295931266
  20782777   4681368 124020531 263422913 337813819 279938369 304026158
 297803434  61706797  23197689 124205895 304550484  28485410 110587440
  69893713  67180209 231761136  36259023  21305979  23675549  22473846
   4051429 172773183 286987090   9676474 301457101  27452317 292487977
  15785517 340301168  87222831  28661104   3947222 312077375 202876781
  82436003 311831977 120298919 248562764   2435069  17385401  27870097
 272973980  42359176  53480820  83250457  27016337 183854210  35370298
  83805796   3764330 329140215 315105780  42867055  54912624  23359033
  22359563  41038732 329992274 110689406   2363971 248166788 311222435
   3390562 331919147  83183094 172950577 224728200 334593875 190563204
 334826461  49379990 205845593 141649732 265902257  54896778  82441367
 183494152  65031941   1596217 336928994  78976209 318783346  62722021
 199422438 338366707  25329011 102050770 160660433  92522713 203233545
 323468148 100819931 106444183 338717788 155215790 111517444 342624012
 233107568 102961771  96399473   4944751 144017107  27720912   6556057
  34167984   2404257  88268015   6274139 373063047   1511804 113619618
 190556176 111378202  61176039   6405284  49297196 140904335 374608582
  23258573 180803464   5822285 264444243  11008332 318687336 364909157
  55840711 112289289 350090620  56093917 228105123  15399621  24753200
 368093493 351250446 376579999 375788605  21713191   8103785 375950186
  18843751   3026004 136300486   3651475 123278882  36031526  71168142
    174153 103480192 310939345 312093656  31041139 247943986 213291401
 183850705 275495347   5103409 377753186 386150739  69172543 329829732
 170856694 380657629 189698941 378396946 387607621  44633322 377731862
 378438710  56907884  18703779  77484598  11111835   1424528 324080107
 385051339 229744109  32802222 381414865 180384271  47619928 372938614
  93960046    455788 379517182 322000352  91579080 382234996  73453811
 382279897  75535223  72257917 117715654  93072606 381942678   9885145
 202353236  12433273  36096772 118466774  95603723  86426847  69929794
  55996591 391049205 162351904  49585973   9639815   5582133 193360628
 391731005  51979039 400821235  49663957  21434078 213058698  27070990
 393929659 403120884 375824736 403543415 251271267  53233066 111222509
  42330722   6263070 378516542  78033576 175563104  71035977  31379993
 157873105  39282238 154423797  49826252 187730613 127477849 407913127
  56906617 408517567 263552955 197570292  93391912 401023800  56113273
 115469568 413427788 420309183 428210956 190562776  72451236  99571148
  21611391 373444937  48541193 163843895 424417313  35669363 430859937
  67662107  14918040 151822163 109580709 428983005  21984691  22419482
 301778313 431489859 425682213   8761764 425694023 296817146  36862546
 273471458 423355944 188183927 161652060 430174889  13392649 248050498
 115876609 431612268  32172440 179317549  16485311 433237976 181925182
 110578624  53405121 225183629 181036219 288507476  96918420  19139083
   3558053 229908459  15617224 434166852  48792055  27987662 436300995
 297978572 111712626 429068124 372484265 130383005 436588418 108936313
 105342947 234402885 434726492  69283881 367591586  94586930  11110830
  45792491  74979223  52298344 156020307  57600772 239827525  43321650
 126883517 350636203  97041924  20687223     82088 107542322 106952763
 416741675 150343826 434467676 363427295 122480199 230146730 354885434
  19268229 231883074 445284396   4267985 413548902  48880730    809648
 446211471 438685597 376479182 446700700  44706435 443585040  45794453
 134981410  13501148    871650  85989827   8506956 299348558  59679640
 447451822 111807188 409991925 449476014  54842582 149793464 271977194
 448364031  13715837 457343962 392898941 452349079  54452247 114886460
   8679469  96611019  12548391 449130240 189844977  29362115 428606169
  50008183 293621109 158517373  11851622  58798963  27339929    293778
    851009 311530761  67528863  26609990 239468016  19651646 332265088
 460476524 460787489 457050072 462162203 472168066  52827116  26827437
 432109830 247511628 472842754  21275243 391503701   7059843 175003291
  30524546 149150902 204917286  49665628  12519209 390907036 220510239
 256102206   5948868  41211666 112033250   8949957  28662743  40020562
  48110325 279001183 223246534 231912104  17714205 109281827 423227019
   4984921 475699055 228730772  12305197 138474274 445902797 149182078
 478205296]",61906
Rosebud - McCrae,"[  1189726   4422433  26886567  12040610  15586355  27343790  28391146
   6866873   8595225  21897445  17898106  22520834  10833089   5057041
  11074434  12016568  23403907  11431852   2158318  12659353   7046664
  23731286  37210988  24143654  34143354  29352332  41668222  36310265
  34431757  12717379  33889593  41512656  33064110  22035923  43386090
  51390752  51479440  44380528  17388092  37471643  52580310  24806757
  45888481  61623211  17793037  61635501  40357575  33869210  13008455
  49470870  27756795  49677096  21958112  65184812 100598540  41004854
  65967526   5551501  88094833  47071299  89011139  89791486  41229140
  17578999  21146240    710750  79221615  92590040  71069871  71261032
  64414207  80746465 408817046 106739435 106959093  22645721  81235609
  87232039  11611315  43676353  90289255 121609194  93796641 120225340
  26027984 115090247  46508266 108922670 117036489 144220315 130229409
   3327375   1262881 132151968 108948115  61841927   6566545  37192960
  58656754 153669771 160246481 118620325 161333047  92373915  77348970
 109585592  98536970  27385741  44903773 141449561 156477336 127768971
 159912602 166670917 179656509  15847307  11344996  65029349  17218091
 159265043  38429774  15158491  13831866 184162971 200061273 204385140
 155328037 126330509 205166314  13517084 209666931  98232548  54530009
  70643953  88414273 212735219   6329821 226403140  23049710 235814953
 148580188 227581061 252668637 128318042 255892947  17634490   1324748
 179266318 241619067 129789078  40283603  46800383 259114317 229005239
 135991238 132346992  85705998  40919306 172790041 225063530 210364125
 232022238   8739265 154017551 232167273  31947027 245048739 194831401
  71369575   1718463 111633647 299473507 300393880 160553162 286755899
  47823384 311535935 312113290 212895251 326544431   6694843  31129629
  76647579   9562689  59684740 110689406 330262997 315777564 340870388
  45796142  39576217   4006594 304398248  35370298  44067057 170856694
  20547090    762928 347526035  28589589 356849629 170244994 148755690
 122262633 180374743   9360351 159248591  11678617  63843436 337813819
  34627519 350892417  22704145 137055774 376707628 170140976  17065031
 101176549   9393991 125124115  23198140 377379178   2303613 145768548
 156264323  33802900  24635804  45336645  44482960 380398890  36473049
 167464174   5582133  20085124 287674801 226966105  62082177   7995405
  32481651   3264405  38225659  37195672  48746082   9396728  22524507
 382384897   6974235 170651187 237987559 114391381 391490008 392160724
 180803464  41362267 394645693 222348740  53219891 151873088  11883144
 241355419 112805612  72842910  92106182   9842976  94684926 304443885
  19609510 115210071 189670590 199176764 229961254  85234352 402677441
   5307850 317514364 409991925  26547181  85362194 409401345  17482983
  24755235 248409713  22507663  97610051 135478378  26753772 428210956
 167059674 428349270 179109365  59514247 224104584 422797231   3076473
  57968536 220895250 430863814 149793464  15492640 109869067 431279244
 280291641 167622340 194764619  69699431 429625541 425821965 426113583
 171364837 380533590  48351170 254408054   7232855 182732995 243166917
 417740235  35642650  38401563  62378611 433387407 134004865  26398794
 427735348 128988016 133523951  95773648 131014650 214562768  41339716
  21508743 200095935 434481134 306090749 434713854  98126258 434809354
 434822376 227227440  33013888  68033772 157873105 440197280 320850370
 151069732 437317069  43729163  40071204 435680635 435296849 196109710
 279001183 406980022  68551804 370791013  16225958  22630606  85375709
   3022729 439042232 176485710  56028472  21753702 239827525 136538839
 457667879 450551837 457176068 244502930 154776923  62886033    864461
 459328042 173329652  96163177 158674177 288766184  42136552 458493733
  78413271 455112878  73500572 435678160 437630548  76894802 204163681
    614038   2498962 114113603  32015246 472299530 200510962  24814727
 473014820   2130404 100317171 463967305  68810966  57053431 117012618
   1918020 127632901   9900124  48805919 465674022 378739327 466434565
 387730259 476491155 215639959 474035873 475699055 259159569 102809886]",25973
Somerville,"[ 13755281   9509273  42071829  54410809  47156798  29643199 100428557
 174107608  37520462 178930097 227553834  36124787   2723064  63458911
 265954160 141955953  58979534 378182001 419738060  92233455 238168922
  17634490 306392977  15360131   2692055 369032643   5247469  24056211
  89646538  63951716  89941774 227878673 358813475  44380528  58922874
  21985962 141754725   2717432  24588713]",2052
