neighbourhood_cleansed,number_of_hosts,number_of_reviews
Alsergrund,"[   739130    965759   2849095   3530452   4615178   5343576   7490377
   4853903   4642438   5874520   9556855    801421  12233591  10247624
  13772689  14706508  14070533  16910382  17197381  17356067  17702557
  17997823  20352584   1499679  20637302  24160459   3765951  21756067
  25080746   7147147  28091107  28407863  25640886  10456345  15920643
  29176864  12783006  27989138  12700884  32052868  13993489   2679033
  34733652   1405577   1675429  34801871   5888815  33339669  36401491
  33880990  37155927  32763504   9279957  37209018   7318229  37428242
  17921213   9110380  41055513  41058116  41782085   5062344  26954121
  42760743  17123590  38054509  38064992   4358824  43863408  13440214
   9158703  46058497  48582302  40306478   5574484  33089223 285697264
  50267236  41170091  26832006  51802725  15378857  57660092   5275452
  25028435  41151824  64388242  18933289  13178481  66299057  53271610
  19835600    981884  11663611   3715236  14426790  38166429  71107554
  74270061  74857368  75141141  72464151   7523565   1547126  19101247
  57223152   7692399  66563786  78571865  52636984  80645457  78770609
  78806113  66600062   7198960  51891892  79782555  15278456  80200475
  35384348  81885284  32187995  80177796   7008591  87655916  82448263
  92677771  89085867  31395148  56637236  97744136  10270651 107112694
   9059932  73595573 151869337 112703705 106054995 113231477 114035529
   4494150 116849625 122623874 123098816  14274338 128871904 126113424
 126409977   3635986  40461836  78684700  68494404 131671188  71644236
 136371726  24554007  49397838  68358862   5462998  90815576  37558852
 134647502  72433167  94493936  45240785  23602705  50653737  35276397
  92979273 113520908  56857404  37011803 148085178 453599669  18828057
  49092314  23509700 146294677  10570246 150257755  73026340 152566881
   5876372   5043685   1999667 157954280  19166941   5037447 161996180
  27392202 160168258 147098447  86021483 115903034   8632750  92389433
 170046446   5273452  14449168  52307941   3839606  90808249   1433653
  37122754  96831055  90827571 178678714  22150761 179110551 182541302
  49147531 185805048  27775775  90923170  85050136   2598802  11687935
 189889250  57855957 194905512 195023501 193461412 197478391  80556977
 118491742  32594769 201604146 200307338 200308975 123576605  38456970
  40688117  90754266 207956633  99226181  62157280  77480001  15761972
 208219391  10257199  28868851 212842522   7014211 209195168  29916176
 107106971 102290719 223526273 226674901   9136622   7830701 145924174
  19574990 227433464   8749211 228211665  22995296  67694335  44287689
 228867750  33844950  68473187 104205496 184084037  74448877 136267129
  95977368 251365550  30574908 252413966  75336782 252951884  95155235
  47784182 187245598 260620371 116700689 261219642 261495327   6223529
 262068541  96941549  31390880 263607491 267195821 267644884  77076005
 144316769 269780920 273204617 274294886 270992445 280117579 188320967
  53945076 276534920 277196165 281417436 132438935 123725388  93640636
   7735012 286302298 282016439 296027827   3015701 332664274 300246929
 298617870   9772813  21221155   9068717  90317982 304893632  21146169
  61249398  81572432 269337333 309583228 310906715 311561543 308288472
 172030018  16238682   9423891  15935294  23281039 287297376 271081497
 113748013  25067416  13177822 319830254 269054303  15398726  53254985
 113189546 293104680 111227154 349181803   7971724 349961171 172457486
 252535148    743398 356845079 312405745 274565185 365550678  32184513
 323912303 141550666  83383555 196529235 388009441 388183655   2867289
 129850550 407017478 401222234 404317100 383917706 300518802 385064248
 357676199  65876843 172329935 450691128  44295152  42891142  46472708
 400331696  54301002  74748077 261116550 252683008 434801150 437357240
 121222075  90198702  13373186 271254568 367656762 368444428    718423
 185820010 285705782 180550498 447726025 176926021  43481621  14391403
    898061 449607864 428230373 426488365 452086085 448227459 369764263
  10606851 222345303 454972458   2633820 444892839   9677686 167430222
 227275971   2825556 453309689 463441644  75576645 402602283 189066567
 466343371 110732115 147093175 404652017   4135984 258912988  45600324
 114313544 162075771  31194362 353394850  32076764   4031764 472865908
 389389007 474315768  99299823 464896674  43828555 449098419 476266595
   1685689 478801791 478066824]",20408
Brigittenau,"[   400857   2327667   2418146   1510847    861392   1537009   7029930
    707631   8648007   1137320  11692249  13259678   1482356   9469087
  16149154  14973635  18080659  21756067  22843624   1090685   8908066
  16783785   7014211  28331678  18923861  31350990  32904759  13253802
  33182091  36524057  36632100  31256364  34159951  17624778  27775775
   5022954  38215090  43096398  24559673  38692137  39689283  32883725
   7456052   5706688  45601792   7032555  53750500  54588849   8624116
  17402804  50118479  33046673  22644735  61087027  61094469  47156073
  66039195  14168586   2350954  68845196  61420776  32515773  14229979
  49917376  75152974  72807584  73020697  19101247  35590532  19520876
 100626614 104209210  22313114  26937716  50426128  13933819  48243058
  12991863   2651448  11991108  49059509  59446644  26016876 138165003
 139136035  75769542   2635028  60866505 140730057 143669966  76076217
 144437924 144766131  19099726   8711613  16449613 148661267 153399224
 153864304  16890364  12574381 160304335  41273757  44287689  16419884
   8792215 164792721 168713755  77535420  71457521  11061990  69333245
   7211775  88405800 172784800  21395811 178445577  79782555 181097564
 186065633  29382365   5683337 187538318  75251817 194688598 126750217
  19554145 196741731   9510339 202776999   3194731   5429100 195454291
   4427143 184843681   1807636   2305600 188999839  45612628 217562495
   7052793 219404216  39677412 116849625 201752721 226450655  72802632
  15227561 231652877  32819484 233091434   8458967 191176036  58021461
 239253028 167554163 245706444 241013015 438067968 246600372 240023972
 251273939  47482996 202804658 269715699 269779015 150449847   5691795
  57078991 276889722 260641262 276748426   1302201  26957429 238757298
 189895939  45798333   3957106  29257619 224616345 303677158 305486587
  51034148 208684312 269454325 274565185 308264646  71133268 311948487
 311959544 191413893 315018926  38252404 318046969 326141100 316846368
  29916176 320953087  54301002  11319541 333852898 269874727 337652778
 188972794 288328438   7531859 346345158 326391640 189066567 351938413
 342438510  48613055  24474009 107688851 105227490  79415953 350553316
 364370371 215506252   4401923 341379065 388009441 323912303 473779995
 162241892 398556258   2798696  26898183  84309974  11145047 221969205
  46965677  72726759 256352242 192836015 391685367 167780022 385064248
  55549709 384050980 412019839  85085192  50504137   7865490 422677925
 168294721   4053187  77076005 151869337 244597535 326707863 340057554
  38310094  53178880 224759387   1315010 428112605 280891183  47050593
  13686400 446067472 134894760  91971947    718423 289450127  18443514
 453667135 194081400 222345303 450691128 429229028 405949372   8632750
 393533530  38079680 155236593 135119419 463198067 463365961 449098419
 464683936  13218089 261190603  24554007  23455985 107819704 301309133
 470912478  19119215 471250685 471303269 454802045 472375091 404652017
  94446801 464423134  18200441 470914058 110525575 163737683   2811190
 188320967]",14131
Donaustadt,"[    62142    358163   4417358    974784  10453179  19383342   4708938
  20116467  21447788   1610679  25121553  21977723  20660800   4034068
  29148568  27885077  31571238   2518319    959758  35895785  33550233
  20249779  39161116  45810682  48833810  20898234  50915804  55236389
  41628618  65888224  62898543  67551044  59437889  77344915  12959114
  83015308  24980178  95704035 101472118 103309367  99975650 110132030
 110920852   1025255  15576314   2016457 117762998 116074694  57346276
  11871069 125699475 128336913  67706405 126568248 135796300 134419291
  79031598  31327541 119504282 142021761 139600545 140108060 140887000
  78106866 145709892 116869623 153915560  51490331  67898488 155208022
 155874884 162761604 155087058 138666025 151869337 165334421 165344539
  79228111 165642769 112811573 129824054  80176064   2305600  58498554
 172338083  33502378 180896864  11212431 384050980  75981672   8581046
  86268673   5633186  55656416 156876952 159974908 183175773 165655392
  94670942 216692234  29870280  92298778 227666906  30957108 204516616
  92948147 236933676 238485826  27746106  93497828 252255638 252372085
 138888952 259580707   8632750  23903347   1853977 263501406 268048420
 273319641 273351013  15192408 277673126   7302173 165588605 282340891
   6730871 282828164 282852497 289192113 295172750 106908358 166435910
 303318908 199913366 191665016 309118316  15935294  35578124  21073525
 314112834 323634915 319711841 100068828  58226376  77076005 340062475
    743398  73158288 228020399  12042830 368291014 379249783 104381891
 393246095  40969302   5399141 385064248 369412160 380439575  23480088
  88962982  60078418 421393948  53481072 422052025 426329467  37177703
 168739528 374886559 462812682 435990655  58729931 440259734 445634613
 407937258  10181094 414450253 452841140  17972529 441507432 280891183
 164826925 452006702 122489884 455322941 462546700  59495028 272325144
 465997593 467378273 408517317 102327709 269273879 468630082 214429412
  21312617 472167268 472377916  89485055 264936888 182718471 350905819
 326568103 140410710 449505611 425883862 230940825]",7723
DÂbling,"[  4039784   8148971   5638910   8746106  11687935  10308908  12958775
  10421703  11271979  20605427    341923  25205867  13680291  24173707
   7147147  31320052  20962909  31612970  29813762  13237297  34302683
   4417389  37744863  37755179   6018536  39435298   7264636   2313955
   2740608   5874520  12457755  54622846  52012825  60659412  36333044
  66190707  66585187  75986416  77227836  78772398  43595573  15865428
  82591768  87802256  86713839  47784182 101205709   9190665  91124418
 103937362  98188196  17583120   6851497  66995228 123563244 122359993
 108962248 129238428  93622130  62736590 132624277 106111899  72833347
 140282269  59878957   7630995   5629634  43661438 123991343 160721862
 161154379  44010053  96798727 165945179  18235698 174315848  24624548
 175429274  10681468 173198913  53974372  93310783 181005187  32500140
  42129110 188837732  29886277 129235902  16914899   6508566 192720299
 198595616 132523819 206083190  24236188  43703514 145516321  65944413
 189136297  41249234 115972632  14070533 223123423 163445926 105705660
   1853799 113189546 246820756  77076005  23522156  98216748 260378126
  86348742  19662640 267301122 265462210  64133568 131906608   8632750
  34876001  14108914 177151716   6553615 217107298 314133073 106876038
 316134384 320146224  49645128 261706801 324926023   1493785 149686106
  60992611 259329260 335401552 335992594  11592287 342114669 348669439
  14067403  81104776 189733067   9158703  48931160  42609015 393655464
 395335534  51021385 137794508 258773935 404140963   9802155  25181246
 408871160 128070743  13128380 271814839  67372845 385064248   6406476
  27777895 450691128 461485012  17228478 104790811 473779995  71256995
  52428878   1430349 216276706   6975090  11442608 278161293 106615073
  60216083  93467642]",4667
Favoriten,"[  1986417   2299560   2271419   8922093   9866079  10213906  12894247
  10628168  15534485   4615178  16943315  16968564  17184350   1493785
  21289221  21349160    819001  28868851  27881045  13532208  30627371
  10209513  34505698  20602059  17456648  33418694 300783513  41054427
  37645477  38226768  38427483  43323159   3519980  32763328  44160495
   7752631  48046370  24081462  29911537  43253072  14954085  13023642
  46704842  49001536  16142705  55694759  57486025  29912465  21162509
  39627318  67455946  71295405  75150060  74981035  15611942  73027612
  13053080  25866418  77128876  33016238  17026943  79699403  79571794
  20595623  86469947  82638710   1758781  22242340   4331202  90441918
 100340994   2291632 103028422 104907423   6557698  20752459  37737133
 106908358  98462592 113225143 107921272  30091890   2633371 116026352
  83459141   8683326 130731614  99081027   9403216 123015390 104077596
 116806116 136867301 134125264 130764686  25786558 140040073    941311
   3409708  67087685   1762778  46169763 149359129  65570318 151062999
  36598991 159068869  17281405  96263307 161671301 128948649  99076028
 106634851  63201108 166560365 166763806  67581516 167321042 116210285
  82912498   2816192  74680461  29916176 152433712 101614640 181410615
  17921048 187291136 188847062 189473939 190953621   4042594  63771087
 101269801 118451393  32170490  51990235  53483361 199223667 180631051
 199851080 108239880 206203532 138757297 215920955  39101429 205753980
 212760563   6788571   2771173  26261930 226163195 120139322  45377364
 223818877  68112445  21360419 183354217  66040140 236767865 175839244
 233481899  90996752 243638936 245295059  28743480 212493078 245794717
 250033250 225902841 236927275 253655978  42766333 260542077 115540983
 259724588 263151510 263218771 197615513 263904371  33416682 243860957
  20321724    756858 265819789 258209515  20388991 205285618   8632750
 271403234 250369339 272288953  13883422  61627030 270734472 274696847
 190817924  41643220 280071490 261999091 276872857 253581144 276889722
 277316625  28764471 107792331  32900895 268422742 105078737  33545646
 115894652 288015316 288053206 294838418 177705901 159552682  96386129
 110148255 297555397 361277444 302769346 305284148 450691128  36536783
 276955129 306708303 106031511 305853961  19664436 311614658 222592724
 177168513 310438502 313814498 116849625 314406418 111375655 316626185
 135803185  35614443 321578751 321755695  65267083 324170250  75874665
 318465788 222448598 319523759  23537323 104609588  47538504 328761386
 329047446 320103295 208320591  88916922  25194205 332603034 335598568
  82014007 334234115  24704076 341487210 338198774 342483308 348205179
 327073787 345195404 345864619 341777244 361557757 358985241  55025015
 360208373 365758588  82520509 344336026  67706405 361309297 371746643
 350506445 171579390 283986502 160497457 174631928 363049619  62364878
 280256160 151869337 384674273 404652017  10453179  27775775 365441685
 397379270 174580850  63461133 398379308  59281564 407417015 385064248
 106786369 232899787 356861095  26623929  54301002 411847099 241936683
 206946689 417229211 417437918 311151517 416038388  12768737 164241591
 419809007 397478950  69767347 427598045 427910432  15901331 430830900
  17805860 149869000  11292979 432165658 148343053 237702066 430437987
 249583292 435306707 439038044 436133825 151274765  63624260   9462226
  12464530   1996189 238860340   8577925 449607864 407937258 430199533
 449082490 280891183  52075843  43796743 416402573   6567425 452260556
 364869711 365561660 345315984 452880250 453619459 453596058   2461415
 454387319 454594060  42480752  95007570 196125838 420235891 222345303
  52790090 405202862 318619679 211315206 156404033 452569662 367327196
 462418224   4304771 187287566 313830783 465251105  85619754  34168893
  43578300  75710941 466140484 135902743 272721656 466374922 446978060
 466567537  33959451  64533745 463508682 450013176 467757863  13700645
 234365824 435056151  78405212 341379065 467789214   9352480 468596521
 434190871 263501406 470852553 452972799  33283839  25918623 471455100
 280117579 284814490 473782801 474817695 474169875 456432976 475754522
 351661970 474968256  54741385 476180560  47886296 401426547 476512177
 475107779  70886398 476660861 476929748 475421775 451095954 478212227
 229428537   3912917  84461165  18230660  25467525]",25416
Floridsdorf,"[  2805014  12088895  13933819  15185027  15392781  16127048    796263
  22157366  33366883  41161071  35885509  44087786  53397580   9020236
  54849510  73365861  76367358  37205555  85374928  82503769   8632750
  67620103  99321247  50715431  94888836  14391403 119504282  23848996
 137430361   5957294 134419291  36452681  59547113   4034068 157108395
 157414240 164710502 186289591 142577206  84469098 186466024 216230471
 218367081 213316896  95829002 224302896 181942164 239243877 273589832
 268436338 277580698 275738954  36454181 301214890 302710604 302754693
 288845398 275808356  77558363 248921481  99975650    985132 324261830
 324170250 284696253 295060641 263537893 162640815 352314872 270241693
 238485826  16818270 244497411 400433190 397112453 411072483 151869337
 413796516 101614640 415253653 266809658 122489884  27775775  68185055
 420665581 404034214 431871019  76277853 359422730 160146254 236771098
  77503436  47610215 441852116 443953474 443071755  55645869 451899022
 401734113 453747320  60012807 132347539 425430164 459310603 153864304
 460506555 462557718 449098419 465230010  42983282   2771173 427087381
 227232876 326139534 470193446   7418316  92774213 356311942 456809066
 189497426 203277227 113648739  18142325]",3085
Hernals,"[   569644    675182   1770728  13224391   7314075  17491843  11515403
  21771038  22652064  24852288   3050277  28387115  28612089  28739730
  30947826  32119266  33008268  33022364   7299551  35841202  12784754
  40491621   5004280  13695731  31458031  48663950  54441651  51719937
  20998802  58447460  45430536  29494065  63037788  11262087  76109106
  77360121    998019  34646421  76967814  81783425  85704545  82664533
  57243527  58002203  93177099 110416464  96952773  24230559 107281449
   6833430  20068276 118965986  58035833 119903480 120675973  25112414
 136240470   4625167 133067433 116811441  61973968  55999162  14114403
  92979273  25086869  14391694  46558696 156290557 161228192 163735053
   6899293  95007570 179720413 179730396 101614640  37081061 147175856
 106352266  38385218 194905512 120885409   6435647 208813734  45000240
 213877224  47784262 220004000  16456976  65184642  30047741 120139322
  30574908  45155464 235857390 199236764 163184249 153771449   2418146
 109659350  19645604  22811835  54843417 257031168 209095711 265140657
   1252225  57609275 170907167 274421384 100743258  83744029 171415703
 288590197 142749906   8632750 197665945 305658362 164523634 310942728
 361277444 326468430 207061759  34594940 268556981  58980491  16773350
 323912303  97275819   9403216 284006881   2816192 365294489 236355837
 390051384  34976142 385064248   3171701 118016907 329903036  27775775
   1847741   3684204 298130119    540246   8832778 309248639 405780082
 141550666 423843794 425703950  53178880 175213449  30483130 123918821
 407937258 434060173  38492379 439505507  16449952 447599848  86735971
 333996538 398681791 204973629  24183802 308688308  58944073  28799306
  67801504 436133825   4928113 269289166 463024626 115540983  17878256
 464423134 303649845 466330856 248581269 466343371 469507541   4878835
 473779995 467541504 472060455 185439589 474562359 391261165 477114966
 442091879 477432456 475674189 478066824  45414620]",6948
Hietzing,"[  9991820  11815423   8632750  10653689   1666527   8681803  13801761
  22849214  20076579  21771038  24892879  25182887   5922712  29389984
   2509597  18902442  30395961  36259775  33819590  37029816   6622106
  49828616  30923164   6438265  16343204  32641955  47878495   8499798
  80471446  88932072 108975844 106929746 103545546 117136301 105055618
 122991311  62204713  19835949 144821487 150442368 150446874 127675033
 161283453  42346586  61794197  63254683  22180827 151351130  43323159
 188893890  78688178  16895669    983787   5107079 145983025 222747189
  19522797 116188629  59949917 239169605  62502880 241260682  13532859
  48464302  21675671 247207927 255447771  15935294  22229400 280428115
 273961387 293869971 238742484  12789862 135884973 349712368  18325537
 356076254 241268145   2816192 257054293  23537323 207390443 191047653
 332249769   2947056 385064248 106601468 186455338 193500078 454070216
   6722021  86300520 188632135 463196685 366689769  19761723 265597577]",3743
Innere Stadt,"[  1833176   1391676    442912    608240   1235914   3809727   1547126
   1189537   4321506   4403413   4331202    305673   1963384   6684776
   5691795   3966509   5874520   9158703  10232185  10423435  12466450
   1996189  14070533   2991966 322782456  16998345  23148943  18982651
  24689156   7147147  25087787   5218168   4695515  26757368  27885077
   4325679   7502061  12159020  33434909  33262990   8359121  36610635
   8632750  37567905  39158443   6132593  48835142  12329717  56332186
    685572  60244523  62486765  22835213   7830701  71642644  71074913
    440771  14762352  80754898  23643686  50207566  81917356  11643369
   7374444  42562440  53321040 101214625   5530764  98940134  65054575
 109596368 106352266 108413640 113526336   4584105 114310330 106202067
 114636947  76273629  33195980   6665491  23962563 123174855  43112079
 110858082 123472363  50653737 127388922 127842548 129829780 126612127
    995327   1643928  21522401   4002176  16729176 142158350 142279854
  72671363  41890052   1654859  19912070 150690809 309654628 156534566
  95221011  23537323  55782845  37769736 160416815 162706547 160876776
 161306287 163310461 163476886  92114275 151869337 165962016  85907825
  16296845   1446568 157500977   1493785 175265886 172829070  18046828
 178996639 178991281 178599598 184084037 101614640 186217094  72306907
 140232914 195648200  39097755  38984115 206609141 204679860  32734970
 215898612 213884795 214475924  25300586 221103443  44239998 120139322
  37389505  35898514 224310459 227157990 329044565 163469399  77480001
 231085433  29954395     62142 232921989 233506119  10076945 238499364
 246607215 243463777 101909361 244677328  15935294  11687935 253495338
 255953715  15117359 258748331 267042017 161077391  22168467 269414105
 272227239 103738732 150628787 273008290 168069730  83524072 189066567
 127872260 286737645 268436338 289612303 283139063 108157446 296001511
   2805424 293673407 298400865  55897502 202922178 306456618 308825890
  35234109 313060853   1819080 245370439 317180528   5712951 319409654
  49775566   1557725  33348865 298497597 293104680 337889367 117004204
    743398 308688308 300246929 196356933 359050938   3765951 365759672
 227744921 116849625   2361151 367771032 370088014 202735083 301810228
 383917706 143271616 228697609 146020503 393807464 385064248   1630021
  62096318 164241591 189895939 410304110  32507246 270734472 136577858
 414241532 227232876 313830783   3415148  11355891 421848894 427389876
  94810595  93838970  82841598  24340394 473779995 208652343 368444428
    276880 113168711   4245869 452986984 314112834   3173584 414450253
   1786469 459064210 459526456 461627586  65646547 122489884  18411690
 463508682 361374150 383339346 154184399 378462746 470541033 471127281
  87980527  31077018 249583292  42102939 198366739 475742452 181279378
 475243301 474943273 349796308 476621436 477184931  57080140 425471331
  88128342]",30293
Josefstadt,"[  2293155   2757977   3632088   6578834   1273247   5647984   5748098
   6350321   2029608   8060786  13023159   2363018  11501161  14216524
   5700379  15717058   4053187   5106871   5922712  15350642  16969702
  18981380  17559905  19570146  22996962  21081862  23341129  14070533
  24215340  17145906  21324673   4843057  25171970  28536717  26940706
   7345513  20848396  27835367  17640963   3019395  31342588  28457959
  32408673  34624676  34443637  33215573  35360684   6637610   1811895
   1903209  33672297  33752787   7062487  36858070  37017405   2974889
  34773698  25029314  43804476  23576058  44179547   1907453  20048438
  45059802  45888995  17617660  48694551  44287689   6423754  47106288
  22655123  38953616  19513996  13409031  56162442  56187489  20392314
   9609737  57760086  12635168  15520715  60283198  66299057  21048770
  61582051   4206233  73653761  71903645  18138995  25161037  44625338
  48848334   7089237  76710471  17155906  50901576  42976103  49492942
  86829281  47201026  53399235  89289389  92218012   9132976 101608432
   4584105  77076005 107152721 104510031  70993449   1295171  45973519
  60603517 127532655 127857144   4068636  97031698 131412169 136761659
 138130649 138403861 139263437  87562318   1731656  98886371  15908023
  24152070  30268442 143593005  22056579   5452509 150083364    420920
   4928113 155728562 155794343 121486098  27375385  16432243  24650386
  15601612 164836091  40604263 171432648 172220298 176507772  24956295
 180168963 184643837 101614640  20507981  22956642  31195198 206850121
   3153446  24311838 197883322 194905512  20527975 136616483 198633968
   6623995 191321454 202033769 206629353  29569163 204714729  13826239
  11365056  28499192 212060423  22930942 170320466 228867750 228226640
 185895135  20068276 234096126 240979121  37157006 223877275 251933964
  40002227   7415262 260107649  16698114 256497284 260828331 256680788
 136877997 257327074 103660189 127729721  23206195  41553777  66565218
  90399317  70612851 275295842 279656263  18740502  18316887 272711674
 231277538 289087983   7096158  87486053   2867289 294287488 300660630
  23645138 211929261   4676611 125856905 116826421  15935294 202760534
 322998852 319366669 321829857  29860073  11258730 350549355 350633779
 351172640  31713078 147879505 356692385 360807990  90821136 366675355
  50945012 349286364 372817766 388500085 374880452 341379065  97765103
 401356902  38085003 403244815 314467656  90490597 104886729 123934899
  20965666 385064248  25486381   8280416   8551061 431470542  13316790
 432367909 342668637 430508919 205828749  35659258  27398535 440178709
   6972657 103802318 443385371  21029725 280891183  43155648  23300679
 457909559  24479240 343788541  33101532  35459423   3987212 211124951
 171068054  97275819   7550673  54301002  47625153  34654496 213869655
  26060592  49472551  90556356 283325077 474003711  47246261  66423001
  17283491 471954490 457987473 410407696]",13959
