neighbourhood_cleansed,number_of_hosts,number_of_reviews
Allach-Untermenzing,"[418504615    880705  31704858  87013338  12721692  17803059   8378646
   8509811  55078846  19548631  84951583  87009942  43198896  22873155
 140383294  94354244   3520034 176165882  88790902 239589517 253646743
 278798487 284449191 292149227  12842297 249602552  20143365 360717539
 386209193 420660809 240575756 327701210  91697934 450295504 182285251
 450602077   2934402 456895754 471257795 475447167 132816128  25806675
  65231397  23361283 401173786 155265024 426355325]",1147
Altstadt-Lehel,"[  1100623   3390380   3547075   3657089   3876973   6211349   8791794
   8911294   4864218   3748915  16775304  19648054   1157301   2447491
  14282598  44294508  19379812  73772780   4370628  78266556  73599620
  16320926  92771729   9420691  94680913 100191519 102886397  64958257
  18483802  27001899 104229720 128702118 128959487 116800974  77931049
  26201058  39249993 145916104  39810252  71862981  73748723 158520090
 146905117 159568522 153628294 110916344 169244355 175831490  17042495
  49182208  10947774 189576716  19919740  44455671   3339635 158533795
 210711417   2881960   6157793  21602493  11756189 219282172 226457093
 228192763 124190415 243857341 247584003 248996664 224119696 259041583
 262929207  40472737 269448280  36653503  19571874 284794826  20233471
 197671512 297458158 298568933 303367755 305199276 305424000   3412195
 314153029 317808258 336369653 338762787  76350730  61907767 357711264
 139577527  16427127 362142921 366541721 370539981   9352880  43840139
 277290038  41385127 356663410 377204359 387636522  15728937  97760404
   5265984  27168647 396586727  45795301  87344028 416294103  53294097
  50174676 227180705  15430157 421366500 423245689  61649817 425421834
 128749611  23342968  36411008   5733195   7901771  11687495 246326725
  79206983 153851300  73696414   7278698 180040096  61297407 157398314
 457540351 381943798 461194755  32596654  72819563 333502484  33605113
  64908707 443084999  17339122 446752152 472962127 473595900  24575325
 473516423 475770538  21926585  21459578  59847571  17037338 145180421
  46833517 185725648  86726175 418758905 477925861  81136305 478245666
 399952659  47261606   3161796 134858011 479620266 133951035   3254982
  69395357]",4837
Au-Haidhausen,"[   910486    914691    925836    949656  14870835     37354   1041175
   1193810   1041125   2882620    291856   4310718   4057943   7367613
   7928047   8104861   7819546   8249906  11328011  12706102  14041236
   6391468  16913766  13783386  19875110  12926754   5904528  21356460
   2634855   4620396   3456540  24068679   9120183   5252213  25086843
  26476174  30896910   8563860  40958830  41067006  20611442   3528631
  42897953  35279151   2240983  43330567   5402313  26983909  49993512
  11897312  13746486   1009438  31711222  59051159  31208487      1581
   2895881  37786960  17726933  17367481  82593694   1153551  84240478
  75625789  81821592  26750726 106988062 109786140  31276886 102194193
  31396537  16407709   7392700  10012217  37264017 129429195 141205952
  43332534 145444949 145675503   3989830  27860900  33136384   7161383
   2490951 160549948  20756808 101230037  44939107 176700633    991735
 175982642  90786977 119198433 186017454 190084987  16843461   1003852
 197915946 198422875 201484557  36330869 203508513 160733029  56844570
   8702309  29896576   7105747  20803051  20937808   2197238  92303378
    863683  31328822   8403800  88434552 215346319   9785263 216073862
 216232816  64911778 197572955 151901360    798313 137079407  30758180
 188860849 230498463  38166838 232892853 238219556 239486784 240459891
 243248257 244305327 115822777 247574305  72038248 251952159  13477577
 138494392  40976045  54373205  55677509 133393688  37965041 266284744
  24895764 271233551 273915535 208809188 276342423   5353871  56150636
 278463018 280966053 144897993   5653479 205429843   5907773  37760488
 237247829  21721419 293604858   7696619 294207143  19655237   8135986
  42401783  20984446 296284274   1219893 297691787  17095492 172841008
  26340680 303646385  52294790 198134907 305646119  75136173 308882584
  32480175 313838165 222586268 320540324   4951817   2756864  14923097
  80877259 340626001  43253392 334662464  46606365  35633631  89497919
 147104137 347857074 126096698   6956697 333866850  33640986   1095949
   9205991 367220652   2453542  21093076  43892013 194517786 390315644
 391149192 392626317 161107012   2651296 151249485 174792822  11649075
   9166957  21990727  20296966   6959471   1271412  35766346  40764007
  13775253  33916411   1347748   2471415  61254432  20563171  41571742
  18667985  42843526 420047617  91165990  73224072  21585514 139832987
   8617965   9047715   1888120  27302632 421848905  62938938  11089208
   8953171    801804   8130817  64930387 440338939  39689637  27805011
   9945593 166432248    257784   3214666  16428773  81264049  99032624
 221194230  21124776 456606655  16575162 152152570  61898331 417647786
  56636838  18393872  73742647  96455633 161866748 115183833  12947770
  41133821 350120508 435545225   2804112 465489962 111237666 365567905
  34967128 443211378 188142633 467540148  80765886  21473779 181809129
 146733788  12127461  15219067  72252709 116125236  43517272  35308974
  29639362 470206497  28639777   1104643  20027482  18534626  50353410
 131682686  96352336 144145574  42153129  37330830 115611584  25853616
   9987179 473930691 158976776  73394899  29667961    180871 299424263
 136888493 474310203  45434344 439044682  57486603  28954631 475274922
 110127151 473832034 214667980  62907336  21046500 197937694 111623812
 152659865 114119173   5984941 476512790  46620434   6104735  20890160
 358991201  24656855  13534331 170584459 477405844  28891271 477514096
 477563444 477633417 459582557  83666924  25359230  69608784 212857657
 478214660 329030319  27539735 141569335 444610307  69910330  80674895
 291518458  82038191  21158885 206708964  10386980 384978207  45458231
   1661855 183695566 122098657 194740836  22483375   9552113  69175420
  87884809 202439167 270080604  16198295 122426205   7111346 417615047
 142832898 333196840  19959566 139294678  56622014  66879612]",7839
Aubing-Lochhausen-Langwied,"[118384105  35576962 241275090  73495213  51661969 468720606 404188047
  30857961 455599037 284534766 348574084 211532012  32212669 472461376
  38436084 290272011  97762238 417950054   4164485   3632043   3602002
  22403753   7642237  38006596  36213449  85077293  94025751  83949035
  36284706 143286600 188838139 191183103 212676756 213553030  50780752
 221122518  91354635 212446742  86113270 275071045 287099147  86360315
  21584256 342760256 221805027 355358701 373727596 269009538   8031683
  23251352 412922313 434553707  20550475 435975495  14846584 376961462
 458076291 130780414  39278326 471836708 215886597 135493405 138186707
   8635554 476326033 476410795 237041611 420660809 477194777 460499008
  20792208 277142391 478512681 418196286    768917  93041538 174317812
 479881227 229722947 150998329 216057266  26402801  57702799   2358635
 332487055 125916086  36849510 206588653   7907974  43891642 445087692
 479491617  66455944  13134830   9137439]",1835
Berg am Laim,"[   581737    901512    919644    971759   1078978   4250955   8455323
   2386578  18564569   7155753   1315528  18623981  33054669  42820804
  43741200  46064618   5501917  78840773  83264068  65647338  20477765
   7901771 132820315  45375758  15339195  17698655 148064906   4919320
 155624639 108807012 168635574   6308213  27400199 173069144  44170371
  13082324  52103438  59928502 228202672 211958889 106940799  25320203
 218558038 256158690 262369398  78103368 274404330  67414198 290025156
   3749978  49682835  31891601 120925400 296290330  82678518 118719362
  81934816  28331070 240875239 361956473 375722183   9335721  74550271
   3953255 189262312 406859897  13623372 410854572  76351405  57728142
  77463281  56691541 452841739 269500261 446088160   6282881 176433321
 270083228 210694011  23372236 298024863 471997604  53230288  13896285
  28033501 472504299 107604514  98840235 471061024  19523837 477473001
 450295504 475250082  39701661  15365755 200613492  17539700  94940414
  35307861   3790521 479234465 102869742 236475561 402390183 412923613
   3881395 430635267]",2601
Bogenhausen,"[200369511   8986725  25647569 270346824    860212    914564    949656
    972712   1009438   3596598   5113477  10964992  11681694  13330528
  14223728  20876106  21553434  21809478   3557721  38749499  40301750
  43080521  43156031  43366149   6843995  17862167    585050  44094435
  24268068  44513914  27066177  48976243   3128057   2734846   3007051
  67338128  31858428  69750651  28047683    999680  93797580  94660178
  39841673  96968755 101048107 105416808  25840013  85808123  23612569
  34025912 104229720   2277365 108693535  10118221 141838839 142079917
  40292695 130362875  33372934 136877283 149208246 150161997 119239607
  18715934 150800735 152936187  64875297   2829573   2012701 150173398
 188860771  33378803 129897859 206719973 209203545   9821959   1162070
 215423692 217053350 218112657  15628171  96533979  22618006 161474170
 229059011 234519571 216098556 128649842   8932602 255310484 260111380
 262704522 263193234 104651676  65199568 178942144   9307540  64608718
 269461837  40840563 274282629  32065304 274742597 274959469 275075745
 192032868    903132  87048031 283622571  27641111 249241133  25183990
 290090743   9324621  62505222 294066004  31157201  22095184 296383622
  16984083 296995812  11000166 302578829 308868401  47775774  27311955
  83323224 316048224 201797010  40452921   4506343 339975050 341681934
  15948341  13692929 356759714 352121938  38584196 259927669  38052627
 246326725 175605836  30988692 371299495 378440145 159202932 117429122
  54967120  80198489 183965884  23795471   6660118 403952284  17113021
  28737855 340408447  58287686  16428773 425737790   5204914 354529769
 147528562   2380236  10207320 438553968 247939173  65813470 106412876
 263503788 311166950  13035512  86525232  14008405  52254239  21721419
  16704207   1781006  27513972 251598170 100006147  61361328 459835168
  98840235 267801721  45081983 426360405 460849132  67607591 388290851
  68202172  90934572 464551851 286578863 363115963   1051295  87082526
   1210990 468651656 101007975  13347629  80940554 470593174 130325129
  77199644 471412446 269724220 137221184  44888417 161319021  20163325
 473407351  21908414  57349184  51214762  58526070  11318573 134031530
 303706953 393428916 462156404 354282276 414227447 286311514 476771551
   9924460 476242685  68059832  98012951   3683748 477951262   8228384
   4200014  81927811  93396680 478245666 100916755  31675763 212039553
 141082497  17309080   3586996 258948922 157757758 479174035 447438238
 172143954  24570938   2508209 135232907 479844656 479773718 251036389
 417327074  76785486 244243630 423791688 202920990]",7605
Feldmoching-Hasenbergl,"[464264971 479738731  39546092    949953  30539443 104910961   8042469
  13010784   1973756  30357016  20738586  16558530  28293456  67056895
   7701182   3567244  69774054  81780039 120179784 132088397  21459732
   8485661  65086208 207497843 213768477  19758784  69390029  21316424
 221570470 158719651 224496711  71494150 261377503  11500541 227589395
  87054715  31139764 126404556 349770590 180771490  22817925 241231314
 371042064  29258718 265153778 275759869 354857074   3523675 385954759
  15265424   2740815  20684983  58113932 418270816   4294498 320478898
 385499398 291096793 476036772 106801426 478058642  47965992  82519418
 475076880  38062060 420806522 479665794 277164249 371232906]",1860
Hadern,"[   517685   1621313   8829201  11907213  44750066  14607670  44052597
 132488312 144803440 150464220  18576615 193216893  14831097  94673752
 261350216 199182982  20386232 202984832  26314201 296382052 140226007
 260440539 314973133  27513972  24199019 364172263 377281698 370095610
  75549113  52555305  48422104  27525111  32193886 444492329 448010694
 120835736  71168287 135186091 466914381 172822755   5951592 216374120
  96791396 404377276 309144830  10792251 476381033 127960669 476833222
   5793163 464672635 145319259 199705676 478905623  87189348 444610307
 409488543 311472568]",1061
Laim,"[  1203567    991735   3385852   9464164  14642832  17182227  20406115
   8553587  20940766  21861604  25590295  37458374  41089941   1013466
  50227008  15548858  63509722  59725849  12448910  63222678  44406531
  24069377  21154525 119124644 111101254  16370178  13084529  28203329
  91086788  48225008  34726888 146663713   4930810  18273113  15828366
  24654101 204440987  49693120   8464406 158076651 136338176 110195448
 221367862 129456565 241844046 108529072 199150467 115508212 237625159
 281679956   3348759   6797275 284060827 250162592 297705316  71641285
 310137818  35733965  34906673  79095630  53605083 316131753 326193405
   9435672 115782398  52570399 199130286 338799603 336288931  21388070
  12689354  97932492  16326034 198150220 364475937  95171596  46733132
 357626983 367768716 154461596  11278036  56390138  79510018   7901771
  49422139 148916186 146165046   8544612  24494666  57241437  21480366
 426874891 226713528 371604758  28423315 151516000 414143012   7640454
 145488229 456737010 221197429 303085513 170424425 423996232 463385876
  10558419  13191517  59730548  20890402  10209232   2309572 151432482
 470418966 139594856 471220294 471293713  21441034 118841194 137896358
 473517820  57575312 245109505  43992109 119936856 474955289  90661088
 258958826 476658128 244559024 464493568  50668867 227125613  20485968
  71145590  29671803 477501592 118864835 431305950  49639568  56648014
 478174184  14030651  61398198  47232785 478791313  60377083 202682132
 349320853 138481966 421122342  35382961 245327859 173769378 260427465
 238281444  28955351]",1610
Ludwigsvorstadt-Isarvorstadt,"[   919917    925882    926985    934964    950268    954566    982145
   1037376   3491203   3779542   4950451   7211536   1538993   7479978
   3664843   6667825   2024648   8824186   8897877   8352740   9348224
  10473974   5520261  11531809  12385537  12958264  15412866   4896121
  15964528  13770749  20079051  20198945  14275044   7436799   9206586
 227589395   2277227  21493608  21740382  22560826  15555047  18831680
  22110879  20995799   9666241  11858840  28204799  28482431   6953851
   1087067  30220059  32035104  26749516  35931831   1936135  30107719
  37655118  39434499  33517781  33076824  21084183  30167921   6806810
   8702947  22295302  42559199  42854719  43578862  21037539  42046219
  32954312   7231926  44258301  44415496  46662257  51557252  42712457
  19830351  39306733   5782156  20792204  43778108  31116598  20445929
   3223249  23578309  57000682  66673452  88472668   9097948  44784368
  61842950   9779403  62220478  28800079 108410959  94680913  67937800
  36881710  84641830 119475686 121167090 125127567 126781841  25169954
 124566476  97223063   7930862   3654105 139577527 140391163  45873165
   5168589  30532884   9180670 142070351  24695560  71782954 147310536
  14967251 129357490  21697085   2655449  89083474   7325627  20364924
 152623284 152835483  14924706   9989009 159927285 163543823 164225004
  14552789 172463689  61301494 158305983  48388425  55890314 178592257
  90667315  38183646   1003879 186223464  66839575   6772724 188518738
 189448621  64395100  24301614   7901771   9825831  42059783   8682508
 195375774  18976439 185533785 201978957 189461943   4472329  51583647
 204812098 203241961  15489687  24480150  31100382  13963240 130433278
   8777737  63525547  36865400  16696263 212583992 214239569 187306760
 214761589 215365364  30818574 148192432 213932947 216424314  17816433
  10627987 212688643 103551375  19736638 220901180 221355500 222159766
 225351042 228340725  10074859 230583534 231246153 231266347 232685442
 235383848 155572948 237652502 239922581  67416502 240341040  17376507
 244100364 244673065  89480590  12137108 246940249 247401910   6978894
 249053337  48220845  75361555 174141633  88081186 265365870 226973719
 266724107 266954901   6320398 107337646 269736819   3347599  41089941
  19607564  42073476  62055673 133930547 259128201   4897731 279349504
    852457 279753919  21406636  39606926  36027913  83559521  37737542
 173551885 285997651 121631024 266935800  38529059 289552287  47570328
 290264072 290453092 290909548 291518458 291802832 194100294 291763808
  64804179 135448756  53282112 293927552  24441488 295620083  39904337
 298334670  54168579  19029889 303594916 305111377 305865135 239767819
 308052561 104605919  59164464 119010370  21850437  23797386   4951817
 120084454 322205881 335844142  33893012 337901178  46018916 108757065
 253504124 342499779 343052435 105706170  49434734   7469646 181058685
  58325051  47417825  29438638 238898312  88729340  24692117 365567905
 365628095 149239994  29559461 101189811 371289188 219423928 377945086
  44840938  29741161 113529822 385112035 385343222  54239071 377192563
 361996670  30245438 392978513 384702261 240629579 395880389  43158514
 302352369 399205989   5285387  57436134 136389881 404141922 185153871
  25296908  18746452 311212245  21058233 409683429  52902418 409810164
 409823905  38590194 365457264 410406620  34019839  73081466 195649242
 256695270 224472658   1268145 280028039   9513059     14678  49362266
   4928000 417440162   2693218 295195658 185122020 144748014  49112020
   7848239 432496695  89123025 434055750  58224389  22871787  38382802
  41265177  39328656 311166950 357831754 208197694 290434123 445577160
  38922427 254621615 448566321 449042902   1621313  19833699   3960986
 400344048   6872312 428929378 148626056  21301535  31497727   7613639
 107173041  88626508  64606320  14731455  25920479 461355360  13554677
  60083786 173967060  20890402 463005817  20684983  11123398  83938795
  80852973 289348665 424509452  10680139 466127651  38642205 116635738
 408929283  39891860 466007818  19581462  26098728  95698991  17642051
  24405266  29500385 469635334 214567691 446752152   7863990 470908117
  22154723  28144491   4520217  45886275  18210512 281381338   9884862
  38598657  18161306  44589776  14920509 415269002 472510971  15567486
 194143358 472696137 472881126 130556636 473051965 283360850  93649046
  19593118 134061374 235519585 364508428  11283249 473430981  25502424
 189300087 150998329 362594980 210994274  33295002  19761453   9764872
 474925117 310477315 103582439  50207662 424332838  72253640 417513371
 134903265 475311147 120842660  41417617  66762924 124923588 475892612
  11010518  87477245  77768939  51037277 175653405 267314950 201363468
   9726966 455489338   8599395    126378  18989155   1331164  51775632
 148176362  57298425 476797394  21606970  31006376 476934143  22384882
 147959390 231331328  77514107 477100477  19507576 476578888  20203621
  67176893   8854662 477249615 227941826 138128768 126622854 111648533
 477547789 475246551 206215873 193890868  14511432   8079087 477914651
  50573358 477944026  61225740 234779031 195692291  26427552 456957115
  18184599  95288284 158188403 256933620 149449267 103720853  38498200
  60015888  27773195  70609191 253792374 390831469  21560959 137998105
 234521166 222206405  26571521   1009067 223021203 356865917  21109836
 463675469 265871410 429275638  23646356  36060913 199694575  48562459
 479037060  52723021 151737783  19630077 173667226 461738324  87532559
 102008469 361798543  87771803 223557876 453344935   5105907 479318810
 423039323 479440070  89654047  17355864 473754599  17755526 479602208
 479600997  47683851 479667111 405426342  52283959  62696215  28113212
  69395357 479882860 302893912 182845300  35199338  18993483  28819911
   3523984  94078395 345595151  44932786 107038599 466993352 374086625
 423791688  40176350 389639011 111719749]",21307
