neighbourhood_cleansed,number_of_hosts,number_of_reviews
Adlershof,"[  5565633    901417  36608618   7819153  50805687 252090361 252608118
  68907115  23851163 115758436  16526913  10247907 373041418 177712632
  76091555 238030351 252498808 238029336 238028559 238973299 456447560
  19904168]",131
Albrechtstr.,"[  3565185   9717672  19153767  20645008  24789763  27459394  30456351
  22881024  38570456  23323005  39224619  41718759  47125192  23078590
  60712748  20471435   1888120  85075824  86675603  79430806  77214209
  32899971  11476507  44092893 127236491 116957800  83583952  95982070
 192210205  94683552 151571548 138339132  13026303  24763300  77091228
 218563528 224642410 198564506 118789996 237476911  75652640 194475135
 264220585  62952853   4627929 171752792  74613212 314284761 316069893
 331749573  34841205 198864678 132341848 129838308 361632516  10906055
  81229283   3008969  30951345 177712632  13199521 260935903   1387051
 462529893 464559773 228990143 401584074 472154356  44234599 473599352]",1193
Alexanderplatz,"[   923408    956350    451311   1275846    632174    750165    826546
    833995   2017884   2355449   2406372   1903768   2437942    726769
   2604680   2625980   3049584   2751981   3214630    961411   3688179
   4215517   1584766   6051493   6226344   5637692   5766645   4842737
   6420472   6564682   4410994   2740485   8250486   8983067   1285017
  10014852   2190779  10347564    943996   9884877  10926343   2247027
  10629733   2003296    721022   9275367  10882438   5141957  11457480
   3909089  11649536  13628724  13783177  13911315   9936892   9637412
  15712910  14228507  17238564  17585649  17592094  17598745   6841935
  18326018  19950904  20807361   1636437  15348314  20987177    893723
    876545   7799349   1376485  22511671  23042311  14746021    651608
  24507087  24442278   7772115  21761911  22751450   9681477  29226343
   9513237   8239857   2344056  31019677  30821713  27639574  32900474
   7603078   5264818  31266217  34445269  34765706  35583987   1581930
  37597410  29513589  18615910  17698129  36961901  38341781  16650885
  38540571  39681803   1086128   2283051  18830428  34970450  42061066
  42908172  18380880  36029650  16712308  45975496  45717831   3953573
   5954131   7110642  24763087   3900511  24024785  21904749  34555953
  48406225  36805623  20884306  22052044  28333985  50107682  50976411
    927978  51508411  24745517  51840096   5400207  50061239   2372987
  60898413  59426366   9704251  59858355  53142449    161221  52846636
   3438385    876782  30334727  62735554  21074515  63327541   5358588
  10080789  35362806 214851154  68013211  40001839  68548589  66875618
    417276  42655330  10668563  75327580  75595521  73805884  77631123
  80426890  80424192  42506714  80675177  79255369  84180719   1819907
  85924143   2986376  26156657  53570607     60495  88547701   2584800
  30723892     12360   6858176  10466136   6546445   7113017   4108700
 105216091  81509679  22658976  91968676 108115661  97430906   3400768
   2314347 112363455   1293348 116829651 113498573  88250254  24082778
  13627224  47702685   5937313   5428990 124799071   9110422  22807768
 124371137  78319502  14747423  20436428   6130801  21963392 127487921
  39140886  24106099  75905090    911135 118508670 136376910 136711229
   1102773  59053080  97545636  63524329 139365696  53752240 139843282
  18882237 135973285  39822125 142479872 102979040 142805727   7806997
  65630168 143679982  12695420 144159301  62055673   6430567  14882027
 125905477   8385594 151072686 145026168   4227862   3263484  35594166
   2437043 154279461  20025386  65956547 155186849   4251225 101105607
  87444890 160283585  42177679 157253023 119271553   1199044 104216849
   6404042  14159498  27031626 167881332 156558237  28055255  91694633
  12506313   1107814  19390608   7937228  47262014 173481532 106739867
 132214067 176517429 117485815 179169845 162810506  14217553 177489771
  28696138 180629090 181478192 178669173  41601764  39455199  58065885
   6660317 184779561  77519364   7398557  21293663 147940339  38653664
  16804471 190263981 191156834 168111723  18990515   3690025   9814331
   4002880  18936068 195679063  11747840 196387284 164350638  12068149
    435052 197703868    308441  10377295 157638980 131023649  10663590
   1435273 210058923 208293610 208443009 173692390 211478275 212597196
 215174581 215385584   8969459 117443771  93102678  12533433  42671030
    245517   1252012   3613810   8601943   4750332 224618890 226468844
    342965  21553211   9455812   9846895  84954977 231080319  22910324
   2569632   4973214  60621595  22982051 235728535  15506870 242732438
 242928642   8280699 240204649 119933274 245939806  54188129  18483802
   5006628 246984781  57353713  69682544 250424750  47580450  14996711
  24573491  43165302 116438225   5213513 257757294  15442470 258761653
  93782692   5901886  15841013 264650965   3800708 140452065 257323932
 264676347   3455390 235524245  16472922 267779752 209555676 121301406
 272028952 270945970 272513688   4370615 248358743  14731455   6775145
 273470240 275530759 153604052  41828928   5541517 162692461 144848273
 284206453   9181227  49916080 287768341  36599515 115972625  14396856
 130708708 289775188 242922705 296729499   3525011  21131438 299243397
   8620339 183533424  35771183 119771029 163545961  78220240  18350458
 305831478  10376459 103575908   3934890  37561549 308535008 110929427
  19975447 310177104 305230492 309254035  44985737 102571616   3723483
  65756331  33973436 312040639  20851488 231385009 181570040 318230475
 318257792  86279638 208019418 296085091 311785674  57086331 320832589
 310006769  19640594   2958863  17530959   4200829  48956046  63232479
  15428277 285239727 335547450  62518351 333674406  16144668  47680711
 127147050 193731690 339298147 339469544  69316355 238029336  90186621
 341369847 341396019 271235180  16208646 243622938 246819535 309128523
 265446715 277322085  12817037 145938760   5223749  81586679 350473296
 149079144 358301862 356738043  78484510 302465317   6667328 279360497
 175992988  13014437 363445453 363326851   1356465 263245982  41071584
   1194258  30683181  71447545 230607730 277175913 366506183 368829151
 367824579  13450488 357698934  19587349 107191987 378071271 206494022
 380555271 388706560 156936686  88886764 385342520 109992090 390058200
  10213342  58360269 390059085  44183902   1993885  43715685 108025548
 165032814    768518   3243508 211505567  47658174 216855948  90121086
 406566107  22415296 407237601  10427490  15507365 407784103  43782497
 398401703 411206241  23268323  33017673  76282923 171245106 339314157
 178663411 387047352 415771368  31387611  10613744 319168939 149222162
   4906982   6000957 421235453 420489551  75353292  84598724  93344008
   9589595  14507115  54039179 116683513 431681854  88369251 430351784
 277318740 205874037 143315211 300944532  55861789 437366344 435431915
   4485846   6209926  44679830 404503078    352520 447386939 144938234
 434485440   2933986   7348091 447782667  17593869   4698911 454962512
 339347593   5249317  11612350 283801708  15966271  16638115  89295463
  60893800 449692327 245331559    255196 362119702   7160870 212753836
  25873526  43653986 450928225 476579150 477526690]",44541
Allende-Viertel,[ 27887965 307478545],95
Alt  Treptow,"[   193038  10313050  12107758  11516475  17485306   4013434  24405032
  26405024   8127321    351073   1739169  31134452  34895928  39794081
  40309339  42382293  42694217  31062445  47479755  19985290   3283542
  29390544  40255982   3782402  26419102  68759931  76146934  51512938
  12659779  42372777  93782002  20039679  34257704   3775321 102208669
  21768264 108088817   3657833  27034033  97055621 135079397  45269549
   4508680  53788404  12376926  34496306   6698582  57419874  13991211
  14620490 163146855  42620176 158014092   3477447  42344555 122193559
   8041653 200406875 119995527  12148705   3640387 228863350  32729566
 241695991  23665064 248853741   1561180 245322783 266231877  87719957
 114653489 269483435  42746984 273331838 273992777  48388657 271747133
  20833881  36227461  43588306 302581784  58012780  46371452   8140250
   3314892 327598941 337050841 236290057   3210248  23363120  20483267
   8114439 360134722 101459300  56471494  31055910 242174586  94902235
  17974926  84310626  64923801  18336735  10227602  45439444  34485172
   4388796  39606431]",1754
Alt-HohenschÃ¶nhausen Nord,"[  3566045  72335504   5099177  79533499 233927295 258217678  92609229
   5490517 363596437 363700882 241859095 431115228 434076069 455386871
 299810491]",437
Alt-HohenschÃ¶nhausen SÃ¼d,"[ 18489024  60172051  49815862  63951654 146314165  24233425 164836433
  89551529 235871361  26400881 184661493  24327842  60098990 168690459
 386848467 204501502 100497956]",1027
Alt-Lichtenberg,"[  9715630   5828266  18912679  19382382   4065526  18639447  40499192
  25836907  55421464  21444698  65226110   2271635  65540111  57386835
  44744915 124885836 127558185  17699482 133108895 134482995 135022884
  28466180  16081671  41938571  11505526 118974643  38391326 159831846
 163170467  43946346   1762059  97584938  42490374  12117484 179421660
  44826697  10326013 206843996  74078422  99597369 231153373   8599516
   8329189 129432549  24922415 194343081 256062596 212091686 240796186
 302059950 308679353 156558237 312480677 315793793  20545784 323938509
 325522816  89499690 181499374  26451128  14374734  77159849 382510934
 145654689 256430330 390683809 320357365  21970847 417674240  11463860
 117137463  86821671  20601785 456157628 122978685  60486246 475856117]",2590
Altglienicke,"[  1196119   1408921   5240753  16735987  41918583  46618819 219284770
 219826586 283690319 300974507 180638720  19553768 171472410 122958313
  23851163  24944408  94332901 124580281  40686579 361770350]",1451
Altstadt-Kietz,[  6639099  49971189 276491861 357476332  55581749],170
