neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ward 1,"[  9752740   1346173  26564335  43741993  47467541  52787977  50722620
  50715882  60981222  73885825  56557141  85808883  87188778 104111522
 105665540 104749994  75764692  43165399 130843673 136156678  47435679
  84751820 148022639 148088187 152832117 118995155 153283820 158279250
  89839228 155794491 159437893 159198304  12199007 161555209  84705605
 172163084 165445882 184339098 181021441 188474329 190581790  44073897
 223885825 168133300 132755819 229976526 169476286 111869337 140248343
 240853629 173850503 248989882 248392913 101175688 132089234 274676442
 168389350 282152959 286152157 279696219 184215569 222255161 262374402
 186103957 121528558  30248864 217179711 254461565  28387623 220885221
 329010780 327294168 327253895 230352627 299992602  81376500  72459979
 226054672 315264981 391508924 386827310 392471309 131941635 127854974
 219254180 399085675 263925932 119746967 414303207 147173769 260635585
 430343952   2498636 432023798 123005814 137118143 264634594  45577453
 328099265 147028056 114701002 171972024  30368501  59108572 104783163
 456260048 209176997 464521098 130888967 296794466 184388924 438779078
 431357102 242208883 477071182]",1410
Ward 10,"[ 12306351 148826572 163288689 196196278 215079215 290744897 304467881
 306246634 304224851 333725447 379188455 425148273 114971232 433001539
 459365662 470349349 477506993 124861006 478492852]",99
Ward 100,"[156164872 151984659 229550046  38653887  11530156   6099617  10425446
  17118267  22718478  23295926  23408141  26660313  30766349  30944324
  17021578  44062987  42202413  15914702  46836067  48410636  50465422
  26779784  61074267  57626902  62750810  76384411  77301462  87897437
  85101478  88737029  95848070  30338163  44079302 107441077 108981054
  99979750 113862313 111738708 164649401 118216580 119111651  86258003
  27297933 120566836 120670048 122348794 122830772 128820940 117804184
 136344396  30679211 146231216  45790621 147155685 148211048 148184569
  34748727  59124478 155191129 103201460 156760715  24212367  98877931
 155404806  58689574  33423817 161064390  81149513   3744346     59670
 175640870 157004837 154279041 184204655 159560169 184545305 184537896
 184574618 188675257 192649980 188328638  40789522 196994738 204211542
  58284200  83337256 208208418 156730201 211455527 211466643 207285805
 111975602 207145481 216538965 143128916 221384019  14283169 221363561
 110592028  66171193  56699181  41362943 103878851 226663412 227617650
 225667039 223331570 231924900 246505624 242273097 236689013     67394
 258311756 162570599  42250743 263421401 270156207 276216027 276494528
  92230925 294315899 191941753 102240948 302036091 309543609 217071003
 312590401 290320771 152201548 328116382 202824149 325819172 330209659
  62488100 336780987   9932685   2115202  84866990  28646474 366522396
  56064915 137779228 374196884  42528522  81126329 112508958  44673162
 378476124 378603782 388379393  70462095 388663782 290271519  54338478
 382610258 172994994 398047922 162244608 401699908  17634269 273099763
 160295365 417270763 384682161 262735066 423379491 425423320 429821504
  71598273 428102491 428484146 428478285 182004932  65914343 432739130
  32200678 434880683 439187867 252507362 214953963 260993289 351308902
 156186136 351953251 368014010 450560074  42813237 389105934 442657176
 150147071   7666707 227294171 468010003 468608672 298570456 296358084
 450308958 130395868 389789096 473124334 203516773 102974425 476914764
 479214400  51057581  32061156  99398707 105988029 339645468 159560583
 300706063]",3559
Ward 101,[132025616],0
Ward 102,"[ 30625899  57725137  71339689  91178170 110094950 129708955  85073900
  37550143 198184687 215139916 221179700  57828058 225204082 229674925
 170899693  78037063 260948279 268775510 279901732 277543286 280718460
 315552471 125046843 330400419 334259243 340334821 326583048 264988085
 239732469 397476582 241245237 124416492 114671282 439357265 288046334
 216839655 443663778 444115892 164975473 303698772 469071522 450568594]",406
Ward 103,"[    74188  32032769  48639918  50841411  57734184  88837262  90929571
  87081973 125301673 124096327 127172700   8516632  96698992 159053216
 176612118 174344186 183700961 195640352  52683503  49595765 258551346
 269481036 199959641 289542340 127679256 147155812  92861227 300093209
 302805341 305462114 320222961 274446079 346632492 329016642    681709
 277087341 258657068 405118994 407858084 372127183 426857614 310835509
 431394467 386862322 434777097 202634235 444719218 459088661 252954312
  43377240]",698
Ward 104,[107760571 301200682 315924414 425835162 337683898 159287163 253024756],50
Ward 105,"[ 67727807   7071810   2552379  10687752  20676401  28569148  46044665
  46552043  52762826  52854431  25448681  46449241  70827372   7375525
 102079201 123194123  34174006  10710076 136000097  77746783 142619236
 143168509  35486647  40769147 158537999  58000889 129977000 158703936
  54953627 168285854 176989679 114515924  46479737 217047488  81381087
   9049779 228861742 229850205 231591821  57878375 240994409 247374688
 229008906  34168791 218811567 287118879 121493644 258592020 217030810
  96157135 405265537 426334836 239732469 258586334 440001532 440283776
 385675906 455308094  27058359 463416314 231228598]",1137
Ward 106,[289943457],0
Ward 107,"[ 21173030  28299901  97013125  14524444  18180804    156910 172110226
   8908046   9416174   5589045  15529530  20677750   2397423  24409434
  30758704   3961453  29448957  29603378  25530469  41054325  42378439
  15233310  45882286  47358752  38151977  22750089  49761994  51141330
   1209764  19605555  58357768  62215475  57714275  57830560  63192761
  68486582  65309266  66505515  65330141  86528103  74803059  89651612
  90274786   4369217  46238715  98030737 102239433   9914780  53797077
 101610097   5010335 104573887 106926014 104989118  37163308 111115160
  74574517  55153022  57746396   4785086 115926349   7720584  76103277
  51491165  12416081   9169718 128858461 125835680 129681154  14266548
 131340534 105996964 135203599 135855220  34663202 142395911 146166947
 150460954  49347760 144414243 151497936  16611004 111242276 149731612
 154462354 156741209 157402757   7689114 159614098 159989239  76056526
  12545676  40984840   3309424 163510992 140404599 152040986 162194776
 162332657 157900434  60642863 127528797 166936404 166979562 165859028
 158517465 172384891  86459488 181229425   5666714  95220288 139616459
   1547380  61507364  34017954 202417772   4397998  27481948 208528618
  66441016 123163962 215672947 220556430 112238333 224335570 223828106
 137628179  97804106 203795615 159546161 194651941 230827527 164482077
 161011385  43844621 224178921 236935599 151794705 235224136 245346971
 246989284 247797999 197019156  81510026 222165247 252997240 113962558
 121683810  61768961 262932196  47616700 263270156  59131271  62737212
 252507362 164089132 231068866 226840790   2516345 234774802  41705437
 285097655 230753663  66173531  34358578 108122708 288023966 290259262
 291442436 214778657 298570456   5764071 146006573 299447365 279794091
   3414028 305257994 182433802    403019 304232664 300308248 303486590
 311088820 311311498 190277252 309256869 309880444  15529151 310393719
 430377902 214976711 313124661 256574549 262870424 313422711 313506482
 304427224 314608798 314628817 314714834  10052456 226652127  11641303
  96040505  24946551 126402322 341628812    189670 361519839 312017603
  44386878 331902556 230479755  22078451  13752412 365463158 248129774
  77273094 222227919 246029890 376717377 140725238 375755559 179738757
 335319832 374437517   1111075 375988773 131613263 376094440  62209730
 378755981   8793295 242330049 242632519 121212681 367629600 387137345
 226274726 170330021 191150408  21679809 401080995 404514534 154274794
 405713255 222189592 408479855 362780321 396140075 412080781  26732304
 154279041 273972018 325871763 418383522  22404007  51160748 412883052
  79303401 249015084 428523989  45541129 428967796  59703833 427410907
 107171540 430753004 204970889 309183524   4815113 244064506 433952253
 312198931 422961392 213730614 147028056 167781373  66085098 240968781
 437056408 440140784 440278855 288460515 339546061 440974121  12277461
 432825748 314416424 277626032 398413008  59333097 446755703 448443128
  27633652 104337396 107722334 415036720  43407123 237188693 446774675
 294867740  15316054 104862504  47153608 319174152 117744241 456686173
  24576903 122209952 262280761 363981553  35805549 241383656 299757480
 145793632 461520992 457418272 463665850 464004682 154405234 190940728
 309638581 437614758 303864765 470555830 108313819  93770890 473915995
  14416712  30368501 180860311  90638339 475115546  98083591  21183519
 474689912 129206166 182888760 475284963 475945783 476792502 379676847
  85602318 478510351 332894704 154169226   9302849 232224819 423695838
   2071842 455948406]",5511
